,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,15950.0,16200.0,16400.0,15500.0,1190863.0,128724,-104923,-23801,0.0851,2949615,650.0,FALL
2020-06-01,16600.0,15450.0,16650.0,15150.0,1725991.0,503518,-64078,-439440,0.0865,2973416,1100.0,RISE
2020-05-29,15500.0,14350.0,15600.0,14100.0,1026098.0,27270,78673,-105943,0.0874,3412856,600.0,RISE
2020-05-28,14900.0,15300.0,15850.0,14500.0,847409.0,-93571,127213,-33642,0.0863,3518799,300.0,FALL
2020-05-27,15200.0,15850.0,15900.0,15000.0,594125.0,82729,-67455,-15274,0.0847,3552441,800.0,FALL
2020-05-26,16000.0,15650.0,16750.0,15400.0,957922.0,190596,-14110,-176486,0.0856,3567715,350.0,RISE
2020-05-25,15650.0,15650.0,15800.0,15250.0,265162.0,51146,-23706,-27440,0.0858,3744201,50.0,FALL
2020-05-22,15700.0,15550.0,15900.0,15300.0,487209.0,83834.0,-28940.0,-54894.0,0.0861,3947929.0,150.0,RISE
2020-05-21,15550.0,15400.0,15650.0,15150.0,366165.0,46591.0,27652.0,-74243.0,0.0865,4002823.0,150.0,RISE
2020-05-20,15400.0,14600.0,15950.0,14600.0,878244.0,76278.0,33329.0,-109607.0,0.0861,4077066.0,400.0,RISE
2020-05-19,15000.0,14150.0,15050.0,14150.0,945469.0,212121.0,-104952.0,-107169.0,0.0857,4186673.0,900.0,RISE
2020-05-18,14100.0,13850.0,14700.0,13800.0,969485.0,129352.0,102565.0,-231917.0,0.087,4293842.0,800.0,RISE
2020-05-15,13300.0,13700.0,13700.0,13150.0,220315.0,19795.0,39183.0,-58978.0,0.0857,4525759.0,200.0,FALL
2020-05-14,13500.0,13550.0,14000.0,13200.0,320514.0,-54592.0,38565.0,16027.0,0.0852,4584737.0,250.0,FALL
2020-05-13,13750.0,13400.0,13900.0,13350.0,186992.0,27824.0,4542.0,-32366.0,0.0847,4568710.0,100.0,RISE
