,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,19300.0,18200.0,19500.0,18050.0,269182.0,1608,-6149,4541,0.0263,-198875,1300.0,RISE
2020-06-01,18000.0,17350.0,18250.0,17350.0,65572.0,-10995,10124,871,0.027,-203416,700.0,RISE
2020-05-29,17300.0,18100.0,18250.0,17300.0,107319.0,24079,-24079,0,0.0258,-204287,800.0,FALL
2020-05-28,18100.0,19050.0,19050.0,18050.0,44995.0,11861,-11861,0,0.0288,-204287,750.0,FALL
2020-05-27,18850.0,18750.0,19250.0,18550.0,38714.0,149,-144,-5,0.0302,-204287,0.0,EVEN
2020-05-26,18850.0,18250.0,18900.0,18150.0,35912.0,-7661,7661,0,0.0303,-204282,450.0,RISE
2020-05-25,18400.0,18200.0,18450.0,18100.0,26913.0,-536,536,0,0.0293,-204282,200.0,RISE
2020-05-22,18200.0,19000.0,19000.0,18150.0,32860.0,1268,-4509,3241,0.0292,-250516,600.0,FALL
2020-05-21,18800.0,19350.0,19750.0,18550.0,58838.0,16094,-16094,0,0.0298,-253757,450.0,FALL
2020-05-20,19250.0,18300.0,19650.0,18150.0,110128.0,-17734,17734,0,0.0318,-253757,1000.0,RISE
2020-05-19,18250.0,18100.0,18500.0,18000.0,20889.0,3809,-3809,0,0.0296,-253757,350.0,RISE
2020-05-18,17900.0,18300.0,18300.0,17800.0,24096.0,-4640,4640,0,0.0301,-253757,200.0,FALL
2020-05-15,18100.0,18500.0,18650.0,17850.0,50979.0,19626,-19629,3,0.0295,-253757,250.0,FALL
2020-05-14,18350.0,18700.0,18900.0,18150.0,33204.0,-603,597,6,0.0319,-253760,300.0,FALL
2020-05-13,18650.0,18900.0,18950.0,18450.0,51364.0,-7702,7702,0,0.0316,-253766,350.0,FALL
2020-05-12,19000.0,19450.0,19450.0,18400.0,52000.0,689,-690,1,0.0307,-253766,300.0,FALL
2020-05-11,19300.0,19850.0,20000.0,19150.0,47339.0,7101,-6101,-1000,0.0308,-253767,250.0,FALL
2020-05-08,19550.0,19000.0,19700.0,18900.0,71627.0,-12067,12067,0,0.0315,-252767,750.0,RISE
2020-05-07,18800.0,18650.0,19250.0,18500.0,38840.0,-2820,2820,0,0.03,-252767,200.0,RISE
2020-05-06,18600.0,18150.0,18650.0,18000.0,35615.0,-9987,9987,0,0.0297,-252767,550.0,RISE
2020-05-04,18050.0,17700.0,18200.0,17450.0,24071.0,-3883,3883,0,0.0285,-252767,250.0,RISE
2020-04-29,17800.0,18100.0,18250.0,17800.0,43863.0,-1579,1579,0,0.027999999999999997,-252767,200.0,FALL
2020-04-28,18000.0,18400.0,18650.0,18000.0,56902.0,10376,-10376,0,0.0278,-252767,300.0,FALL
2020-04-27,18300.0,17750.0,19350.0,17750.0,126539.0,-8654,8654,0,0.0292,-252767,600.0,RISE
2020-04-24,17700.0,18050.0,18400.0,17700.0,30658.0,2856,-2856,0,0.0281,-252767,600.0,FALL
2020-04-23,18300.0,18550.0,18650.0,18150.0,39780.0,2700,-2700,0,0.0285,-252767,100.0,RISE
2020-04-22,18200.0,17900.0,18300.0,17400.0,33265.0,-735,735,0,0.0288,-252767,300.0,RISE
2020-04-21,17900.0,18500.0,18750.0,17200.0,118106.0,-2417,2417,0,0.0287,-252767,1000.0,FALL
2020-04-20,18900.0,18550.0,19700.0,18350.0,127166.0,11029,-11029,0,0.0284,-252767,900.0,RISE
2020-04-17,18000.0,18350.0,18700.0,17900.0,58569.0,3904,-3740,-164,0.0298,-252767,200.0,FALL
2020-04-16,18200.0,17300.0,19250.0,17200.0,177435.0,5534,-5071,-463,0.0302,-252603,900.0,RISE
2020-04-14,17300.0,17200.0,17550.0,17050.0,51699.0,1503,-1503,0,0.0309,-252140,0.0,EVEN
2020-04-13,17300.0,16650.0,18600.0,16600.0,114905.0,1570,-1108,-462,0.0311,-252140,500.0,RISE
2020-04-10,16800.0,17100.0,17300.0,16050.0,80072.0,4968,-4990,22,0.0312,-251678,300.0,FALL
2020-04-09,17100.0,16900.0,17400.0,16600.0,64647.0,3118,-3118,0,0.0318,-251700,550.0,RISE
2020-04-08,16550.0,16200.0,16600.0,15850.0,74224.0,235,-258,23,0.0333,-251700,550.0,RISE
2020-04-07,16000.0,15650.0,16900.0,15250.0,100261.0,-3693,3692,1,0.0333,-251723,600.0,RISE
2020-04-06,15400.0,15200.0,15550.0,15000.0,64977.0,-9757,9733,24,0.0329,-251724,200.0,RISE
2020-04-03,15200.0,15750.0,15750.0,14850.0,61060.0,3840,-6840,3000,0.0317,-251748,0.0,EVEN
2020-04-02,15200.0,14450.0,15200.0,14000.0,82921.0,-3830,947,2883,0.0325,-254748,600.0,RISE
2020-04-01,14600.0,14600.0,16000.0,14250.0,172044.0,2638,-7147,4509,0.0324,-257631,350.0,RISE
2020-03-31,14250.0,14100.0,14750.0,13700.0,138465.0,-9565,9559,6,0.0335,-262140,700.0,RISE
2020-03-30,13550.0,13000.0,13600.0,12700.0,78180.0,-2128,2128,0,0.0323,-262146,300.0,RISE
2020-03-27,13250.0,13450.0,13950.0,12300.0,167284.0,-9062,4562,4500,0.032,-262146,350.0,RISE
2020-03-26,12900.0,13300.0,13750.0,12600.0,268047.0,2096,-2096,0,0.0315,-266646,1200.0,RISE
2020-03-25,11700.0,12300.0,12300.0,11250.0,145753.0,-175,179,-4,0.0317,-266646,250.0,RISE
2020-03-24,11450.0,10350.0,12450.0,10350.0,166533.0,-19500,19505,-5,0.0317,-266642,1300.0,RISE
2020-03-23,10150.0,9950.0,10300.0,9720.0,69030.0,-17733,17730,3,0.0295,-266637,350.0,FALL
2020-03-20,10500.0,10000.0,10550.0,9800.0,109890.0,-6577,6571,6,0.0274,-266640,700.0,RISE
2020-03-19,9800.0,11300.0,11450.0,9800.0,224434.0,-508,-9492,10000,0.0268,-266646,1250.0,FALL
2020-03-18,11050.0,12650.0,12650.0,11050.0,82584.0,1293,-11293,10000,0.0291,-276646,950.0,FALL
2020-03-17,12000.0,10850.0,12350.0,10850.0,66374.0,5753,-5753,0,0.0308,-286646,0.0,EVEN
2020-03-16,12000.0,12800.0,13500.0,12000.0,77185.0,-740,-677,1417,0.0316,-286646,500.0,FALL
2020-03-13,12500.0,13100.0,13400.0,11000.0,176539.0,-12103,12103,0,0.0331,-288063,2050.0,FALL
2020-03-12,14550.0,16150.0,16650.0,14550.0,144096.0,7466,-7466,0,0.0317,-288063,1900.0,FALL
2020-03-11,16450.0,17400.0,17650.0,16300.0,61598.0,16067,-16067,0,0.0326,-288063,900.0,FALL
2020-03-10,17350.0,17000.0,17850.0,16750.0,44889.0,1463,-1463,0,0.0339,-288063,50.0,RISE
2020-03-09,17300.0,18100.0,18250.0,17200.0,53073.0,3603,-3603,0,0.0341,-288063,1200.0,FALL
2020-03-06,18500.0,18850.0,19000.0,18200.0,29274.0,-666,649,17,0.0346,-288063,500.0,FALL
2020-03-05,19000.0,18550.0,19450.0,18550.0,51866.0,-14230,14230,0,0.0345,-288080,500.0,RISE
2020-03-04,18500.0,18100.0,18600.0,17950.0,32271.0,-8429,8429,0,0.0327,-288080,300.0,RISE
2020-03-03,18200.0,18600.0,18700.0,18050.0,44424.0,-12444,12417,27,0.0317,-288080,0.0,EVEN
2020-03-02,18200.0,17050.0,18300.0,17000.0,57767.0,-17981,17981,0,0.0301,-288107,1000.0,RISE
2020-02-28,17200.0,18000.0,18150.0,17200.0,51708.0,1765,-1772,7,0.0279,-288107,1150.0,FALL
2020-02-27,18350.0,18900.0,19600.0,18250.0,42130.0,3105,-2985,-120,0.0281,-288114,600.0,FALL
2020-02-26,18950.0,18500.0,19150.0,18450.0,34160.0,-6174,6166,8,0.0281,-287994,100.0,RISE
2020-02-25,18850.0,18100.0,19000.0,18000.0,33434.0,-3043,3043,0,0.0272,-288002,500.0,RISE
2020-02-24,18350.0,18650.0,18900.0,17950.0,65163.0,6279,-6304,25,0.0268,-288002,950.0,FALL
2020-02-21,19300.0,19950.0,20200.0,19250.0,38407.0,6866,-6865,-1,0.0276,-288027,850.0,FALL
2020-02-20,20150.0,20250.0,20500.0,20050.0,19671.0,1785,-1800,15,0.0257,-288026,50.0,FALL
2020-02-19,20200.0,20500.0,20950.0,20000.0,22276.0,-1343,1343,0,0.0259,-288041,200.0,FALL
2020-02-18,20400.0,20800.0,21300.0,20400.0,26535.0,3213,-3213,0,0.0257,-288041,400.0,FALL
2020-02-17,20800.0,21000.0,21050.0,20700.0,20528.0,2130,-2130,0,0.0261,-288041,0.0,EVEN
2020-02-14,20800.0,20850.0,21150.0,20650.0,33885.0,-3122,3122,0,0.0264,-288041,250.0,FALL
