,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,18450.0,18750.0,18750.0,18100.0,505724.0,105945,-82933,-23012,0.0275,436873,0.0,EVEN
2020-06-01,18450.0,17750.0,18650.0,17600.0,879612.0,80162,-49892,-30270,0.0318,459885,1100.0,RISE
2020-05-29,17350.0,17500.0,17900.0,17100.0,737148.0,12488,20614,-33102,0.0344,490155,450.0,FALL
2020-05-28,17800.0,18950.0,19000.0,17300.0,1192489.0,75229,156487,-231716,0.0334,523257,900.0,FALL
2020-05-27,18700.0,19200.0,19200.0,18350.0,759760.0,35499,59984,-95483,0.0253,754973,450.0,FALL
2020-05-26,19150.0,20100.0,20100.0,18850.0,1110181.0,313806,-98437,-215369,0.0221,850456,600.0,FALL
2020-05-25,19750.0,19900.0,20400.0,19250.0,1071994.0,205030,-102926,-102104,0.0272,1065825,50.0,FALL
2020-05-22,19800.0,18800.0,20450.0,18550.0,2306947.0,-261862.0,-12335.0,274197.0,0.0326,1509434.0,1000.0,RISE
2020-05-21,18800.0,19250.0,19650.0,18650.0,1382163.0,328397.0,-120985.0,-207412.0,0.0332,1235237.0,400.0,FALL
2020-05-20,19200.0,17700.0,19450.0,17450.0,2439523.0,-64114.0,128869.0,-64755.0,0.0395,1442649.0,1750.0,RISE
2020-05-19,17450.0,18150.0,18200.0,17000.0,582446.0,99591.0,-96793.0,-2798.0,0.0328,1507404.0,300.0,FALL
2020-05-18,17750.0,17200.0,18100.0,16450.0,1216495.0,-96358.0,60030.0,36328.0,0.0378,1510202.0,550.0,RISE
2020-05-15,17200.0,17400.0,17750.0,17000.0,647913.0,54579.0,-19988.0,-34591.0,0.0347,1473874.0,150.0,RISE
2020-05-14,17050.0,17100.0,17450.0,16900.0,675953.0,18444.0,81657.0,-100101.0,0.0357,1508465.0,450.0,FALL
2020-05-13,17500.0,17650.0,17900.0,17000.0,952335.0,37077.0,86722.0,-123799.0,0.0315,1608566.0,500.0,FALL
2020-05-12,18000.0,18100.0,18400.0,17500.0,651866.0,-26996.0,-40.0,27036.0,0.027000000000000003,1732365.0,100.0,FALL
2020-05-11,18100.0,17950.0,18500.0,17500.0,1011372.0,-119383.0,-49473.0,168856.0,0.027000000000000003,1705329.0,450.0,RISE
2020-05-08,17650.0,16750.0,17850.0,16450.0,1479713.0,-402005.0,-18974.0,420979.0,0.0296,1536473.0,1250.0,RISE
2020-05-07,16400.0,16650.0,17300.0,16300.0,1470587.0,82634.0,-50980.0,-31654.0,0.0306,1115494.0,100.0,FALL
2020-05-06,16500.0,15450.0,16750.0,15250.0,1968223.0,-382448.0,43025.0,339423.0,0.0332,1147148.0,1350.0,RISE
2020-05-04,15150.0,15050.0,16050.0,14950.0,1527989.0,102276.0,-81392.0,-20884.0,0.031,807725.0,100.0,FALL
2020-04-29,15250.0,13950.0,15600.0,13850.0,3311246.0,-318457.0,99422.0,219035.0,0.0352,828609.0,1600.0,RISE
2020-04-28,13650.0,13150.0,13650.0,12900.0,742368.0,-101870.0,-5896.0,107766.0,0.0301,609574.0,600.0,RISE
2020-04-27,13050.0,12800.0,13150.0,12700.0,321506.0,-13220.0,-13226.0,26446.0,0.0304,501808.0,350.0,RISE
2020-04-24,12700.0,13000.0,13250.0,12650.0,401506.0,12644.0,39543.0,-52187.0,0.031,475362.0,500.0,FALL
2020-04-23,13200.0,13500.0,13500.0,13000.0,574505.0,26358.0,-56379.0,30021.0,0.028999999999999998,527549.0,50.0,RISE
2020-04-22,13150.0,12700.0,13150.0,12500.0,486102.0,1295.0,16058.0,-17353.0,0.0319,497528.0,50.0,RISE
2020-04-21,13100.0,13300.0,13400.0,12550.0,762013.0,-30727.0,31584.0,-857.0,0.0311,514881.0,350.0,FALL
2020-04-20,13450.0,13400.0,13700.0,13300.0,523443.0,-63932.0,61443.0,2489.0,0.0294,515738.0,50.0,FALL
2020-04-17,13500.0,13800.0,13900.0,13350.0,870246.0,37604.0,-77763.0,40159.0,0.0263,513249.0,150.0,RISE
2020-04-16,13350.0,12650.0,13350.0,12450.0,729150.0,-3925.0,-28422.0,32347.0,0.0303,473090.0,400.0,RISE
2020-04-14,12950.0,12700.0,13100.0,12650.0,735577.0,-15194.0,26376.0,-11182.0,0.0318,440743.0,600.0,RISE
2020-04-13,12350.0,13300.0,13550.0,12300.0,697866.0,64083.0,-34928.0,-29155.0,0.0294,451925.0,1050.0,FALL
2020-04-10,13400.0,13500.0,13550.0,12800.0,725906.0,37000.0,4992.0,-41992.0,0.0311,481080.0,200.0,FALL
2020-04-09,13600.0,13800.0,14350.0,13200.0,1860089.0,161743.0,-17956.0,-143787.0,0.0308,523072.0,300.0,RISE
2020-04-08,13300.0,12800.0,13750.0,12600.0,1369909.0,-101945.0,-105844.0,207789.0,0.0319,666859.0,500.0,RISE
2020-04-07,12800.0,12150.0,13050.0,11900.0,2437600.0,5810.0,-172659.0,166849.0,0.0384,459070.0,1150.0,RISE
2020-04-06,11650.0,10900.0,11700.0,10800.0,1061619.0,-15464.0,-46146.0,61610.0,0.0473,292221.0,900.0,RISE
2020-04-03,10750.0,11200.0,11250.0,10500.0,592600.0,125791.0,-53337.0,-72454.0,0.0497,230611.0,300.0,FALL
2020-04-02,11050.0,10750.0,11050.0,10400.0,485177.0,-11494.0,26542.0,-15048.0,0.0525,303065.0,400.0,RISE
2020-04-01,10650.0,10750.0,11450.0,10600.0,1004624.0,-14028.0,5372.0,8656.0,0.0514,318113.0,300.0,FALL
2020-03-31,10950.0,11300.0,11400.0,10650.0,936197.0,132858.0,-97139.0,-35719.0,0.0525,309457.0,0.0,EVEN
2020-03-30,10950.0,10450.0,11100.0,10300.0,566280.0,63095.0,28367.0,-91462.0,0.0575,345176.0,0.0,EVEN
