,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,13200.0,13400.0,13400.0,13050.0,30043.0,5343,-2648,-2695,0.0131,409065,300.0,RISE
2020-06-01,12900.0,12850.0,13000.0,12750.0,26105.0,-2342,1314,1028,0.0134,411760,150.0,RISE
2020-05-29,12750.0,13000.0,13050.0,12700.0,24134.0,8665,-641,-8024,0.0133,410732,350.0,FALL
2020-05-28,13100.0,13500.0,13500.0,12700.0,36355.0,5896,-900,-4996,0.0133,418756,100.0,FALL
2020-05-27,13200.0,13250.0,13450.0,13200.0,14511.0,316,-292,-24,0.0134,423752,0.0,EVEN
2020-05-26,13200.0,13350.0,13350.0,13100.0,10572.0,-1940,2157,-217,0.0135,423776,100.0,RISE
2020-05-25,13100.0,13100.0,13300.0,13000.0,16325.0,1251,1024,-2275,0.0132,423993,100.0,FALL
2020-05-22,13200.0,13850.0,13850.0,13050.0,42832.0,5935.0,-1596.0,-4339.0,0.0131,416820.0,550.0,FALL
2020-05-21,13750.0,13600.0,13850.0,13350.0,41782.0,3385.0,-316.0,-3069.0,0.0133,421159.0,300.0,RISE
2020-05-20,13450.0,13450.0,13650.0,13350.0,20590.0,3589.0,2986.0,-6575.0,0.0133,424228.0,150.0,RISE
2020-05-19,13300.0,13350.0,13500.0,13150.0,18788.0,1428.0,-1062.0,-366.0,0.013000000000000001,430803.0,150.0,RISE
2020-05-18,13150.0,13350.0,13350.0,13100.0,30532.0,6912.0,999.0,-7911.0,0.0131,431169.0,350.0,FALL
2020-05-15,13500.0,13600.0,13700.0,13200.0,24052.0,1166.0,-1687.0,521.0,0.013000000000000001,439080.0,0.0,EVEN
2020-05-14,13500.0,13900.0,13900.0,13200.0,44946.0,1153.0,3795.0,-4948.0,0.0132,438559.0,250.0,FALL
2020-05-13,13750.0,13550.0,13850.0,13500.0,14444.0,3105.0,1006.0,-4111.0,0.0128,443507.0,50.0,FALL
2020-05-12,13800.0,14000.0,14100.0,13550.0,22857.0,13210.0,-2982.0,-10228.0,0.0127,447618.0,200.0,FALL
2020-05-11,14000.0,14200.0,14200.0,13800.0,19706.0,325.0,1331.0,-1656.0,0.013000000000000001,457846.0,50.0,FALL
2020-05-08,14050.0,13900.0,14200.0,13800.0,35984.0,-62.0,-2960.0,3022.0,0.0129,459502.0,300.0,RISE
2020-05-07,13750.0,14200.0,14200.0,13650.0,25239.0,3375.0,-4368.0,993.0,0.0132,456480.0,150.0,FALL
2020-05-06,13900.0,13600.0,13900.0,13550.0,19987.0,-3638.0,5552.0,-1914.0,0.0136,455487.0,550.0,RISE
2020-05-04,13350.0,13600.0,13650.0,13250.0,25778.0,13712.0,2043.0,-15755.0,0.0131,457401.0,250.0,FALL
2020-04-29,13600.0,13700.0,14050.0,13400.0,41464.0,16506.0,4421.0,-20927.0,0.0128,473156.0,100.0,FALL
2020-04-28,13700.0,13850.0,13850.0,13300.0,31139.0,11573.0,-1166.0,-10407.0,0.0124,494083.0,0.0,EVEN
2020-04-27,13700.0,13900.0,14000.0,13650.0,21665.0,7888.0,2364.0,-10252.0,0.0125,504490.0,250.0,FALL
2020-04-24,13950.0,14150.0,14150.0,13800.0,27123.0,1691.0,-1528.0,-163.0,0.0123,514742.0,300.0,FALL
