날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-11-24,11750.0,13800.0,14150.0,11750.0,1875586.0,377911,-99747,-278164,0.018,-278164,2050.0,LOWER_LIMIT
2014-11-25,13500.0,11850.0,13500.0,11700.0,1959444.0,33767,9924,-43691,0.02,-321855,1750.0,UPPER_LIMIT
2014-11-26,12700.0,14250.0,15250.0,12700.0,2335780.0,75856,-11463,-64393,0.018,-386248,800.0,FALL
2014-11-27,12400.0,12800.0,13400.0,11900.0,789989.0,-1693,-10307,12000,0.016,-374248,300.0,FALL
2014-11-28,11800.0,12450.0,12500.0,11700.0,308586.0,-2017,1355,662,0.016,-373586,600.0,FALL
2014-12-01,11000.0,11800.0,12050.0,11000.0,349922.0,57033,-28168,-28865,0.011,-402451,800.0,FALL
2014-12-02,10550.0,11050.0,11300.0,10450.0,432466.0,-16318,8911,7407,0.013,-395044,450.0,FALL
2014-12-03,10700.0,10850.0,11200.0,10600.0,349139.0,4368,-3951,-417,0.012,-395461,150.0,RISE
2014-12-04,10350.0,10800.0,10850.0,10300.0,209746.0,1284,-503,-781,0.012,-396242,350.0,FALL
2014-12-05,10300.0,10400.0,10450.0,10050.0,161888.0,6365,-485,-5880,0.012,-402122,50.0,FALL
2014-12-08,10950.0,10350.0,11400.0,10300.0,414544.0,-21815,-10071,31886,0.01,-370236,650.0,RISE
2014-12-09,11300.0,10900.0,12300.0,10800.0,537814.0,-16114,431,15683,0.01,-354553,350.0,RISE
2014-12-10,11700.0,11500.0,11950.0,11250.0,225485.0,-12204,2233,9971,0.01,-344582,400.0,RISE
2014-12-11,11850.0,11600.0,12000.0,11300.0,189808.0,-1949,-913,2862,0.01,-341720,150.0,RISE
2014-12-12,11200.0,11850.0,11850.0,11200.0,142139.0,222,-2899,2677,0.009,-339043,650.0,FALL
2014-12-15,11750.0,11300.0,11900.0,10750.0,133963.0,-64,-32,96,0.009,-338947,550.0,RISE
2014-12-16,12350.0,12000.0,13000.0,11900.0,524854.0,13035,421,-13456,0.009,-352403,600.0,RISE
2014-12-17,12150.0,12350.0,12600.0,11650.0,155368.0,-11011,5449,5562,0.011,-346841,200.0,FALL
2014-12-18,11650.0,12200.0,12250.0,11300.0,224289.0,3129,-1494,-1635,0.01,-348476,500.0,FALL
2014-12-19,12750.0,11900.0,13250.0,11800.0,536017.0,-59758,-4482,64240,0.009,-284236,1100.0,RISE
2014-12-22,12600.0,12750.0,13000.0,12450.0,107104.0,-2922,3705,-783,0.01,-285019,150.0,FALL
2014-12-23,12450.0,12750.0,13550.0,12450.0,244501.0,10828,-3225,-7603,0.009,-292622,150.0,FALL
