날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,13400.0,13800.0,14000.0,13400.0,98830.0,67,-5095,5028,0.0041,-549557,300.0,FALL
2020-05-21,13700.0,13100.0,13700.0,12900.0,84254.0,-1042,1042,0,0.005,-554585,900.0,RISE
2020-05-20,12800.0,12600.0,12850.0,12450.0,32232.0,-1589,566,1023,0.0048,-554585,100.0,RISE
2020-05-19,12700.0,13000.0,13100.0,12700.0,31926.0,5891,38,-5929,0.0047,-555608,200.0,FALL
2020-05-18,12900.0,12900.0,13150.0,12200.0,93314.0,-1829,2931,-1102,0.0047,-549679,600.0,FALL
2020-05-15,13500.0,13900.0,13900.0,13300.0,24373.0,1154,-1154,0,0.0042,-548577,150.0,FALL
2020-05-14,13650.0,13900.0,13900.0,13550.0,28739.0,4195,652,-4847,0.0044,-548577,350.0,FALL
2020-05-13,14000.0,13350.0,14100.0,13350.0,45966.0,-18,1312,-1294,0.0043,-543730,300.0,RISE
2020-05-12,13700.0,14100.0,14150.0,13500.0,56055.0,3144,-3144,0,0.004,-542436,300.0,FALL
2020-05-11,14000.0,13700.0,14150.0,13150.0,122957.0,3770,1254,-5024,0.0046,-542436,600.0,RISE
2020-05-08,13400.0,13300.0,13450.0,12900.0,53371.0,-10209,3905,6304,0.0044,-537412,450.0,RISE
2020-05-07,12950.0,13150.0,13250.0,12650.0,30482.0,221,-221,0,0.0037,-543716,50.0,RISE
2020-05-06,12900.0,13300.0,13300.0,12800.0,42742.0,-2073,2073,0,0.0037,-543716,100.0,FALL
2020-05-04,13000.0,13000.0,13250.0,12850.0,36177.0,11514,1186,-12700,0.0033,-543716,350.0,FALL
2020-04-29,13350.0,13750.0,13800.0,13250.0,68499.0,6069,-4869,-1200,0.0031,-531016,400.0,FALL
2020-04-28,13750.0,13150.0,13850.0,12850.0,270483.0,628,-628,0,0.004,-529816,600.0,RISE
2020-04-27,13150.0,12600.0,13200.0,12400.0,45189.0,-3874,2747,1127,0.0041,-529816,450.0,RISE
2020-04-24,12700.0,13050.0,13150.0,12500.0,47705.0,2221,-2221,0,0.0036,-530943,400.0,FALL
2020-04-23,13100.0,12900.0,13550.0,12550.0,156246.0,-1632,-19,1651,0.004,-530943,550.0,RISE
2020-04-22,12550.0,12250.0,12550.0,11800.0,31033.0,-3609,-1491,5100,0.004,-532594,150.0,RISE
2020-04-21,12400.0,12350.0,12700.0,11150.0,63299.0,553,-804,251,0.0043,-537694,250.0,FALL
2020-04-20,12650.0,12650.0,12850.0,12450.0,32789.0,3990,-2290,-1700,0.0045,-537945,0.0,EVEN
2020-04-17,12650.0,12450.0,13000.0,12400.0,78571.0,-2934,2934,0,0.0049,-536245,250.0,RISE
2020-04-16,12400.0,11800.0,12450.0,11400.0,90907.0,2551,1894,-4445,0.0043,-536245,900.0,RISE
2020-04-14,11500.0,10600.0,11600.0,10500.0,38778.0,902,14,-916,0.004,-531800,800.0,RISE
2020-04-13,10700.0,11500.0,11950.0,10650.0,22237.0,2087,-687,-1400,0.004,-530884,650.0,FALL
2020-04-10,11350.0,12000.0,12000.0,10800.0,76689.0,622,-308,-314,0.0041,-529484,450.0,FALL
2020-04-09,11800.0,11500.0,12050.0,11150.0,60796.0,-3208,5481,-2273,0.0042,-529170,600.0,RISE
2020-04-08,11200.0,10700.0,11550.0,10200.0,52081.0,874,-1889,1015,0.0032,-526897,500.0,RISE
2020-04-07,10700.0,9970.0,10700.0,9700.0,64375.0,-3163,1487,1676,0.0035,-527912,1120.0,RISE
2020-04-06,9580.0,9480.0,9800.0,9210.0,29388.0,-221,821,-600,0.0032,-529588,410.0,RISE
2020-04-03,9170.0,9220.0,9470.0,9000.0,15305.0,-318,318,0,0.0031,-528988,10.0,FALL
2020-04-02,9180.0,9150.0,9540.0,8590.0,14432.0,-50,50,0,0.003,-528988,150.0,FALL
2020-04-01,9330.0,9020.0,9770.0,9010.0,31839.0,-5,5,0,0.003,-528988,150.0,RISE
2020-03-31,9180.0,9390.0,9910.0,8630.0,35481.0,2693,-2693,0,0.003,-528988,10.0,FALL
2020-03-30,9190.0,8630.0,9240.0,8130.0,47807.0,585,-585,0,0.0035,-528988,510.0,RISE
2020-03-27,8680.0,8510.0,8910.0,8390.0,49392.0,477,-1677,1200,0.0036,-528988,400.0,RISE
2020-03-26,8280.0,7770.0,8350.0,7600.0,61001.0,-1997,368,1629,0.0039,-530188,680.0,RISE
2020-03-25,7600.0,7150.0,7630.0,6900.0,61600.0,98,142,-240,0.0039,-531817,910.0,RISE
2020-03-24,6690.0,6210.0,6690.0,6110.0,44009.0,-2125,2360,-235,0.0038,-531577,700.0,RISE
2020-03-23,5990.0,5650.0,6050.0,5530.0,40205.0,-5163,937,4226,0.0034,-531342,210.0,FALL
2020-03-20,6200.0,5730.0,6250.0,5730.0,41288.0,1399,-1399,0,0.0032,-535568,500.0,RISE
2020-03-19,5700.0,7570.0,7780.0,5520.0,76879.0,-1691,1691,0,0.0035,-535568,1840.0,FALL
2020-03-18,7540.0,8370.0,8660.0,7540.0,38654.0,-499,499,0,0.0032,-535568,790.0,FALL
2020-03-17,8330.0,7820.0,8490.0,7600.0,77787.0,505,1435,-1940,0.0031,-535568,360.0,FALL
2020-03-16,8690.0,9560.0,9800.0,8690.0,59748.0,-1697,1997,-300,0.0029,-533628,910.0,FALL
2020-03-13,9600.0,9900.0,9980.0,9070.0,91734.0,3950,-3775,-175,0.0025,-533328,1600.0,FALL
2020-03-12,11200.0,11200.0,11750.0,10500.0,56629.0,-2249,-62,2311,0.0032,-533153,150.0,FALL
2020-03-11,11350.0,12150.0,12150.0,11200.0,29154.0,-690,57,633,0.0032,-535464,550.0,FALL
2020-03-10,11900.0,11500.0,12000.0,11000.0,26659.0,-1102,629,473,0.0027,-536097,300.0,RISE
2020-03-09,11600.0,12000.0,12150.0,11400.0,42090.0,-1186,18,1168,0.0026,-536570,750.0,FALL
2020-03-06,12350.0,12550.0,12800.0,12350.0,28463.0,664,-164,-500,0.0026,-537738,700.0,FALL
2020-03-05,13050.0,12750.0,13050.0,12700.0,21294.0,-423,423,0,0.0026,-537238,300.0,RISE
2020-03-04,12750.0,12750.0,12850.0,12450.0,12530.0,-211,211,0,0.0025,-537238,250.0,RISE
2020-03-03,12500.0,12500.0,12800.0,12150.0,34606.0,1634,-1634,0,0.0025,-537238,300.0,RISE
2020-03-02,12200.0,11800.0,12400.0,11750.0,14836.0,-499,499,0,0.0028,-537238,300.0,RISE
2020-02-28,11900.0,12150.0,12300.0,11550.0,55190.0,1726,-1726,0,0.0025,-537238,600.0,FALL
2020-02-27,12500.0,12900.0,12950.0,12350.0,37212.0,4028,-1460,-2568,0.0028,-537238,400.0,FALL
2020-02-26,12900.0,12700.0,12950.0,12400.0,64068.0,28995,-5732,-23263,0.0031,-534670,250.0,FALL
2020-02-25,13150.0,12650.0,13150.0,12350.0,26233.0,1936,-1436,-500,0.0042,-511407,400.0,RISE
2020-02-24,12750.0,13100.0,13150.0,12600.0,59706.0,-1530,3530,-2000,0.0,-510907,700.0,FALL
2020-02-21,13450.0,13300.0,13700.0,13200.0,42429.0,-1535,1535,0,0.0,-508907,250.0,FALL
2020-02-20,13700.0,14050.0,14250.0,13650.0,50826.0,-2752,2752,0,0.0,-508907,400.0,FALL
2020-02-19,14100.0,14550.0,14600.0,13950.0,31444.0,575,-575,0,0.0,-508907,450.0,FALL
2020-02-18,14550.0,14900.0,15000.0,14300.0,48544.0,-1089,1089,0,0.0,-508907,500.0,FALL
2020-02-17,15050.0,15100.0,15100.0,14700.0,32663.0,-2670,420,2250,0.0,-508907,0.0,EVEN
2020-02-14,15050.0,14850.0,15300.0,14800.0,29194.0,-757,757,0,0.0,-511157,200.0,RISE
2020-02-13,14850.0,15150.0,15500.0,14850.0,102456.0,14223,302,-14525,0.0,-511157,100.0,FALL
2020-02-12,14950.0,14600.0,14950.0,14400.0,55030.0,2368,-2243,-125,0.0,-496632,450.0,RISE
2020-02-11,14500.0,14300.0,14550.0,14200.0,27509.0,768,-768,0,0.0,-496507,200.0,RISE
2020-02-10,14300.0,14350.0,14550.0,14000.0,28729.0,-771,1055,-284,0.0,-496507,200.0,FALL
2020-02-07,14500.0,14350.0,14550.0,14200.0,24995.0,234,-234,0,0.0,-496223,150.0,RISE
2020-02-06,14350.0,14100.0,14500.0,13950.0,74183.0,-1245,1215,30,0.0,-496223,250.0,RISE
2020-02-05,14100.0,14000.0,14200.0,13750.0,48064.0,8053,-3053,-5000,0.0,-496253,300.0,RISE
2020-02-04,13800.0,13700.0,13950.0,13450.0,39036.0,4644,332,-4976,0.0,-491253,450.0,RISE
2020-02-03,13350.0,13000.0,13600.0,12550.0,61501.0,-4673,3921,752,0.0,-486277,250.0,FALL
2020-01-31,13600.0,14100.0,14650.0,13300.0,63091.0,9184,-1339,-7845,0.0,-487029,600.0,FALL
2020-01-30,14200.0,14950.0,15000.0,13800.0,84743.0,-3690,2988,702,0.0,-479184,650.0,FALL
2020-01-29,14850.0,14900.0,15050.0,14650.0,42460.0,-2094,398,1696,0.0,-479886,50.0,RISE
2020-01-28,14800.0,15300.0,15500.0,14600.0,119568.0,-5066,3915,1151,0.0,-481582,1300.0,FALL
2020-01-23,16100.0,16200.0,16500.0,15950.0,103696.0,9396,-9396,0,0.0,-482733,100.0,FALL
2020-01-22,16200.0,16000.0,16350.0,15800.0,96790.0,-13432,5235,8197,0.0,-482733,200.0,RISE
2020-01-21,16000.0,16200.0,16400.0,15700.0,80063.0,-751,751,0,0.0,-490930,250.0,FALL
2020-01-20,16250.0,15650.0,16250.0,15550.0,119821.0,-3719,3719,0,0.0,-490930,650.0,RISE
2020-01-17,15600.0,16200.0,16500.0,15550.0,241302.0,579,-579,0,0.0,-490930,450.0,FALL
2020-01-16,16050.0,16000.0,16650.0,15700.0,331240.0,1776,-2529,753,0.0,-490930,100.0,RISE
2020-01-15,15950.0,16850.0,17000.0,15950.0,348819.0,4924,-4924,0,0.0,-491683,850.0,FALL
2020-01-14,16800.0,15100.0,17100.0,14850.0,969718.0,9759,1000,-10759,0.0,-491683,1750.0,RISE
2020-01-13,15050.0,15350.0,15350.0,14850.0,42592.0,2414,-2414,0,0.0,-480924,50.0,FALL
2020-01-10,15100.0,14500.0,15100.0,14350.0,57370.0,-4078,-1522,5600,0.0,-480924,600.0,RISE
2020-01-09,14500.0,14500.0,14550.0,14300.0,22278.0,-976,976,0,0.0,-486524,400.0,RISE
2020-01-08,14100.0,14800.0,14800.0,14050.0,44810.0,-139,139,0,0.0,-486524,700.0,FALL
2020-01-07,14800.0,14700.0,15000.0,14600.0,38702.0,1611,-1353,-258,0.0,-486524,250.0,RISE
2020-01-06,14550.0,14800.0,14900.0,14550.0,42903.0,-1778,1778,0,0.0,-486266,550.0,FALL
2020-01-03,15100.0,15400.0,15600.0,14950.0,43121.0,4156,-4156,0,0.0,-486266,200.0,FALL
2020-01-02,15300.0,14800.0,15400.0,14800.0,53987.0,-5244,1696,3548,0.0,-486266,450.0,RISE
2019-12-30,14850.0,14650.0,14950.0,14550.0,33304.0,-1315,1315,0,0.0,-489814,150.0,RISE
2019-12-27,14700.0,14600.0,14800.0,14300.0,30528.0,984,-331,-653,0.0,-489814,250.0,RISE
2019-12-26,14450.0,14350.0,14550.0,14200.0,15679.0,-81,-158,239,0.0,-489161,0.0,EVEN
2019-12-24,14450.0,14150.0,14600.0,13900.0,37993.0,-3395,881,2514,0.0,-489400,250.0,RISE
2019-12-23,14200.0,14850.0,15100.0,14200.0,43770.0,-2965,1995,970,0.0,-491914,650.0,FALL
2019-12-20,14850.0,15500.0,15550.0,14750.0,67254.0,-1634,534,1100,0.0,-492884,650.0,FALL
2019-12-19,15500.0,15750.0,16900.0,15250.0,430970.0,1527,-897,-630,0.0,-493984,200.0,RISE
2019-12-18,15300.0,15250.0,15750.0,15100.0,75176.0,-1337,676,661,0.0,-493354,300.0,RISE
2019-12-17,15000.0,15000.0,15550.0,14850.0,97337.0,-682,682,0,0.0,-494015,250.0,RISE
2019-12-16,14750.0,14900.0,15400.0,14600.0,98618.0,-2505,-334,2839,0.0,-494015,50.0,FALL
2019-12-13,14800.0,14850.0,15150.0,14500.0,77330.0,-672,-838,1510,0.0,-496854,250.0,RISE
2019-12-12,14550.0,14300.0,14900.0,14200.0,61748.0,344,-317,-27,0.0,-498364,400.0,RISE
2019-12-11,14150.0,14650.0,15300.0,14100.0,116529.0,-2508,523,1985,0.0,-498337,550.0,FALL
2019-12-10,14700.0,14050.0,16400.0,14000.0,414418.0,1290,-1190,-100,0.0,-500322,650.0,RISE
