,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,59000.0,59700.0,60300.0,58700.0,520070.0,-42337,121,42216,0.0746,-85916,300.0,RISE
2020-06-01,58700.0,56300.0,59100.0,56200.0,645359.0,-96378,22349,74029,0.0746,-128132,3200.0,RISE
2020-05-29,55500.0,56700.0,57500.0,55500.0,573457.0,101786,-91672,-10114,0.0734,-202161,1200.0,FALL
2020-05-28,56700.0,58700.0,59200.0,55200.0,594476.0,18871,32112,-50983,0.0749,-192047,1000.0,FALL
2020-05-27,57700.0,60000.0,60000.0,57400.0,699736.0,111076,-52247,-58829,0.0738,-141064,2600.0,FALL
2020-05-26,60300.0,60400.0,61900.0,59700.0,726444.0,1232,-6135,4903,0.0749,-82235,600.0,RISE
2020-05-25,59700.0,58800.0,59700.0,57700.0,569854.0,-74251,9949,64302,0.0751,-87138,1300.0,RISE
2020-05-22,58400.0,58600.0,59800.0,57800.0,699892.0,69474.0,-60509.0,-8965.0,0.0751,131900.0,200.0,RISE
2020-05-21,58200.0,57900.0,59500.0,57000.0,714504.0,-156223.0,55353.0,100870.0,0.076,140865.0,1000.0,RISE
2020-05-20,57200.0,55000.0,57200.0,54900.0,411461.0,-90924.0,29952.0,60972.0,0.0751,39995.0,1300.0,RISE
2020-05-19,55900.0,57500.0,57500.0,55400.0,567098.0,116977.0,-78823.0,-38154.0,0.0747,-20977.0,100.0,FALL
2020-05-18,56000.0,54500.0,56200.0,53200.0,746268.0,-111687.0,21054.0,90633.0,0.0761,17177.0,2100.0,RISE
2020-05-15,53900.0,53100.0,54500.0,52100.0,634048.0,-39806.0,19153.0,20653.0,0.0757,-73456.0,1600.0,RISE
2020-05-14,52300.0,53200.0,53700.0,51600.0,399550.0,5713.0,-24552.0,18839.0,0.0754,-94109.0,1000.0,FALL
2020-05-13,53300.0,49100.0,54800.0,49100.0,923860.0,-270454.0,199765.0,70689.0,0.076,-112948.0,3000.0,RISE
2020-05-12,50300.0,51000.0,51500.0,49550.0,300939.0,-3233.0,22984.0,-19751.0,0.0728,-183637.0,700.0,FALL
2020-05-11,51000.0,52600.0,52600.0,51000.0,224352.0,7496.0,10391.0,-17887.0,0.0724,-163886.0,1000.0,FALL
2020-05-08,52000.0,51800.0,52600.0,51600.0,252357.0,-16065.0,26011.0,-9946.0,0.0723,-145999.0,700.0,RISE
2020-05-07,51300.0,51200.0,51700.0,50700.0,168047.0,3144.0,-4140.0,996.0,0.0723,-136053.0,100.0,RISE
