날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,14600.0,14300.0,15150.0,14300.0,326091.0,7237,2496,-9733,0.0177,1112647,350.0,RISE
2020-05-21,14250.0,14600.0,14650.0,14050.0,197743.0,-49196,35914,13282,0.0177,1122380,50.0,FALL
2020-05-20,14300.0,14100.0,14550.0,14100.0,137916.0,-35498,-5722,41220,0.0167,1109098,50.0,FALL
2020-05-19,14350.0,15000.0,15100.0,14100.0,359682.0,37653,-5518,-32135,0.0169,1067878,550.0,FALL
2020-05-18,14900.0,14500.0,15650.0,14100.0,551997.0,-91906,2125,89781,0.017,1100013,500.0,RISE
2020-05-15,14400.0,14350.0,15000.0,14100.0,429246.0,34941,-16909,-18032,0.017,1010232,50.0,RISE
2020-05-14,14350.0,14100.0,14400.0,13950.0,193037.0,-39829,9187,30642,0.0174,1028264,50.0,RISE
2020-05-13,14300.0,13700.0,14850.0,13450.0,690546.0,-56152,16826,39326,0.0172,997622,550.0,RISE
2020-05-12,13750.0,12200.0,14700.0,12200.0,1477745.0,-154336,36124,118212,0.0168,958296,1450.0,RISE
2020-05-11,12300.0,12300.0,12350.0,12000.0,94483.0,-35818,7321,28497,0.0159,840084,50.0,FALL
2020-05-08,12350.0,12300.0,12400.0,12000.0,105915.0,-20476,20641,-165,0.0157,811587,100.0,RISE
2020-05-07,12250.0,12600.0,12600.0,12200.0,110216.0,11719,-509,-11210,0.0151,811752,50.0,FALL
2020-05-06,12300.0,12550.0,12550.0,12100.0,112309.0,6899,3728,-10627,0.0152,822962,150.0,RISE
2020-05-04,12150.0,12000.0,12600.0,11850.0,175749.0,22384,2261,-24645,0.0151,833589,50.0,RISE
2020-04-29,12100.0,12050.0,12350.0,11900.0,146250.0,-25795,13197,12598,0.0151,858234,100.0,FALL
2020-04-28,12200.0,12700.0,12700.0,12050.0,176472.0,37510,2362,-39872,0.0148,845636,400.0,FALL
2020-04-27,12600.0,12900.0,13200.0,12450.0,348146.0,6070,-6075,5,0.0147,885508,100.0,RISE
2020-04-24,12500.0,11750.0,13200.0,11550.0,594702.0,-62319,10321,51998,0.0149,885503,750.0,RISE
2020-04-23,11750.0,11200.0,11800.0,11050.0,277579.0,-136285,29447,106838,0.0146,833505,750.0,RISE
2020-04-22,11000.0,10600.0,11000.0,10450.0,134537.0,-26320,-1138,27458,0.0139,726667,200.0,RISE
2020-04-21,10800.0,10750.0,10900.0,10000.0,204143.0,-49726,-2334,52060,0.0138,699209,150.0,RISE
2020-04-20,10650.0,10500.0,10850.0,10400.0,144026.0,-27395,2989,24406,0.0141,647149,150.0,RISE
2020-04-17,10500.0,10600.0,10650.0,10300.0,231575.0,15099,-12525,-2574,0.014,622743,50.0,FALL
2020-04-16,10550.0,10200.0,10600.0,9870.0,158213.0,-31047,-4528,35575,0.0143,625317,400.0,RISE
2020-04-14,10150.0,10300.0,10350.0,10000.0,159334.0,-15876,13584,2292,0.0144,589742,160.0,RISE
2020-04-13,9990.0,10050.0,11000.0,9900.0,340708.0,26128,13597,-39725,0.0141,587450,0.0,EVEN
2020-04-10,9990.0,10150.0,10150.0,9800.0,123085.0,21717,-3320,-18397,0.0137,627175,160.0,FALL
2020-04-09,10150.0,10200.0,10350.0,10050.0,122014.0,5634,6752,-12386,0.0138,645572,50.0,RISE
2020-04-08,10100.0,10200.0,10400.0,10000.0,150529.0,3301,-1318,-1983,0.0136,657958,150.0,FALL
2020-04-07,10250.0,10750.0,10750.0,10100.0,172306.0,-7493,3541,3952,0.0137,659941,100.0,RISE
2020-04-06,10150.0,9950.0,10500.0,9950.0,285347.0,-37611,13053,24558,0.0135,655989,350.0,RISE
2020-04-03,9800.0,9950.0,10250.0,9150.0,195089.0,20561,-9717,-10844,0.0131,631431,60.0,RISE
