,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3140.0,3100.0,3155.0,3045.0,221684.0,2295,-2295,0,0.0471,-1069,30.0,RISE
2020-06-01,3110.0,2920.0,3110.0,2900.0,344929.0,-33098,33098,0,0.0473,-1069,195.0,RISE
2020-05-29,2915.0,2805.0,2915.0,2780.0,137450.0,7645,-7645,0,0.0437,-1069,55.0,RISE
2020-05-28,2860.0,2870.0,2885.0,2745.0,149476.0,42249,-42249,0,0.0445,-1069,10.0,FALL
2020-05-27,2870.0,2860.0,2900.0,2805.0,129429.0,19293,-19293,0,0.0487,-1069,10.0,RISE
2020-05-26,2860.0,2755.0,2895.0,2755.0,194871.0,-32357,32357,0,0.0507,-1069,85.0,RISE
2020-05-25,2775.0,2705.0,2795.0,2700.0,118421.0,2864,-2864,0,0.0474,-1069,65.0,RISE
2020-05-22,2710.0,2740.0,2770.0,2670.0,96603.0,15620.0,-15620.0,0.0,0.0477,-1067.0,60.0,FALL
2020-05-21,2770.0,2785.0,2840.0,2760.0,128906.0,31687.0,-31687.0,0.0,0.0493,-1067.0,0.0,EVEN
2020-05-20,2770.0,2665.0,2780.0,2655.0,122274.0,-10780.0,10780.0,0.0,0.0525,-1067.0,80.0,RISE
2020-05-19,2690.0,2570.0,2730.0,2570.0,161332.0,-33204.0,33204.0,0.0,0.0514,-1067.0,95.0,RISE
2020-05-18,2595.0,2550.0,2615.0,2500.0,79399.0,-12971.0,12971.0,0.0,0.048,-1067.0,10.0,RISE
2020-05-15,2585.0,2605.0,2605.0,2470.0,85104.0,4871.0,-4871.0,0.0,0.0467,-1067.0,20.0,FALL
2020-05-14,2605.0,2625.0,2630.0,2555.0,55610.0,21812.0,-21812.0,0.0,0.0472,-1067.0,30.0,FALL
2020-05-13,2635.0,2530.0,2695.0,2500.0,125479.0,-34621.0,34621.0,0.0,0.0494,-1067.0,65.0,RISE
2020-05-12,2570.0,2665.0,2680.0,2550.0,120789.0,20391.0,-20391.0,0.0,0.0459,-1067.0,95.0,FALL
2020-05-11,2665.0,2720.0,2750.0,2630.0,57306.0,5701.0,-5701.0,0.0,0.048,-1067.0,55.0,FALL
2020-05-08,2720.0,2725.0,2740.0,2675.0,107904.0,10278.0,-10278.0,0.0,0.0486,-1067.0,0.0,EVEN
2020-05-07,2720.0,2640.0,2760.0,2640.0,205592.0,7971.0,-7971.0,0.0,0.0496,-1067.0,65.0,RISE
2020-05-06,2655.0,2615.0,2655.0,2585.0,73736.0,-23642.0,23642.0,0.0,0.0504,-1067.0,40.0,RISE
2020-05-04,2615.0,2625.0,2630.0,2540.0,60805.0,-7110.0,7110.0,0.0,0.048,-1067.0,50.0,FALL
2020-04-29,2665.0,2615.0,2690.0,2615.0,93954.0,-32035.0,32035.0,0.0,0.0473,-1067.0,50.0,RISE
2020-04-28,2615.0,2610.0,2695.0,2550.0,119739.0,-13660.0,13661.0,-1.0,0.0441,-1067.0,5.0,RISE
2020-04-27,2610.0,2540.0,2665.0,2500.0,67504.0,-25809.0,25809.0,0.0,0.0427,-1066.0,70.0,RISE
2020-04-24,2540.0,2660.0,2660.0,2530.0,91890.0,1364.0,-1364.0,0.0,0.0401,-1066.0,115.0,FALL
2020-04-23,2655.0,2645.0,2685.0,2625.0,82118.0,-31562.0,31562.0,0.0,0.0402,-1066.0,10.0,RISE
2020-04-22,2645.0,2630.0,2650.0,2520.0,53493.0,-4338.0,4338.0,0.0,0.037000000000000005,-1066.0,10.0,FALL
2020-04-21,2655.0,2775.0,2775.0,2300.0,341329.0,26874.0,-26874.0,0.0,0.0366,-1066.0,30.0,FALL
2020-04-20,2685.0,2680.0,2740.0,2645.0,194314.0,-8647.0,8647.0,0.0,0.0393,-1066.0,60.0,RISE
2020-04-17,2625.0,2570.0,2640.0,2525.0,237784.0,-70420.0,70420.0,0.0,0.0384,-1066.0,100.0,RISE
2020-04-16,2525.0,2480.0,2530.0,2420.0,62103.0,3553.0,-3553.0,0.0,0.0313,-1066.0,55.0,RISE
2020-04-14,2470.0,2455.0,2500.0,2405.0,49559.0,-16605.0,16605.0,0.0,0.0317,-1066.0,40.0,RISE
2020-04-13,2430.0,2430.0,2485.0,2375.0,54897.0,-5449.0,5449.0,0.0,0.03,-1066.0,0.0,EVEN
2020-04-10,2430.0,2540.0,2540.0,2340.0,85810.0,-6254.0,6254.0,0.0,0.0294,-1066.0,60.0,FALL
2020-04-09,2490.0,2460.0,2520.0,2450.0,66945.0,-9171.0,9171.0,0.0,0.0288,-1066.0,30.0,RISE
2020-04-08,2460.0,2425.0,2495.0,2360.0,127347.0,-14291.0,14291.0,0.0,0.0279,-1066.0,35.0,RISE
2020-04-07,2425.0,2450.0,2465.0,2315.0,135320.0,-18367.0,18367.0,0.0,0.0264,-1066.0,55.0,RISE
2020-04-06,2370.0,2305.0,2385.0,2265.0,147775.0,-20760.0,20760.0,0.0,0.0246,-1066.0,80.0,RISE
2020-04-03,2290.0,2185.0,2350.0,2160.0,143665.0,21259.0,-21259.0,0.0,0.0225,-1066.0,105.0,RISE
2020-04-02,2185.0,2120.0,2205.0,2065.0,95269.0,-6959.0,6959.0,0.0,0.0246,-1066.0,5.0,FALL
2020-04-01,2190.0,2135.0,2280.0,2015.0,145489.0,1663.0,-1663.0,0.0,0.0239,-1066.0,60.0,RISE
2020-03-31,2130.0,2030.0,2170.0,2015.0,124271.0,9281.0,-9281.0,0.0,0.0241,-1066.0,100.0,RISE
2020-03-30,2030.0,1850.0,2065.0,1850.0,117893.0,-24257.0,24257.0,0.0,0.025,-1066.0,100.0,RISE
2020-03-27,1930.0,1920.0,2000.0,1870.0,221179.0,23703.0,-23703.0,0.0,0.0226,-1066.0,80.0,RISE
2020-03-26,1850.0,1760.0,1950.0,1735.0,206550.0,25547.0,-25547.0,0.0,0.025,-1066.0,80.0,RISE
2020-03-25,1770.0,1655.0,1795.0,1655.0,158901.0,10614.0,-10614.0,0.0,0.0275,-1066.0,140.0,RISE
2020-03-24,1630.0,1560.0,1635.0,1560.0,136060.0,5452.0,-5452.0,0.0,0.0286,-1066.0,80.0,RISE
2020-03-23,1550.0,1610.0,1620.0,1500.0,134744.0,24124.0,-24124.0,0.0,0.0296,-1066.0,145.0,FALL
2020-03-20,1695.0,1510.0,1725.0,1510.0,240877.0,-15232.0,18232.0,-3000.0,0.032,-1066.0,185.0,RISE
2020-03-19,1510.0,1985.0,2025.0,1505.0,320330.0,-18710.0,18710.0,0.0,0.0302,1934.0,475.0,FALL
2020-03-18,1985.0,2105.0,2190.0,1960.0,149184.0,19225.0,-19225.0,0.0,0.0283,1934.0,105.0,FALL
2020-03-17,2090.0,1935.0,2165.0,1860.0,178132.0,-49822.0,49822.0,0.0,0.0306,1934.0,35.0,RISE
2020-03-16,2055.0,2110.0,2280.0,2055.0,196145.0,9116.0,-9116.0,0.0,0.0256,1934.0,35.0,FALL
2020-03-13,2090.0,2045.0,2240.0,2015.0,403883.0,-58458.0,58458.0,0.0,0.0266,1934.0,280.0,FALL
2020-03-12,2370.0,2600.0,2670.0,2310.0,314394.0,-32457.0,32457.0,0.0,0.0206,1934.0,285.0,FALL
2020-03-11,2655.0,2845.0,2900.0,2585.0,280720.0,-2331.0,2331.0,0.0,0.0174,1934.0,185.0,FALL
