,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1360.0,1360.0,1385.0,1345.0,649580.0,-23625,105890,-82265,0.014,-3403388,20.0,FALL
2020-06-01,1380.0,1440.0,1465.0,1365.0,878470.0,122567,12314,-134881,0.0117,-3321123,40.0,FALL
2020-05-29,1420.0,1450.0,1465.0,1405.0,635357.0,156898,-38398,-118500,0.0115,-3186242,30.0,FALL
2020-05-28,1450.0,1465.0,1490.0,1420.0,800126.0,63359,-63359,0,0.0123,-3067742,10.0,FALL
2020-05-27,1460.0,1450.0,1460.0,1415.0,693521.0,52299,-27298,-25001,0.0138,-3067742,5.0,RISE
2020-05-26,1455.0,1445.0,1455.0,1425.0,514116.0,-7527,7527,0,0.0144,-3042741,5.0,RISE
2020-05-25,1450.0,1460.0,1465.0,1435.0,389565.0,-1241,1241,0,0.0142,-3042741,10.0,RISE
2020-05-22,1440.0,1500.0,1510.0,1420.0,997789.0,-14047.0,14047.0,0.0,0.0143,-3042736.0,55.0,FALL
2020-05-21,1495.0,1525.0,1590.0,1495.0,1039537.0,20612.0,-20612.0,0.0,0.013999999999999999,-3042736.0,45.0,FALL
2020-05-20,1540.0,1550.0,1565.0,1520.0,686045.0,-6114.0,6114.0,0.0,0.0145,-3042736.0,0.0,EVEN
2020-05-19,1540.0,1555.0,1640.0,1460.0,4326153.0,27367.0,-42367.0,15000.0,0.0143,-3042736.0,15.0,RISE
2020-05-18,1525.0,1510.0,1570.0,1505.0,669030.0,-1048.0,-2952.0,4000.0,0.0153,-3057736.0,40.0,RISE
2020-05-15,1485.0,1575.0,1575.0,1485.0,1161231.0,-33305.0,28305.0,5000.0,0.0154,-3061736.0,70.0,FALL
2020-05-14,1555.0,1535.0,1650.0,1480.0,3493845.0,13653.0,-14653.0,1000.0,0.0147,-3066736.0,5.0,RISE
2020-05-13,1550.0,1600.0,1600.0,1530.0,761399.0,79561.0,-79561.0,0.0,0.0151,-3067736.0,45.0,FALL
2020-05-12,1595.0,1545.0,1595.0,1470.0,1173131.0,-52222.0,52222.0,0.0,0.0168,-3067736.0,50.0,RISE
2020-05-11,1545.0,1625.0,1650.0,1535.0,1055108.0,1830.0,-1830.0,0.0,0.0171,-3067736.0,10.0,FALL
2020-05-08,1555.0,1540.0,1640.0,1505.0,4346004.0,401272.0,-401272.0,0.0,0.0157,-3067736.0,110.0,RISE
2020-05-07,1445.0,1310.0,1445.0,1300.0,1553377.0,66484.0,-66484.0,0.0,0.0243,-3067736.0,120.0,RISE
2020-05-06,1325.0,1350.0,1370.0,1305.0,1057697.0,-182034.0,182034.0,0.0,0.0257,-3067736.0,30.0,FALL
2020-05-04,1355.0,1415.0,1420.0,1340.0,943350.0,-108826.0,108826.0,0.0,0.0218,-3067736.0,65.0,FALL
