,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1765.0,1765.0,1780.0,1755.0,47813.0,0,0,0,0.0,1962263,10.0,FALL
2020-06-01,1775.0,1775.0,1775.0,1770.0,23962.0,0,0,0,0.0004,1962263,0.0,EVEN
2020-05-29,1775.0,1785.0,1785.0,1765.0,4376.0,0,0,0,0.0004,1962263,5.0,RISE
2020-05-28,1770.0,1775.0,1775.0,1765.0,44196.0,0,0,0,0.0004,1962263,0.0,EVEN
2020-05-27,1770.0,1730.0,1770.0,1730.0,16652.0,0,0,0,0.0004,1962263,5.0,RISE
2020-05-26,1765.0,1760.0,1770.0,1760.0,390.0,0,0,0,0.0,1962263,5.0,RISE
2020-05-25,1760.0,1760.0,1770.0,1755.0,15993.0,-200,0,200,0.0004,1962263,5.0,RISE
2020-05-22,1755.0,1780.0,1780.0,1750.0,21353.0,0.0,0.0,0.0,0.0,1962063.0,25.0,FALL
2020-05-21,1780.0,1780.0,1785.0,1755.0,1360.0,0.0,0.0,0.0,0.0,1962063.0,5.0,FALL
2020-05-20,1785.0,1785.0,1785.0,1750.0,54756.0,0.0,0.0,0.0,0.0004,1962063.0,0.0,EVEN
2020-05-19,1785.0,1775.0,1785.0,1775.0,11033.0,0.0,0.0,0.0,0.0004,1962063.0,10.0,RISE
2020-05-18,1775.0,1750.0,1775.0,1750.0,3446.0,,,,,,,
2020-05-15,1775.0,1755.0,1780.0,1755.0,7264.0,,,,,,,
2020-05-14,1775.0,1735.0,1775.0,1735.0,366.0,,,,,,,
2020-05-13,1775.0,1740.0,1775.0,1730.0,2017.0,0.0,0.0,0.0,0.0004,1962063.0,5.0,RISE
2020-05-12,1770.0,1780.0,1780.0,1725.0,60617.0,-60000.0,0.0,60000.0,0.0004,1962063.0,5.0,FALL
2020-05-11,1775.0,1770.0,1775.0,1770.0,6249.0,0.0,0.0,0.0,0.0004,1902063.0,10.0,RISE
2020-05-08,1765.0,1760.0,1765.0,1760.0,51317.0,-50966.0,0.0,50966.0,0.0004,1902063.0,5.0,RISE
2020-05-07,1760.0,1760.0,1765.0,1755.0,11741.0,-214.0,0.0,214.0,0.0004,1851097.0,10.0,RISE
2020-05-06,1750.0,1770.0,1770.0,1750.0,945.0,0.0,0.0,0.0,0.0004,1850883.0,0.0,EVEN
2020-05-04,1750.0,1755.0,1755.0,1720.0,23995.0,-1997.0,0.0,1997.0,0.0004,1850883.0,25.0,RISE
2020-04-29,1725.0,1730.0,1730.0,1725.0,1343.0,0.0,0.0,0.0,0.0004,1848886.0,0.0,EVEN
2020-04-28,1725.0,1725.0,1730.0,1725.0,6028.0,0.0,0.0,0.0,0.0004,1848886.0,5.0,RISE
2020-04-27,1720.0,1730.0,1735.0,1720.0,285460.0,-274621.0,0.0,274621.0,0.0004,1848886.0,5.0,FALL
