,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,4920.0,4820.0,4990.0,4820.0,21222.0,-3013,3013,0,0.0042,-12242,100.0,RISE
2020-06-01,4820.0,4590.0,4885.0,4575.0,35699.0,-4294,4294,0,0.004,-12242,230.0,RISE
2020-05-29,4590.0,4510.0,4655.0,4400.0,21539.0,-3426,3426,0,0.0037,-12242,80.0,RISE
2020-05-28,4510.0,4680.0,4780.0,4420.0,41670.0,-649,649,0,0.0035,-12242,170.0,FALL
2020-05-27,4680.0,4865.0,4995.0,4670.0,36182.0,-522,523,-1,0.0035,-12242,185.0,FALL
2020-05-26,4865.0,4710.0,4925.0,4710.0,24791.0,-2922,2922,0,0.0034,-12241,155.0,RISE
2020-05-25,4710.0,4730.0,4900.0,4555.0,9039.0,-1292,1292,0,0.0032,-12241,20.0,FALL
2020-05-22,4730.0,4790.0,4900.0,4630.0,25387.0,-1145.0,1145.0,0.0,0.0032,-12111.0,60.0,FALL
2020-05-21,4790.0,4805.0,4900.0,4635.0,22560.0,-958.0,951.0,7.0,0.0031,-12111.0,30.0,FALL
2020-05-20,4820.0,4840.0,4990.0,4600.0,15463.0,-1652.0,1651.0,1.0,0.003,-12118.0,20.0,FALL
2020-05-19,4840.0,4770.0,4970.0,4770.0,49419.0,-91.0,91.0,0.0,0.0029,-12119.0,70.0,RISE
2020-05-18,4770.0,4690.0,4825.0,4625.0,34700.0,-1800.0,1810.0,-10.0,0.0029,-12119.0,80.0,RISE
2020-05-15,4690.0,4505.0,4750.0,4480.0,45197.0,-4324.0,4324.0,0.0,0.0028,-12109.0,140.0,RISE
2020-05-14,4550.0,4390.0,4640.0,4385.0,19779.0,-1650.0,1630.0,20.0,0.0025,-12109.0,50.0,RISE
2020-05-13,4500.0,4360.0,4650.0,4250.0,49423.0,-1717.0,1727.0,-10.0,0.0024,-12129.0,70.0,RISE
2020-05-12,4430.0,4680.0,4690.0,4380.0,24619.0,-124.0,124.0,0.0,0.0023,-12119.0,260.0,FALL
2020-05-11,4690.0,4690.0,4900.0,4625.0,7233.0,-28.0,28.0,0.0,0.0023,-12119.0,0.0,EVEN
2020-05-08,4690.0,4655.0,4800.0,4520.0,28404.0,-424.0,424.0,0.0,0.0023,-12119.0,40.0,RISE
2020-05-07,4650.0,4585.0,4880.0,4520.0,32960.0,47.0,-47.0,0.0,0.0022,-12119.0,65.0,RISE
2020-05-06,4585.0,4420.0,4590.0,4420.0,36077.0,0.0,0.0,0.0,0.0022,-12119.0,130.0,RISE
2020-05-04,4455.0,4450.0,4460.0,4285.0,39373.0,26.0,-16.0,-10.0,0.0022,-12119.0,55.0,RISE
2020-04-29,4400.0,4275.0,5000.0,4265.0,194499.0,20.0,0.0,-20.0,0.0022,-12109.0,125.0,RISE
