,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,98100.0,107000.0,111000.0,97500.0,1911523.0,331605,-38066,-293539,0.1612,1613486,5900.0,RISE
2020-06-01,92200.0,91300.0,93500.0,91000.0,309828.0,26433,-2257,-24176,0.1617,1907025,1400.0,RISE
2020-05-29,90800.0,88700.0,91100.0,86600.0,481609.0,-26019,5817,20202,0.1619,1931201,1500.0,RISE
2020-05-28,89300.0,93600.0,93800.0,86800.0,737197.0,182679,-143515,-39164,0.1619,1910999,3400.0,FALL
2020-05-27,92700.0,86800.0,96000.0,86700.0,1476514.0,-300152,-5063,305215,0.1637,1950163,6900.0,RISE
2020-05-26,85800.0,85800.0,86700.0,85000.0,511045.0,-55831,29363,26468,0.1638,1644948,2000.0,RISE
2020-05-25,83800.0,81800.0,85600.0,81200.0,740036.0,-245091,136877,108214,0.1634,1618480,3900.0,RISE
2020-05-22,79900.0,82600.0,82600.0,79200.0,371182.0,125430.0,-60982.0,-64448.0,0.1615,1544173.0,2300.0,FALL
2020-05-21,82200.0,81100.0,82700.0,80600.0,362493.0,-41444.0,77046.0,-35602.0,0.1624,1608621.0,1900.0,RISE
2020-05-20,80300.0,81000.0,82100.0,80100.0,219398.0,46134.0,-19137.0,-26997.0,0.1613,1644223.0,1100.0,FALL
2020-05-19,81400.0,82000.0,83600.0,81000.0,489426.0,-200641.0,86580.0,114061.0,0.1616,1671220.0,3000.0,RISE
2020-05-18,78400.0,79600.0,79700.0,77300.0,163360.0,-6833.0,-8890.0,15723.0,0.1602,1557159.0,0.0,EVEN
2020-05-15,78400.0,77900.0,78800.0,77100.0,175559.0,-16559.0,23213.0,-6654.0,0.1603,1541436.0,1700.0,RISE
2020-05-14,76700.0,77000.0,77500.0,76200.0,256721.0,65858.0,-34748.0,-31110.0,0.1597,1548090.0,1300.0,FALL
2020-05-13,78000.0,77000.0,78000.0,76700.0,210748.0,66384.0,-23145.0,-43239.0,0.1602,1579200.0,200.0,FALL
2020-05-12,78200.0,80000.0,80300.0,78000.0,287928.0,119091.0,-43548.0,-75543.0,0.1605,1622439.0,1700.0,FALL
2020-05-11,79900.0,82100.0,82200.0,79700.0,256576.0,101872.0,-23418.0,-78454.0,0.1611,1697982.0,1800.0,FALL
2020-05-08,81700.0,83000.0,83500.0,81500.0,250242.0,68348.0,-15298.0,-53050.0,0.1614,1776436.0,400.0,FALL
2020-05-07,82100.0,81500.0,83000.0,81200.0,184219.0,46381.0,-28065.0,-18316.0,0.1615,1829486.0,300.0,FALL
2020-05-06,82400.0,81300.0,83900.0,81000.0,429041.0,-92248.0,30525.0,61723.0,0.1623,1847802.0,3200.0,RISE
2020-05-04,79200.0,81300.0,81400.0,79100.0,453170.0,228517.0,-136959.0,-91558.0,0.1619,1786079.0,3500.0,FALL
2020-04-29,82700.0,78200.0,84200.0,77800.0,1107897.0,-300085.0,189528.0,110557.0,0.1638,1877637.0,5300.0,RISE
2020-04-28,77400.0,77000.0,77400.0,76000.0,239439.0,27166.0,-8271.0,-18895.0,0.161,1767080.0,100.0,RISE
2020-04-27,77300.0,77200.0,77900.0,75900.0,256586.0,-27558.0,-11072.0,38630.0,0.1611,1785975.0,900.0,RISE
2020-04-24,76400.0,77800.0,78500.0,75500.0,268763.0,58171.0,-24433.0,-33738.0,0.1613,1747345.0,900.0,FALL
2020-04-23,77300.0,76700.0,78800.0,76400.0,540519.0,-12117.0,7423.0,4694.0,0.1616,1781083.0,1600.0,RISE
2020-04-22,75700.0,75900.0,76300.0,74300.0,552737.0,241324.0,45734.0,-287058.0,0.1615,1776389.0,1300.0,FALL
2020-04-21,77000.0,79700.0,80400.0,76000.0,758374.0,387453.0,-275453.0,-112000.0,0.1611,2063447.0,4000.0,FALL
2020-04-20,81000.0,82000.0,82700.0,80900.0,211206.0,36865.0,-12944.0,-23921.0,0.1649,2175447.0,1000.0,FALL
2020-04-17,82000.0,80200.0,82500.0,80200.0,287113.0,-26265.0,33349.0,-7084.0,0.1649,2199368.0,2000.0,RISE
2020-04-16,80000.0,80100.0,80900.0,79000.0,322393.0,110216.0,-54984.0,-55232.0,0.1643,2206452.0,2400.0,FALL
2020-04-14,82400.0,81500.0,83100.0,81100.0,227153.0,-13452.0,23822.0,-10370.0,0.1655,2261684.0,1600.0,RISE
2020-04-13,80800.0,84700.0,84700.0,80700.0,360328.0,139432.0,-16089.0,-123343.0,0.1652,2272054.0,4600.0,FALL
