,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,4575.0,4475.0,4590.0,4475.0,61386.0,5747,-4669,-1078,0.1484,-361936,100.0,RISE
2020-06-01,4475.0,4400.0,4495.0,4400.0,36172.0,-14726,-121,14847,0.1485,-360858,75.0,RISE
2020-05-29,4400.0,4440.0,4440.0,4340.0,30341.0,-3858,4642,-784,0.1485,-375705,10.0,RISE
2020-05-28,4390.0,4470.0,4540.0,4325.0,89750.0,15275,-13862,-1413,0.1484,-374921,75.0,FALL
2020-05-27,4465.0,4505.0,4545.0,4445.0,104870.0,7823,2332,-10155,0.1487,-373508,10.0,FALL
2020-05-26,4475.0,4410.0,5000.0,4365.0,572428.0,11421,-2259,-9162,0.1486,-363353,95.0,RISE
2020-05-25,4380.0,4405.0,4440.0,4375.0,28551.0,9255,-6416,-2839,0.1487,-354191,25.0,FALL
2020-05-22,4405.0,4400.0,4410.0,4345.0,60367.0,-24375.0,-10439.0,34814.0,0.1488,-346433.0,15.0,RISE
2020-05-21,4390.0,4440.0,4475.0,4390.0,125147.0,-6900.0,-21414.0,28314.0,0.149,-381247.0,65.0,RISE
2020-05-20,4325.0,4275.0,4325.0,4240.0,48538.0,-4899.0,2351.0,2548.0,0.1495,-409561.0,85.0,RISE
2020-05-19,4240.0,4285.0,4290.0,4210.0,50782.0,-5363.0,-6244.0,11607.0,0.1495,-412109.0,40.0,RISE
2020-05-18,4200.0,4270.0,4270.0,4135.0,53676.0,-21093.0,-1187.0,22280.0,0.1496,-423716.0,0.0,EVEN
2020-05-15,4200.0,4115.0,4280.0,4100.0,77637.0,-33830.0,-4156.0,37986.0,0.1496,-445996.0,85.0,RISE
2020-05-14,4115.0,4150.0,4150.0,4085.0,19644.0,-3298.0,-3658.0,6956.0,0.1497,-483982.0,15.0,RISE
2020-05-13,4100.0,4085.0,4170.0,4080.0,45326.0,15125.0,-16221.0,1096.0,0.1498,-490938.0,15.0,RISE
2020-05-12,4085.0,4135.0,4135.0,4025.0,77604.0,-23600.0,-7419.0,31019.0,0.1501,-492034.0,15.0,RISE
2020-05-11,4070.0,4140.0,4180.0,4070.0,102754.0,-14919.0,-31976.0,46895.0,0.1503,-523053.0,35.0,FALL
2020-05-08,4105.0,4080.0,4180.0,4080.0,38081.0,13782.0,-11745.0,-2037.0,0.151,-569948.0,25.0,RISE
2020-05-07,4080.0,3960.0,4090.0,3960.0,73892.0,12250.0,-1722.0,-10528.0,0.1513,-567911.0,120.0,RISE
2020-05-06,3960.0,3925.0,4015.0,3925.0,67434.0,1868.0,-20179.0,18311.0,0.1513,-557383.0,35.0,RISE
2020-05-04,3925.0,3895.0,3940.0,3755.0,63357.0,3924.0,-9060.0,5136.0,0.1517,-575694.0,5.0,FALL
2020-04-29,3930.0,3865.0,3950.0,3810.0,77113.0,-29484.0,14747.0,14737.0,0.1519,-580830.0,90.0,RISE
2020-04-28,3840.0,3800.0,3850.0,3765.0,42832.0,6987.0,1802.0,-8789.0,0.1516,-595567.0,40.0,RISE
2020-04-27,3800.0,3830.0,3830.0,3750.0,75686.0,14703.0,2778.0,-17481.0,0.1516,-586778.0,25.0,RISE
2020-04-24,3775.0,3865.0,3865.0,3760.0,35750.0,5577.0,-5016.0,-561.0,0.1515,-569297.0,50.0,FALL
2020-04-23,3825.0,3830.0,3845.0,3755.0,69239.0,-17802.0,19483.0,-1681.0,0.1516,-568736.0,25.0,RISE
