,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1885.0,1885.0,1895.0,1875.0,453132.0,-48435,118045,-69610,0.1246,-34244724,0.0,EVEN
2020-06-01,1885.0,1855.0,1885.0,1850.0,349321.0,-112312,103524,8788,0.1242,-34175114,30.0,RISE
2020-05-29,1855.0,1845.0,1865.0,1830.0,288837.0,28346,-21385,-6961,0.1237,-34183902,0.0,EVEN
2020-05-28,1855.0,1895.0,1895.0,1845.0,398471.0,66065,-57736,-8329,0.1238,-34176941,30.0,FALL
2020-05-27,1885.0,1875.0,1905.0,1870.0,570324.0,-22669,14763,7906,0.124,-34168612,15.0,RISE
2020-05-26,1870.0,1860.0,1875.0,1855.0,315864.0,24671,-34135,9464,0.1239,-34176518,10.0,RISE
2020-05-25,1860.0,1860.0,1870.0,1845.0,195588.0,-21477,-5830,27307,0.124,-34185982,5.0,RISE
2020-05-22,1855.0,1895.0,1900.0,1840.0,633686.0,147458.0,-153142.0,5684.0,0.1241,-34590720.0,35.0,FALL
2020-05-21,1890.0,1870.0,1890.0,1845.0,490044.0,-139814.0,-26975.0,166789.0,0.1247,-34596404.0,30.0,RISE
2020-05-20,1860.0,1840.0,1870.0,1840.0,374501.0,-107632.0,-45253.0,152885.0,0.125,-34763193.0,15.0,RISE
2020-05-19,1845.0,1855.0,1880.0,1840.0,423567.0,68659.0,-41684.0,-26975.0,0.126,-34916078.0,10.0,RISE
2020-05-18,1835.0,1855.0,1855.0,1820.0,422987.0,-19523.0,-36592.0,56115.0,0.1253,-34889103.0,15.0,FALL
2020-05-15,1850.0,1815.0,1850.0,1805.0,266095.0,-90830.0,-42581.0,133411.0,0.1254,-34945218.0,35.0,RISE
2020-05-14,1815.0,1815.0,1820.0,1795.0,386356.0,-48942.0,-49954.0,98896.0,0.1255,-35078629.0,20.0,RISE
