날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-10,14200.0,13850.0,14200.0,13750.0,41062.0,-9894,750,9144,0.144,354604,300.0,RISE
2014-04-11,14000.0,13800.0,14250.0,13800.0,38921.0,-6361,-8330,14691,0.143,369295,200.0,FALL
2014-04-14,13950.0,14000.0,14350.0,13800.0,33666.0,3130,4560,-7690,0.144,361605,50.0,FALL
2014-04-15,13950.0,14000.0,14100.0,13650.0,68753.0,-1976,-15010,16986,0.143,378591,0.0,EVEN
2014-04-16,13750.0,13900.0,13950.0,13500.0,60307.0,11340,-14440,3100,0.143,381691,200.0,FALL
2014-04-17,13750.0,13950.0,13950.0,13650.0,33068.0,9480,-15540,6060,0.142,387751,0.0,EVEN
2014-04-18,14350.0,13800.0,14400.0,13800.0,86126.0,-35030,7690,27340,0.142,415091,600.0,RISE
2014-04-21,14600.0,14200.0,14700.0,14200.0,63640.0,-15650,-3030,18680,0.142,433771,250.0,RISE
2014-04-22,14650.0,14600.0,14800.0,14300.0,81842.0,-31256,-10100,41356,0.141,475127,50.0,RISE
2014-04-23,14450.0,14900.0,14900.0,14400.0,30332.0,-1999,-2410,4409,0.141,479536,200.0,FALL
2014-04-24,14150.0,14650.0,14650.0,13850.0,42865.0,6310,-6220,-90,0.141,479446,300.0,FALL
2014-04-25,14600.0,14150.0,14750.0,14050.0,126909.0,-68399,39109,29290,0.142,508736,450.0,RISE
2014-04-28,14950.0,14650.0,15000.0,14400.0,99731.0,7090,-7690,600,0.142,509336,350.0,RISE
2014-04-29,14950.0,15000.0,15000.0,14500.0,89122.0,-1210,-16200,17410,0.141,526746,0.0,EVEN
2014-04-30,14900.0,14850.0,14900.0,14650.0,47920.0,-11000,-13210,24210,0.141,550956,50.0,FALL
2014-05-02,15200.0,14900.0,15500.0,14350.0,203574.0,-92090,-16870,108960,0.14,659916,300.0,RISE
2014-05-07,15000.0,15250.0,15300.0,14650.0,100730.0,4752,-5830,1078,0.14,660994,200.0,FALL
2014-05-08,15400.0,15000.0,15500.0,14700.0,166410.0,-89440,-12870,102310,0.139,763304,400.0,RISE
2014-05-09,15300.0,15400.0,15750.0,15250.0,84575.0,2565,-7500,4935,0.139,768239,100.0,FALL
2014-05-12,15100.0,15350.0,15650.0,14950.0,83084.0,46430,4350,-50780,0.139,717459,200.0,FALL
2014-05-13,15150.0,15250.0,15350.0,15050.0,37805.0,-960,-1430,2390,0.139,719849,50.0,RISE
2014-05-14,15200.0,15050.0,15300.0,14950.0,33804.0,-3940,-2800,6740,0.139,726589,50.0,RISE
2014-05-15,15050.0,14950.0,15200.0,14900.0,38880.0,7690,-11180,3490,0.139,730079,150.0,FALL
2014-05-16,14750.0,15150.0,15150.0,14650.0,63256.0,21540,-9820,-11720,0.138,718359,300.0,FALL
2014-05-19,14300.0,14600.0,14950.0,14250.0,74397.0,-1500,8660,-7160,0.139,711199,450.0,FALL
2014-05-20,14350.0,14250.0,14400.0,14150.0,47743.0,-2460,8560,-6100,0.139,705099,50.0,RISE
2014-05-21,14300.0,14400.0,14450.0,14100.0,32580.0,-5690,3710,1980,0.139,707079,50.0,FALL
2014-05-22,14600.0,14200.0,14750.0,14200.0,41297.0,-2008,-4840,6848,0.139,713927,300.0,RISE
2014-05-23,14650.0,14600.0,14750.0,14350.0,29954.0,7000,-7600,600,,714527,50.0,RISE
2014-05-26,14600.0,14600.0,14800.0,14250.0,39064.0,233,-6250,6017,0.138,720544,50.0,FALL
2014-05-27,14350.0,14650.0,14650.0,14300.0,28193.0,5369,-230,-5139,0.138,715405,250.0,FALL
2014-05-28,14150.0,14350.0,14550.0,14100.0,37592.0,11622,-3480,-8142,0.138,707263,200.0,FALL
2014-05-29,14950.0,14500.0,15100.0,14300.0,151232.0,-34550,22870,11680,0.139,718943,800.0,RISE
2014-05-30,14650.0,15050.0,15500.0,14650.0,155287.0,-690,19580,-18890,0.14,700053,300.0,FALL
2014-06-02,14350.0,14650.0,14800.0,14150.0,66397.0,-70,-2603,2673,0.14,702726,300.0,FALL
2014-06-03,14200.0,14250.0,14600.0,14100.0,42811.0,2687,-1331,-1356,0.14,701370,150.0,FALL
2014-06-05,14050.0,14100.0,14200.0,13400.0,134520.0,43911,-42686,-1225,0.138,700145,150.0,FALL
2014-06-09,14200.0,14000.0,14200.0,13900.0,60677.0,-22202,1802,20400,0.138,720545,150.0,RISE
2014-06-10,14200.0,14300.0,14400.0,13850.0,52878.0,-1588,-862,2450,0.138,722995,0.0,EVEN
2014-06-11,14450.0,14200.0,14800.0,14200.0,44700.0,-5651,-4162,9813,0.138,732808,250.0,RISE
2014-06-12,14800.0,14550.0,15000.0,14500.0,67388.0,-12239,-8808,21047,0.137,753855,350.0,RISE
2014-06-13,14700.0,14800.0,14850.0,14600.0,46192.0,-15314,-1447,16761,0.137,770616,100.0,FALL
2014-06-16,14700.0,14850.0,14950.0,14550.0,45196.0,-17883,-182,18065,0.137,788681,0.0,EVEN
2014-06-17,14700.0,14750.0,14900.0,14700.0,41365.0,-1093,-5215,6308,0.137,794989,0.0,EVEN
2014-06-18,15000.0,14800.0,15200.0,14700.0,189758.0,-22895,102364,-79469,0.141,715520,300.0,RISE
2014-06-19,15000.0,15000.0,15600.0,14950.0,126950.0,-42016,-16167,58183,0.141,773703,0.0,EVEN
2014-06-20,14950.0,15200.0,15400.0,14850.0,55306.0,8006,-14565,6559,0.14,780262,50.0,FALL
2014-06-23,15200.0,15250.0,15450.0,14900.0,50489.0,-11745,-7234,18979,0.14,799241,250.0,RISE
2014-06-24,14400.0,15300.0,15300.0,14300.0,2816433.0,71825,75873,-147698,0.143,651543,800.0,FALL
2014-06-25,13900.0,14400.0,14700.0,13850.0,321068.0,-19049,-145534,164583,0.137,816126,500.0,FALL
2014-06-26,14500.0,14150.0,14550.0,14000.0,184850.0,-15674,-63667,79341,0.135,895467,600.0,RISE
2014-06-27,14550.0,14450.0,14650.0,14300.0,103463.0,-16730,-49820,66550,0.133,962017,50.0,RISE
2014-06-30,14250.0,14700.0,14700.0,14100.0,148360.0,14657,-88816,74159,0.129,1036176,300.0,FALL
2014-07-01,14900.0,14350.0,15050.0,14250.0,187101.0,-49682,15963,33719,0.13,1069895,650.0,RISE
2014-07-02,14900.0,14950.0,15000.0,14650.0,67477.0,-117,-12801,12918,0.129,1082813,0.0,EVEN
2014-07-03,14850.0,14900.0,15100.0,14700.0,40644.0,998,-3557,2559,0.129,1085372,50.0,FALL
2014-07-04,14800.0,15000.0,15000.0,14550.0,38905.0,-1110,-2535,3645,0.129,1089017,50.0,FALL
2014-07-07,14900.0,15100.0,15200.0,14700.0,61124.0,7874,10019,-17893,0.129,1071124,100.0,RISE
