날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-10,6040.0,5980.0,6050.0,5960.0,11895.0,-660.0,660.0,0.0,0.002,3680.0,60.0,RISE
2014-04-11,6260.0,6000.0,6260.0,6000.0,51291.0,1391.0,-1391.0,0.0,0.002,3680.0,220.0,RISE
2014-04-14,6220.0,6260.0,6260.0,6150.0,13694.0,-500.0,500.0,0.0,0.002,3680.0,40.0,FALL
2014-04-15,6250.0,6280.0,6340.0,6200.0,29423.0,249.0,-249.0,0.0,0.002,3680.0,30.0,RISE
2014-04-16,6320.0,6300.0,6380.0,6260.0,22731.0,-710.0,710.0,0.0,0.002,3680.0,70.0,RISE
2014-04-17,6270.0,6360.0,6360.0,6150.0,30711.0,-1060.0,1060.0,0.0,0.002,3680.0,50.0,FALL
2014-04-18,6320.0,6320.0,6370.0,6270.0,9844.0,-520.0,520.0,0.0,0.003,3680.0,50.0,RISE
2014-04-21,6260.0,6370.0,6370.0,6220.0,12971.0,-850.0,860.0,-10.0,0.003,3670.0,60.0,FALL
2014-04-22,6280.0,6330.0,6330.0,6230.0,8759.0,-800.0,800.0,0.0,0.003,3670.0,20.0,RISE
2014-04-23,6270.0,6300.0,6340.0,6250.0,17100.0,-590.0,590.0,0.0,0.003,3670.0,10.0,FALL
2014-04-24,6270.0,6300.0,6300.0,6220.0,6602.0,60.0,-60.0,0.0,0.003,3670.0,0.0,EVEN
2014-04-25,6220.0,6270.0,6300.0,6190.0,7641.0,-360.0,380.0,-20.0,0.003,3650.0,50.0,FALL
2014-04-28,6220.0,6220.0,6220.0,6150.0,6350.0,-660.0,660.0,0.0,0.003,3650.0,0.0,EVEN
2014-04-29,6210.0,6250.0,6250.0,6150.0,7191.0,-510.0,510.0,0.0,0.003,3650.0,10.0,FALL
2014-04-30,6210.0,6220.0,6250.0,6100.0,11970.0,-540.0,540.0,0.0,0.003,3650.0,0.0,EVEN
2014-05-02,6400.0,6220.0,6470.0,6220.0,62585.0,-1110.0,1110.0,0.0,0.004,3650.0,190.0,RISE
2014-05-07,6470.0,6400.0,6490.0,6330.0,21647.0,-1390.0,1880.0,-490.0,0.004,3160.0,70.0,RISE
2014-05-08,6540.0,6540.0,6620.0,6360.0,28990.0,-580.0,680.0,-100.0,0.004,3060.0,70.0,RISE
2014-05-09,6520.0,6540.0,6550.0,6430.0,6187.0,,,,,,,
2014-05-12,6500.0,6520.0,6550.0,6440.0,8455.0,-280.0,280.0,0.0,0.004,3060.0,20.0,FALL
2014-05-13,6570.0,6530.0,6570.0,6420.0,12242.0,-320.0,320.0,0.0,0.004,3060.0,70.0,RISE
2014-05-14,6580.0,6580.0,6580.0,6520.0,13555.0,-380.0,380.0,0.0,0.004,3060.0,10.0,RISE
2014-05-15,6620.0,6540.0,6670.0,6540.0,14290.0,-50.0,50.0,0.0,0.004,3060.0,40.0,RISE
2014-05-16,6590.0,6670.0,6670.0,6540.0,9621.0,490.0,-490.0,0.0,0.004,3060.0,30.0,FALL
2014-05-19,6560.0,6580.0,6630.0,6520.0,7341.0,240.0,-240.0,0.0,0.004,3060.0,30.0,FALL
2014-05-20,6590.0,6530.0,6640.0,6480.0,14521.0,70.0,-70.0,0.0,0.004,3060.0,30.0,RISE
2014-05-21,6590.0,6540.0,6600.0,6510.0,8342.0,-50.0,50.0,0.0,0.004,3060.0,0.0,EVEN
2014-05-22,6590.0,6510.0,6640.0,6510.0,5851.0,-350.0,350.0,0.0,0.004,3060.0,0.0,EVEN
2014-05-23,6670.0,6550.0,6690.0,6550.0,26599.0,-240.0,240.0,0.0,0.004,3060.0,80.0,RISE
2014-05-26,6790.0,6670.0,6790.0,6570.0,14720.0,-320.0,320.0,0.0,0.004,3060.0,120.0,RISE
2014-05-27,6740.0,6800.0,6840.0,6650.0,23961.0,730.0,-730.0,0.0,0.004,3060.0,50.0,FALL
2014-05-28,6760.0,6740.0,6800.0,6720.0,4084.0,-910.0,910.0,0.0,0.004,3060.0,20.0,RISE
2014-05-29,6780.0,6740.0,6780.0,6660.0,6005.0,70.0,-70.0,0.0,0.004,3060.0,20.0,RISE
2014-05-30,6720.0,6810.0,6840.0,6610.0,20121.0,490.0,-490.0,0.0,0.004,3060.0,60.0,FALL
2014-06-02,6500.0,6690.0,6690.0,6480.0,21169.0,175.0,-157.0,-18.0,0.004,3042.0,220.0,FALL
