,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,10100.0,9730.0,10250.0,9700.0,2073813.0,-475929,380330,95599,0.2036,-9132894,330.0,RISE
2020-06-01,9770.0,9460.0,9800.0,9260.0,2244582.0,-448284,434464,13820,0.2029,-9228493,30.0,RISE
2020-05-29,9740.0,9060.0,9740.0,9020.0,3099166.0,-769673,817251,-47578,0.2019,-9242313,630.0,RISE
2020-05-28,9110.0,9400.0,9480.0,9040.0,1552437.0,74689,-50867,-23822,0.2004,-9194735,180.0,FALL
2020-05-27,9290.0,9060.0,9320.0,9050.0,1246740.0,-231672,195353,36319,0.2005,-9170913,190.0,RISE
2020-05-26,9100.0,8970.0,9240.0,8970.0,1084984.0,-179022,58122,120900,0.2002,-9207232,140.0,RISE
2020-05-25,8960.0,8910.0,9020.0,8850.0,787514.0,-64311,-40032,104343,0.2002,-9328132,50.0,RISE
2020-05-22,8910.0,9200.0,9230.0,8840.0,1226347.0,144053.0,12188.0,-156241.0,0.2004,-8391756.0,210.0,FALL
2020-05-21,9120.0,9720.0,9800.0,9120.0,4773609.0,809857.0,-578208.0,-231649.0,0.2004,-8235515.0,110.0,RISE
2020-05-20,9010.0,8940.0,9030.0,8840.0,1707636.0,-125954.0,61506.0,64448.0,0.2015,-8003866.0,100.0,RISE
2020-05-19,8910.0,8740.0,9000.0,8720.0,1917533.0,-574741.0,24214.0,550527.0,0.2013,-8068314.0,300.0,RISE
2020-05-18,8610.0,8780.0,8780.0,8490.0,1065162.0,334602.0,-343856.0,9254.0,0.2011,-8618841.0,90.0,FALL
2020-05-15,8700.0,8900.0,8900.0,8670.0,1413571.0,606793.0,-632748.0,25955.0,0.2017,-8628095.0,290.0,FALL
2020-05-14,8990.0,8980.0,9010.0,8700.0,1637766.0,429507.0,-380392.0,-49115.0,0.2028,-8654050.0,10.0,RISE
2020-05-13,8980.0,8770.0,9010.0,8750.0,837445.0,-108827.0,-75734.0,184561.0,0.2037,-8604935.0,140.0,RISE
2020-05-12,8840.0,9190.0,9270.0,8800.0,1525615.0,545123.0,-257108.0,-288015.0,0.2038,-8789496.0,330.0,FALL
2020-05-11,9170.0,8910.0,9380.0,8910.0,1707046.0,-349523.0,331114.0,18409.0,0.2043,-8501481.0,300.0,RISE
2020-05-08,8870.0,8840.0,8990.0,8810.0,1098458.0,-95712.0,-29690.0,125402.0,0.2037,-8519890.0,70.0,RISE
2020-05-07,8800.0,8840.0,8930.0,8800.0,896054.0,229727.0,-180059.0,-49668.0,0.2037,-8645292.0,30.0,FALL
