날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-10,130500.0,127000.0,131000.0,125500.0,18384.0,-7412,2744,4668,0.077,30352,1000.0,RISE
2014-04-11,134000.0,129000.0,134500.0,128000.0,12615.0,-524,-981,1505,0.077,31857,3500.0,RISE
2014-04-14,131000.0,133000.0,137500.0,130000.0,8627.0,1311,-2411,1100,0.077,32957,3000.0,FALL
2014-04-15,127500.0,131000.0,131000.0,127500.0,18438.0,1909,3096,-5005,0.077,27952,3500.0,FALL
2014-04-16,131000.0,126500.0,132000.0,126000.0,15738.0,-3819,3794,25,0.078,27977,3500.0,RISE
2014-04-17,128000.0,131500.0,132000.0,126500.0,13357.0,1511,592,-2103,0.078,25874,3000.0,FALL
2014-04-18,127500.0,129500.0,129500.0,126500.0,8442.0,848,2274,-3122,0.078,22752,500.0,FALL
2014-04-21,124500.0,127500.0,129000.0,124500.0,11197.0,-608,1946,-1338,0.078,21414,3000.0,FALL
2014-04-22,130000.0,125500.0,131000.0,125500.0,15997.0,-4951,5489,-538,0.079,20876,5500.0,RISE
2014-04-23,130000.0,131500.0,136500.0,129000.0,24556.0,7427,1709,-9136,0.079,11740,0.0,EVEN
2014-04-24,125500.0,130500.0,132000.0,122500.0,102061.0,6392,74955,-81347,0.089,-69607,4500.0,FALL
2014-04-25,115000.0,126000.0,126500.0,114500.0,60247.0,16451,2082,-18533,0.09,-88140,10500.0,FALL
2014-04-28,119000.0,116000.0,120500.0,114000.0,20702.0,-6100,4195,1905,0.09,-86235,4000.0,RISE
2014-04-29,123000.0,120500.0,123000.0,118500.0,12577.0,-2600,2105,495,0.09,-85740,4000.0,RISE
2014-04-30,119000.0,123000.0,123000.0,118500.0,14976.0,1023,-2946,1923,0.09,-83817,4000.0,FALL
2014-05-02,124000.0,117500.0,125000.0,117500.0,15340.0,-5689,-1968,7657,0.09,-76160,5000.0,RISE
2014-05-07,122500.0,123000.0,126000.0,121000.0,15199.0,425,-1680,1255,0.09,-74905,1500.0,FALL
2014-05-08,124500.0,122500.0,124500.0,120000.0,23352.0,-1012,3331,-2319,0.09,-77224,2000.0,RISE
2014-05-09,127500.0,125000.0,128000.0,125000.0,21185.0,-945,-2522,3467,0.09,-73757,3000.0,RISE
2014-05-12,129000.0,129000.0,131000.0,127000.0,35886.0,-1698,-2611,4309,0.089,-69448,1500.0,RISE
2014-05-13,127000.0,130000.0,130000.0,124500.0,9890.0,-173,-1186,1359,0.089,-68089,2000.0,FALL
2014-05-14,128000.0,125500.0,130000.0,125500.0,9587.0,-4776,-313,5089,0.089,-63000,1000.0,RISE
2014-05-15,125000.0,128500.0,131000.0,124000.0,17724.0,3547,728,-4275,0.089,-67275,3000.0,FALL
2014-05-16,125000.0,122500.0,126000.0,122500.0,12267.0,-2464,2429,35,0.089,-67240,0.0,EVEN
2014-05-19,125000.0,123500.0,126000.0,120000.0,27400.0,-2116,-4011,6127,0.089,-61113,0.0,EVEN
2014-05-20,125500.0,125000.0,127500.0,123000.0,15476.0,703,3469,-4172,0.089,-65285,500.0,RISE
2014-05-21,119500.0,126000.0,127500.0,118500.0,22882.0,-1774,727,1047,0.089,-64238,6000.0,FALL
