날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,2980.0,3095.0,3135.0,2940.0,341632.0,13015,-13015,0,0.0161,-2818889,115.0,FALL
2020-05-21,3095.0,3300.0,3305.0,3010.0,568718.0,56955,-56955,0,0.0165,-2818889,125.0,FALL
2020-05-20,3220.0,3115.0,3280.0,3110.0,751183.0,-100754,100754,0,0.0186,-2818889,110.0,RISE
2020-05-19,3110.0,3200.0,3295.0,3080.0,701322.0,2458,-2458,0,0.015,-2818889,45.0,FALL
2020-05-18,3155.0,2910.0,3400.0,2905.0,3705664.0,59665,-59346,-319,0.0151,-2818889,255.0,RISE
2020-05-15,2900.0,2895.0,2920.0,2835.0,71927.0,-9428,9179,249,0.0172,-2818570,20.0,RISE
2020-05-14,2880.0,2890.0,2925.0,2855.0,116770.0,-6238,6238,0,0.0169,-2818819,20.0,FALL
2020-05-13,2900.0,2885.0,2940.0,2845.0,76276.0,9313,-7151,-2162,0.0166,-2818819,15.0,RISE
2020-05-12,2885.0,2920.0,2970.0,2845.0,129253.0,12763,-4976,-7787,0.0169,-2816657,65.0,FALL
2020-05-11,2950.0,2920.0,2985.0,2875.0,229035.0,-5705,8308,-2603,0.0171,-2808870,50.0,RISE
2020-05-08,2900.0,2930.0,2945.0,2870.0,147071.0,10092,-10092,0,0.0168,-2806267,10.0,FALL
2020-05-07,2910.0,2865.0,2960.0,2850.0,341551.0,-46257,46257,0,0.0171,-2806267,95.0,RISE
2020-05-06,2815.0,2725.0,2840.0,2725.0,162226.0,-26352,26352,0,0.0155,-2806267,70.0,RISE
2020-05-04,2745.0,2655.0,2760.0,2640.0,111870.0,-18154,18154,0,0.0146,-2806267,40.0,RISE
2020-04-29,2705.0,2725.0,2755.0,2655.0,87137.0,-3551,3551,0,0.0139,-2806267,20.0,FALL
2020-04-28,2725.0,2745.0,2770.0,2650.0,94829.0,4939,-4938,-1,0.0138,-2806267,0.0,EVEN
2020-04-27,2725.0,2635.0,2735.0,2635.0,130300.0,9938,-5974,-3964,0.014,-2806266,90.0,RISE
2020-04-24,2635.0,2780.0,2790.0,2605.0,222008.0,28037,-22078,-5959,0.0142,-2802302,145.0,FALL
2020-04-23,2780.0,2630.0,2845.0,2585.0,472330.0,-26608,27439,-831,0.015,-2796343,160.0,RISE
2020-04-22,2620.0,2540.0,2650.0,2530.0,101953.0,7158,-7126,-32,0.014,-2795512,10.0,FALL
2020-04-21,2630.0,2630.0,2755.0,2480.0,363805.0,29287,-952,-28335,0.0142,-2795480,30.0,RISE
2020-04-20,2600.0,2610.0,2640.0,2555.0,189744.0,-20543,20549,-6,0.0143,-2767145,50.0,RISE
2020-04-17,2550.0,2500.0,2650.0,2445.0,155745.0,-1321,1321,0,0.0135,-2767139,70.0,RISE
2020-04-16,2480.0,2435.0,2600.0,2395.0,112135.0,-3625,3625,0,0.0135,-2767139,75.0,RISE
2020-04-14,2405.0,2360.0,2455.0,2335.0,115607.0,-5718,8825,-3107,0.0134,-2767139,25.0,RISE
2020-04-13,2380.0,2480.0,2495.0,2320.0,169332.0,-5825,5648,177,0.0131,-2764032,100.0,FALL
2020-04-10,2480.0,2600.0,2625.0,2410.0,257962.0,576,1831,-2407,0.0129,-2764209,65.0,FALL
2020-04-09,2545.0,2435.0,2635.0,2375.0,686508.0,11902,-13342,1440,0.0128,-2761802,175.0,RISE
2020-04-08,2370.0,2260.0,2430.0,2210.0,237209.0,18661,-18661,0,0.0133,-2763242,115.0,RISE
2020-04-07,2255.0,2145.0,2290.0,2105.0,327511.0,2333,-2333,0,0.0139,-2763242,170.0,RISE
2020-04-06,2085.0,1975.0,2085.0,1935.0,185869.0,-11534,14802,-3268,0.014,-2763242,110.0,RISE
2020-04-03,1975.0,1930.0,2085.0,1920.0,165781.0,293,-665,372,0.0135,-2759974,55.0,RISE
2020-04-02,1920.0,1880.0,1950.0,1795.0,138881.0,-4506,4506,0,0.0135,-2760346,40.0,RISE
2020-04-01,1880.0,2000.0,2010.0,1870.0,211346.0,3913,1901,-5814,0.0133,-2760346,80.0,FALL
2020-03-31,1960.0,1980.0,2020.0,1890.0,234720.0,12878,-12878,0,0.0133,-2754532,15.0,RISE
2020-03-30,1945.0,1905.0,1980.0,1860.0,176463.0,12671,-12671,0,0.0137,-2754532,115.0,RISE
2020-03-27,1830.0,1905.0,2005.0,1750.0,259373.0,14329,-14893,564,0.0142,-2754532,35.0,FALL
2020-03-26,1865.0,1705.0,1930.0,1705.0,349806.0,29905,-29281,-624,0.0147,-2755096,180.0,RISE
2020-03-25,1685.0,1520.0,1685.0,1500.0,208208.0,1962,-8169,6207,0.0157,-2754472,200.0,RISE
2020-03-24,1485.0,1420.0,1500.0,1390.0,206799.0,21012,-21012,0,0.016,-2760679,50.0,RISE
2020-03-23,1435.0,1370.0,1450.0,1355.0,95849.0,20598,-21251,653,0.0175,-2760679,60.0,FALL
2020-03-20,1495.0,1320.0,1495.0,1310.0,261523.0,-24139,17884,6255,0.0182,-2761332,175.0,RISE
2020-03-19,1320.0,1705.0,1760.0,1265.0,637036.0,-53924,53794,130,0.0176,-2767587,380.0,FALL
2020-03-18,1700.0,1860.0,1925.0,1700.0,279207.0,1944,-2035,91,0.0157,-2767717,110.0,FALL
2020-03-17,1810.0,1655.0,1880.0,1655.0,239547.0,-42191,42191,0,0.0159,-2767808,90.0,FALL
2020-03-16,1900.0,2070.0,2125.0,1900.0,250895.0,-5543,7243,-1700,0.0144,-2767808,165.0,FALL
2020-03-13,2065.0,2080.0,2195.0,1860.0,394311.0,-10147,10147,0,0.0142,-2766108,225.0,FALL
2020-03-12,2290.0,2385.0,2430.0,2210.0,353163.0,-13457,13991,-534,0.0138,-2766108,160.0,FALL
2020-03-11,2450.0,2560.0,2630.0,2400.0,149636.0,2709,1056,-3765,0.0133,-2765574,105.0,FALL
2020-03-10,2555.0,2570.0,2605.0,2500.0,149668.0,3353,-3364,11,0.0128,-2761809,50.0,FALL
2020-03-09,2605.0,2815.0,2815.0,2600.0,201103.0,26340,-25818,-522,0.0129,-2761820,220.0,FALL
2020-03-06,2825.0,2815.0,2870.0,2720.0,124568.0,-1004,14009,-13005,0.0138,-2761298,15.0,RISE
2020-03-05,2810.0,2795.0,2870.0,2795.0,81198.0,6153,2959,-9112,0.0133,-2748293,20.0,RISE
2020-03-04,2790.0,2700.0,2830.0,2650.0,122686.0,20145,-419,-19726,0.0132,-2739181,70.0,RISE
2020-03-03,2720.0,2765.0,2835.0,2705.0,142512.0,34300,-31522,-2778,0.0131,-2719455,20.0,FALL
2020-03-02,2740.0,2655.0,2750.0,2630.0,165037.0,-19364,19364,0,0.0142,-2716677,70.0,RISE
2020-02-28,2670.0,2920.0,2920.0,2635.0,408089.0,10687,-10687,0,0.0135,-2716677,270.0,FALL
2020-02-27,2940.0,3000.0,3110.0,2920.0,349802.0,25275,-25565,290,0.0139,-2716677,30.0,FALL
2020-02-26,2970.0,3070.0,3070.0,2935.0,230455.0,38829,-38829,0,0.014,-2716967,110.0,FALL
2020-02-25,3080.0,3020.0,3120.0,3000.0,576518.0,18910,-18910,0,0.015,-2716967,110.0,RISE
2020-02-24,2970.0,2900.0,2985.0,2860.0,281596.0,5590,-5917,327,0.0157,-2716967,20.0,RISE
