,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,16000.0,16000.0,16250.0,15800.0,667007.0,-64390,74759,-10369,0.0465,-1461917,0.0,EVEN
2020-06-01,16000.0,15700.0,16250.0,15700.0,690831.0,-22988,21138,1850,0.0456,-1451548,250.0,RISE
2020-05-29,15750.0,15900.0,16100.0,15600.0,628151.0,39766,-49112,9346,0.0458,-1453398,300.0,FALL
2020-05-28,16050.0,16600.0,16800.0,15900.0,868041.0,-1570,-4971,6541,0.0464,-1462744,500.0,FALL
2020-05-27,16550.0,16700.0,16800.0,16350.0,845853.0,31221,-16092,-15129,0.0465,-1469285,0.0,EVEN
2020-05-26,16550.0,16100.0,17150.0,16000.0,1497548.0,-91613,38049,53564,0.0468,-1454156,450.0,RISE
2020-05-25,16100.0,16400.0,16450.0,15900.0,493727.0,-27010,34614,-7604,0.0466,-1507720,250.0,FALL
2020-05-22,16350.0,16750.0,16850.0,16150.0,497450.0,9603.0,-12183.0,2580.0,0.0433,-1353179.0,350.0,FALL
2020-05-21,16700.0,16900.0,17100.0,16550.0,607773.0,21445.0,-34793.0,13348.0,0.0435,-1355759.0,100.0,FALL
2020-05-20,16800.0,16100.0,16850.0,16000.0,906948.0,-201043.0,123606.0,77437.0,0.0443,-1369107.0,550.0,RISE
2020-05-19,16250.0,16100.0,16650.0,16100.0,1205170.0,25429.0,-18247.0,-7182.0,0.0429,-1446544.0,400.0,RISE
2020-05-18,15850.0,16100.0,16300.0,15850.0,1003631.0,-82120.0,112495.0,-30375.0,0.0431,-1439362.0,250.0,FALL
2020-05-15,16100.0,16900.0,16900.0,16050.0,1847388.0,-117158.0,140724.0,-23566.0,0.0331,-1408987.0,800.0,FALL
2020-05-14,16900.0,17200.0,17550.0,16900.0,2203727.0,397352.0,-180390.0,-216962.0,0.0357,-1385421.0,1100.0,FALL
2020-05-13,18000.0,17100.0,18200.0,17100.0,2039782.0,-339316.0,361429.0,-22113.0,0.0387,-1168459.0,500.0,RISE
2020-05-12,17500.0,17600.0,17650.0,16550.0,1609912.0,-161510.0,152890.0,8620.0,0.0351,-1146346.0,0.0,EVEN
2020-05-11,17500.0,17900.0,18100.0,17300.0,1859475.0,-74905.0,-55646.0,130551.0,0.0341,-1154966.0,1000.0,FALL
2020-05-08,18500.0,18200.0,18550.0,18100.0,2206830.0,-188849.0,138041.0,50808.0,0.0356,-1285517.0,500.0,RISE
2020-05-07,18000.0,18200.0,18550.0,17800.0,2168771.0,-63700.0,-5064.0,68764.0,0.0341,-1336325.0,50.0,FALL
2020-05-06,18050.0,17700.0,18250.0,17450.0,2112073.0,-130839.0,111366.0,19473.0,0.035,-1405089.0,400.0,RISE
2020-05-04,17650.0,18800.0,18900.0,17650.0,2624106.0,53775.0,-8008.0,-45767.0,0.0347,-1424562.0,350.0,FALL
2020-04-29,18000.0,18500.0,18500.0,17750.0,2706912.0,-34613.0,22228.0,12385.0,0.0345,-1378795.0,150.0,FALL
2020-04-28,18150.0,18600.0,19450.0,17300.0,9090469.0,-44265.0,10399.0,33866.0,0.0344,-1391180.0,200.0,RISE
2020-04-27,17950.0,17900.0,17950.0,17650.0,1279397.0,-43418.0,15284.0,28134.0,0.0342,-1425046.0,650.0,RISE
2020-04-24,17300.0,17950.0,17950.0,17200.0,1071874.0,19505.0,-8217.0,-11288.0,0.0346,-1453180.0,300.0,FALL
2020-04-23,17600.0,17800.0,18200.0,17250.0,1475276.0,-13082.0,11991.0,1091.0,0.0357,-1441892.0,650.0,FALL
2020-04-22,18250.0,17350.0,19400.0,16650.0,12716905.0,-126650.0,200098.0,-73448.0,0.0351,-1442983.0,350.0,RISE
2020-04-21,17900.0,18250.0,20050.0,15450.0,28378145.0,214446.0,-85133.0,-129313.0,0.0317,-1369535.0,950.0,RISE
2020-04-20,16950.0,14100.0,17550.0,14000.0,14275707.0,-151080.0,29928.0,121152.0,0.0317,-1240222.0,3000.0,RISE
2020-04-17,13950.0,14200.0,14450.0,13750.0,1868326.0,19316.0,16807.0,-36123.0,0.0311,-1361374.0,250.0,FALL
2020-04-16,14200.0,12850.0,14500.0,12500.0,5625847.0,-13941.0,-104357.0,118298.0,0.031,-1325251.0,1700.0,RISE
2020-04-14,12500.0,12050.0,12750.0,12000.0,1634848.0,-15648.0,-30297.0,45945.0,0.0318,-1443549.0,600.0,RISE
2020-04-13,11900.0,12050.0,12250.0,11750.0,546316.0,-25093.0,35459.0,-10366.0,0.0333,-1489494.0,250.0,FALL
2020-04-10,12150.0,12200.0,12450.0,11850.0,749606.0,11166.0,1501.0,-12667.0,0.0328,-1479128.0,50.0,FALL
2020-04-09,12200.0,12300.0,12450.0,12150.0,579392.0,87411.0,-13044.0,-74367.0,0.0328,-1466461.0,100.0,RISE
