날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,15000.0,15650.0,15650.0,14850.0,276768.0,-11374,22000,-10626,0.075,-1831663,500.0,FALL
2020-05-21,15500.0,15750.0,16150.0,15400.0,256485.0,33114,-12584,-20530,0.0739,-1821037,150.0,FALL
2020-05-20,15650.0,16350.0,16750.0,15500.0,354133.0,4235,-7313,3078,0.0746,-1800507,700.0,FALL
2020-05-19,16350.0,16700.0,16700.0,15650.0,414439.0,-18723,6554,12169,0.0749,-1803585,50.0,FALL
2020-05-18,16400.0,15500.0,16850.0,15450.0,764707.0,7399,-28587,21188,0.0746,-1815754,650.0,RISE
2020-05-15,15750.0,15050.0,16400.0,14750.0,1013967.0,-28884,-32548,61432,0.076,-1836942,700.0,RISE
2020-05-14,15050.0,14950.0,15400.0,14550.0,659479.0,-29812,-11430,41242,0.0776,-1898374,400.0,FALL
2020-05-13,15450.0,14200.0,17300.0,13550.0,4198886.0,-42336,-16308,58644,0.0781,-1939616,1150.0,RISE
2020-05-12,14300.0,12750.0,14300.0,12650.0,4923194.0,-17417,40844,-23427,0.0789,-1998260,3300.0,UPPER_LIMIT
2020-05-11,11000.0,11050.0,11200.0,10700.0,151372.0,13671,-755,-12916,0.0769,-1974833,50.0,FALL
2020-05-08,11050.0,10900.0,11050.0,10850.0,112348.0,10759,-8361,-2398,0.0769,-1961917,150.0,RISE
2020-05-07,10900.0,10800.0,11250.0,10750.0,130475.0,16376,-14344,-2032,0.0772,-1959519,100.0,RISE
2020-05-06,10800.0,11100.0,11250.0,10500.0,202083.0,-29361,19489,9872,0.0779,-1957487,200.0,FALL
2020-05-04,11000.0,11400.0,11500.0,10950.0,207975.0,-11743,31185,-19442,0.077,-1967359,650.0,FALL
2020-04-29,11650.0,11950.0,12050.0,11550.0,203832.0,-6856,27681,-20825,0.0754,-1947917,300.0,FALL
2020-04-28,11950.0,12100.0,12250.0,11600.0,248493.0,53912,-24486,-29426,0.074,-1927092,0.0,EVEN
2020-04-27,11950.0,11100.0,12050.0,10900.0,345950.0,-75514,36941,38573,0.0752,-1897666,850.0,RISE
2020-04-24,11100.0,11600.0,11600.0,10800.0,312255.0,67496,-55023,-12473,0.0734,-1936239,50.0,RISE
2020-04-23,11050.0,10200.0,11250.0,10150.0,419746.0,17185,-19233,2048,0.076,-1923766,900.0,RISE
2020-04-22,10150.0,9730.0,10250.0,9550.0,189491.0,17550,-16178,-1372,0.0773,-1925814,420.0,RISE
2020-04-21,9730.0,9550.0,9820.0,9300.0,257473.0,-14154,3798,10356,0.0791,-1924442,10.0,RISE
2020-04-20,9720.0,9510.0,9900.0,9450.0,240145.0,-6655,16722,-10067,0.0791,-1934798,280.0,RISE
2020-04-17,9440.0,9310.0,9630.0,9300.0,198739.0,59509,-18103,-41406,0.0784,-1924731,200.0,RISE
2020-04-16,9240.0,9100.0,9270.0,8830.0,149912.0,2775,-15108,12333,0.0793,-1883325,90.0,RISE
2020-04-14,9150.0,8850.0,9250.0,8750.0,169557.0,7007,-4154,-2853,0.079,-1895658,370.0,RISE
2020-04-13,8780.0,8800.0,8910.0,8630.0,140483.0,117,-13034,12917,0.0792,-1892805,20.0,FALL
2020-04-10,8800.0,8700.0,8840.0,8460.0,130048.0,28060,-26905,-1155,0.0798,-1905722,120.0,RISE
2020-04-09,8680.0,8330.0,8700.0,8300.0,173557.0,21568,-7515,-14053,0.0811,-1904567,460.0,RISE
2020-04-08,8220.0,8240.0,8480.0,8100.0,145520.0,1689,-7619,5930,0.0816,-1890514,70.0,FALL
2020-04-07,8290.0,8220.0,8330.0,8090.0,175979.0,-1534,-2526,4060,0.0821,-1896444,120.0,RISE
2020-04-06,8170.0,7650.0,8650.0,7640.0,408281.0,49393,-2113,-47280,0.0825,-1900504,620.0,RISE
2020-04-03,7550.0,7430.0,7600.0,7260.0,127745.0,10178,-25530,15352,0.0826,-1853224,120.0,RISE
2020-04-02,7430.0,7110.0,7480.0,6910.0,170564.0,-12831,-8898,21729,0.0839,-1868576,220.0,RISE
2020-04-01,7210.0,7090.0,7510.0,6940.0,174829.0,-12840,5751,7089,0.0843,-1890305,110.0,RISE
2020-03-31,7100.0,7020.0,7290.0,6880.0,182652.0,34100,-17704,-16396,0.0847,-1897394,200.0,RISE
2020-03-30,6900.0,6650.0,7070.0,6380.0,85920.0,20676,-11450,-9226,0.0856,-1880998,180.0,RISE
2020-03-27,6720.0,6900.0,7100.0,6540.0,184676.0,35399,-26940,-8459,0.0862,-1871772,100.0,RISE
2020-03-26,6620.0,6710.0,6870.0,6410.0,161928.0,49849,-35363,-14486,0.0875,-1863313,90.0,FALL
2020-03-25,6710.0,6300.0,6770.0,6300.0,159783.0,23986,-11542,-12444,0.0893,-1848827,510.0,RISE
2020-03-24,6200.0,5800.0,6260.0,5720.0,128917.0,13394,-7349,-6045,0.0899,-1836383,520.0,RISE
2020-03-23,5680.0,5830.0,5980.0,5570.0,133790.0,27675,-18378,-9297,0.0901,-1830338,530.0,FALL
2020-03-20,6210.0,5840.0,6210.0,5800.0,165568.0,11997,-4780,-7217,0.0913,-1821041,160.0,RISE
2020-03-19,6050.0,6650.0,6900.0,5880.0,281645.0,4911,7689,-12600,0.0916,-1813824,640.0,FALL
2020-03-18,6690.0,7050.0,7200.0,6690.0,181974.0,52572,-39540,-13032,0.0912,-1801224,360.0,FALL
2020-03-17,7050.0,6770.0,7130.0,6610.0,146718.0,1342,14309,-15651,0.0932,-1788192,100.0,FALL
2020-03-16,7150.0,7500.0,7650.0,7080.0,176897.0,-496,17766,-17270,0.0944,-1772541,130.0,FALL
2020-03-13,7280.0,7460.0,7500.0,6870.0,409403.0,9021,8792,-17813,0.0938,-1755271,710.0,FALL
2020-03-12,7990.0,8730.0,8810.0,7910.0,275563.0,18861,-9902,-8959,0.0934,-1737458,770.0,FALL
2020-03-11,8760.0,9040.0,9120.0,8650.0,152922.0,-1108,-14248,15356,0.0939,-1728499,330.0,FALL
2020-03-10,9090.0,8980.0,9300.0,8940.0,122041.0,-1941,-7437,9378,0.0946,-1743855,40.0,FALL
2020-03-09,9130.0,9430.0,9430.0,9030.0,134374.0,30727,-7737,-22990,0.0952,-1753233,430.0,FALL
2020-03-06,9560.0,9760.0,9800.0,9460.0,100931.0,31265,-13962,-17303,0.0955,-1730243,330.0,FALL
2020-03-05,9890.0,9550.0,9910.0,9440.0,102966.0,2733,25415,-28148,0.0962,-1712940,400.0,RISE
2020-03-04,9490.0,9400.0,9620.0,9360.0,92870.0,27605,14638,-42243,0.095,-1684792,30.0,RISE
2020-03-03,9460.0,9420.0,9660.0,9240.0,181644.0,-59391,91400,-32009,0.0942,-1642549,320.0,RISE
2020-03-02,9140.0,9260.0,9470.0,9030.0,325743.0,84952,125242,-210194,0.0897,-1610540,170.0,FALL
2020-02-28,9310.0,9910.0,9920.0,9260.0,284119.0,-15064,28441,-13377,0.0836,-1400346,660.0,FALL
2020-02-27,9970.0,10150.0,10250.0,9870.0,151935.0,29606,5459,-35065,0.0823,-1386969,180.0,FALL
2020-02-26,10150.0,10050.0,10150.0,9910.0,63897.0,-4431,6795,-2364,0.0826,-1351904,50.0,FALL
2020-02-25,10200.0,9770.0,10200.0,9770.0,119858.0,-10642,29613,-18971,0.0816,-1349540,370.0,RISE
2020-02-24,9830.0,10150.0,10250.0,9810.0,144767.0,17036,-21140,4104,0.0809,-1330569,470.0,FALL
2020-02-21,10300.0,10150.0,10450.0,10100.0,98962.0,-24166,3970,20196,0.0816,-1334673,0.0,EVEN
2020-02-20,10300.0,10550.0,10550.0,10250.0,80288.0,17963,-10509,-7454,0.0815,-1354869,250.0,FALL
2020-02-19,10550.0,10550.0,10700.0,10350.0,92230.0,6230,-9562,3332,0.082,-1347415,50.0,FALL
2020-02-18,10600.0,10550.0,10800.0,10500.0,128947.0,34037,-43311,9274,0.0824,-1350747,50.0,FALL
2020-02-17,10650.0,10550.0,10700.0,10400.0,129734.0,9050,-2529,-6521,0.0845,-1360021,150.0,RISE
2020-02-14,10500.0,10600.0,10600.0,10450.0,91554.0,38446,-7526,-30920,0.0846,-1353500,50.0,FALL
2020-02-13,10550.0,10800.0,10800.0,10500.0,144196.0,47235,-25699,-21536,0.0835,-1322580,200.0,FALL
2020-02-12,10750.0,10750.0,10900.0,10550.0,283826.0,171609,-62948,-108661,0.0842,-1301044,50.0,FALL
2020-02-11,10800.0,10950.0,11250.0,10700.0,149726.0,53432,-20779,-32653,0.0853,-1192383,150.0,FALL
2020-02-10,10950.0,11150.0,11150.0,10800.0,80102.0,30493,-13484,-17009,0.0863,-1159730,200.0,FALL
2020-02-07,11150.0,11250.0,11300.0,11100.0,49594.0,22531,-4567,-17964,0.0867,-1142721,200.0,FALL
2020-02-06,11350.0,11000.0,11450.0,10900.0,95646.0,4467,6533,-11000,0.0869,-1124757,500.0,RISE
2020-02-05,10850.0,10950.0,11150.0,10750.0,101686.0,26144,3400,-29544,0.0866,-1113757,0.0,EVEN
2020-02-04,10850.0,10700.0,11000.0,10650.0,84053.0,23304,2780,-26084,0.0864,-1084213,150.0,RISE
2020-02-03,10700.0,10600.0,11000.0,10600.0,158576.0,31243,3910,-35153,0.0862,-1058129,450.0,FALL
2020-01-31,11150.0,11800.0,11950.0,11150.0,147012.0,25105,13133,-38238,0.086,-1022976,700.0,FALL
2020-01-30,11850.0,12100.0,12150.0,11800.0,56784.0,20524,-1890,-18634,0.0854,-984738,300.0,FALL
