날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-10,31000.0,31550.0,31550.0,30400.0,940.0,-30.0,30.0,0.0,0.013,-15.0,100.0,RISE
2014-04-11,31450.0,30400.0,31500.0,30400.0,940.0,0.0,10.0,-10.0,0.013,-25.0,450.0,RISE
2014-04-14,33400.0,31800.0,33950.0,31150.0,4934.0,-30.0,30.0,0.0,0.013,-25.0,1950.0,RISE
2014-04-15,33100.0,34200.0,34200.0,32550.0,1522.0,0.0,0.0,0.0,0.013,-25.0,300.0,FALL
2014-04-16,34250.0,33200.0,34900.0,32850.0,2590.0,0.0,0.0,0.0,0.013,-25.0,1150.0,RISE
2014-04-17,34750.0,34850.0,35400.0,33200.0,3812.0,-20.0,20.0,0.0,0.013,-25.0,500.0,RISE
2014-04-18,33750.0,34750.0,34750.0,33550.0,990.0,-40.0,40.0,0.0,0.014,-25.0,1000.0,FALL
2014-04-21,33950.0,34500.0,34500.0,33900.0,185.0,0.0,0.0,0.0,0.014,-25.0,200.0,RISE
2014-04-22,33350.0,33800.0,34850.0,33350.0,411.0,10.0,0.0,-10.0,0.014,-35.0,600.0,FALL
2014-04-23,32450.0,32700.0,33750.0,32450.0,1260.0,0.0,0.0,0.0,0.014,-35.0,900.0,FALL
2014-04-24,31800.0,33000.0,33000.0,31800.0,722.0,0.0,0.0,0.0,0.014,-35.0,650.0,FALL
2014-04-25,32450.0,32050.0,32750.0,31550.0,521.0,-10.0,10.0,0.0,0.014,-35.0,650.0,RISE
2014-04-28,33450.0,32850.0,34850.0,32700.0,1700.0,120.0,-120.0,0.0,0.013,-35.0,1000.0,RISE
2014-04-29,33550.0,34400.0,34400.0,33000.0,1163.0,130.0,-130.0,0.0,0.011,-35.0,100.0,RISE
2014-04-30,32900.0,33550.0,33800.0,32850.0,560.0,0.0,0.0,0.0,0.011,-35.0,650.0,FALL
2014-05-02,32500.0,32650.0,33850.0,32100.0,389.0,10.0,-10.0,0.0,0.011,-35.0,400.0,FALL
2014-05-07,32650.0,32600.0,33900.0,32050.0,770.0,0.0,0.0,0.0,0.011,-35.0,150.0,RISE
2014-05-08,32500.0,33400.0,33950.0,32500.0,1113.0,0.0,0.0,0.0,0.011,-35.0,150.0,FALL
2014-05-09,33600.0,32500.0,33900.0,32500.0,1015.0,0.0,0.0,0.0,0.011,-35.0,1100.0,RISE
2014-05-12,34800.0,34300.0,35850.0,33600.0,4612.0,140.0,-140.0,0.0,0.01,-35.0,1200.0,RISE
2014-05-13,33550.0,34800.0,35550.0,33300.0,2670.0,170.0,-160.0,-10.0,0.009,-45.0,1250.0,FALL
2014-05-14,32800.0,34550.0,34550.0,32800.0,971.0,170.0,-170.0,0.0,0.007,-45.0,750.0,FALL
2014-05-15,32600.0,32650.0,33850.0,32100.0,1665.0,150.0,-150.0,0.0,0.006,-45.0,200.0,FALL
2014-05-16,32200.0,32750.0,33550.0,32200.0,511.0,40.0,-40.0,0.0,0.005,-45.0,400.0,FALL
2014-05-19,31200.0,31700.0,32050.0,31100.0,2298.0,0.0,0.0,0.0,0.005,-45.0,1000.0,FALL
2014-05-20,32000.0,31450.0,32750.0,31400.0,1470.0,10.0,-10.0,0.0,0.005,-45.0,800.0,RISE
2014-05-21,32600.0,34200.0,34200.0,31850.0,1070.0,0.0,0.0,0.0,0.005,-45.0,600.0,RISE
2014-05-22,31950.0,33400.0,33400.0,31750.0,350.0,,,,,,,
2014-05-23,31850.0,31850.0,32850.0,31700.0,450.0,0.0,0.0,0.0,0.005,-45.0,100.0,FALL
2014-05-26,32300.0,33250.0,34600.0,32000.0,1090.0,0.0,0.0,0.0,0.005,-45.0,450.0,RISE
2014-05-27,31650.0,31950.0,33100.0,31600.0,1023.0,0.0,0.0,0.0,0.005,-45.0,650.0,FALL
2014-05-28,32650.0,31500.0,33050.0,31500.0,860.0,0.0,0.0,0.0,0.005,-45.0,1000.0,RISE
2014-05-29,33000.0,32400.0,33700.0,32400.0,1182.0,0.0,0.0,0.0,0.005,-45.0,350.0,RISE
2014-05-30,31650.0,33350.0,33350.0,31650.0,1730.0,0.0,0.0,0.0,0.005,-45.0,1350.0,FALL
2014-06-02,31100.0,31650.0,32900.0,31000.0,497.0,67.0,0.0,-67.0,0.005,-112.0,550.0,FALL
2014-06-03,32450.0,31000.0,32850.0,31000.0,253.0,9.0,0.0,-9.0,0.005,-121.0,1350.0,RISE
2014-06-05,31500.0,32850.0,32850.0,30700.0,966.0,0.0,0.0,0.0,0.005,-121.0,950.0,FALL
2014-06-09,36200.0,31300.0,36200.0,31000.0,12447.0,0.0,0.0,0.0,0.005,-121.0,4700.0,UPPER_LIMIT
2014-06-10,34100.0,33650.0,35600.0,33400.0,14226.0,59.0,0.0,-59.0,0.005,-180.0,2100.0,FALL
2014-06-11,39200.0,34400.0,39200.0,34300.0,15794.0,0.0,0.0,0.0,0.005,-180.0,5100.0,UPPER_LIMIT
2014-06-12,39700.0,43500.0,44900.0,37500.0,20625.0,6.0,0.0,-6.0,0.005,-186.0,500.0,RISE
2014-06-13,36900.0,41000.0,41000.0,36000.0,10975.0,0.0,0.0,0.0,0.005,-186.0,2800.0,FALL
2014-06-16,39250.0,37500.0,41300.0,35550.0,10024.0,0.0,0.0,0.0,0.005,-186.0,2350.0,RISE
2014-06-17,39300.0,38300.0,42000.0,38000.0,8770.0,0.0,0.0,0.0,0.005,-186.0,50.0,RISE
2014-06-18,38400.0,39950.0,43150.0,38200.0,9482.0,0.0,0.0,0.0,0.005,-186.0,900.0,FALL
2014-06-19,36300.0,38400.0,39250.0,36250.0,4374.0,0.0,0.0,0.0,0.005,-186.0,2100.0,FALL
2014-06-20,35700.0,37300.0,37300.0,34500.0,6187.0,0.0,0.0,0.0,0.005,-186.0,600.0,FALL
2014-06-23,33700.0,35300.0,37850.0,33500.0,13180.0,-152.0,152.0,0.0,0.007,-186.0,2000.0,FALL
2014-06-24,35000.0,34550.0,35400.0,33500.0,4329.0,155.0,-155.0,0.0,0.005,-186.0,1300.0,RISE
2014-06-25,34600.0,35600.0,35700.0,34600.0,2388.0,-30.0,30.0,0.0,0.005,-186.0,400.0,FALL
2014-06-26,34550.0,35400.0,35400.0,34350.0,1761.0,0.0,0.0,0.0,0.005,-186.0,50.0,FALL
2014-06-27,34200.0,34250.0,34900.0,33900.0,1648.0,-92.0,92.0,0.0,0.006,-186.0,350.0,FALL
2014-06-30,33850.0,35250.0,35300.0,33800.0,754.0,,,,,,,
2014-07-01,34600.0,35050.0,36100.0,32850.0,5677.0,93.0,-93.0,0.0,0.005,-186.0,750.0,RISE
2014-07-02,36350.0,34600.0,36400.0,34150.0,5660.0,-7.0,7.0,0.0,0.005,-186.0,1750.0,RISE
2014-07-03,37150.0,36950.0,37750.0,36450.0,3626.0,17.0,-17.0,0.0,0.005,-186.0,800.0,RISE
2014-07-04,37500.0,36500.0,38350.0,36100.0,3752.0,-177.0,177.0,0.0,0.007,-186.0,350.0,RISE
2014-07-07,36150.0,37700.0,38300.0,36150.0,2353.0,0.0,0.0,0.0,0.007,-186.0,1350.0,FALL
2014-07-08,34850.0,36400.0,36400.0,34700.0,2661.0,0.0,0.0,0.0,0.007,-186.0,1300.0,FALL
2014-07-09,34500.0,35650.0,35900.0,34400.0,1355.0,,,,,,,
2014-07-10,34600.0,34950.0,35650.0,34400.0,1831.0,0.0,0.0,0.0,0.007,-186.0,100.0,RISE
2014-07-11,35400.0,35300.0,35600.0,34450.0,1267.0,40.0,-40.0,0.0,0.007,-186.0,800.0,RISE
2014-07-14,34700.0,35350.0,35700.0,34600.0,988.0,-34.0,34.0,0.0,0.007,-186.0,700.0,FALL
2014-07-15,34700.0,35450.0,35700.0,34400.0,1817.0,0.0,0.0,0.0,0.007,-186.0,0.0,EVEN
2014-07-16,34100.0,34800.0,35600.0,33100.0,1287.0,0.0,0.0,0.0,0.007,-186.0,600.0,FALL
2014-07-17,34700.0,34800.0,35400.0,33700.0,1771.0,0.0,0.0,0.0,0.007,-186.0,600.0,RISE
2014-07-18,34150.0,35600.0,35600.0,34100.0,1398.0,0.0,0.0,0.0,0.007,-186.0,550.0,FALL
2014-07-21,35650.0,35400.0,36900.0,34350.0,4250.0,41.0,-41.0,0.0,0.006,-186.0,1500.0,RISE
2014-07-22,36050.0,35700.0,37200.0,35650.0,2935.0,149.0,-149.0,0.0,0.005,-186.0,400.0,RISE
2014-07-23,34900.0,37000.0,37000.0,34550.0,3329.0,-196.0,196.0,0.0,0.007,-186.0,1150.0,FALL
2014-07-24,34550.0,35200.0,35800.0,34200.0,1342.0,,,,,,,
2014-07-25,34600.0,35800.0,35800.0,34400.0,498.0,0.0,0.0,0.0,0.007,-186.0,50.0,RISE
2014-07-28,34900.0,34900.0,35100.0,34250.0,1299.0,0.0,0.0,0.0,0.007,-186.0,300.0,RISE
2014-07-29,34500.0,35350.0,35700.0,34000.0,2036.0,87.0,-87.0,0.0,0.006,-186.0,400.0,FALL
2014-07-30,34000.0,35000.0,35000.0,33650.0,779.0,-86.0,86.0,0.0,0.007,-186.0,500.0,FALL
2014-07-31,33600.0,35150.0,35150.0,33300.0,896.0,0.0,0.0,0.0,0.007,-186.0,400.0,FALL
2014-08-01,34300.0,30100.0,34450.0,30100.0,756.0,93.0,-93.0,0.0,0.006,-186.0,700.0,RISE
2014-08-04,34400.0,33850.0,34650.0,33700.0,558.0,,,,,,,
2014-08-05,34250.0,34650.0,34650.0,33700.0,460.0,0.0,0.0,0.0,0.006,-186.0,150.0,FALL
2014-08-06,33900.0,34750.0,34750.0,33400.0,389.0,,,,,,,
2014-08-07,33150.0,34500.0,34500.0,33150.0,352.0,-54.0,54.0,0.0,0.007,-186.0,750.0,FALL
2014-08-08,32400.0,33150.0,33600.0,31700.0,829.0,0.0,0.0,0.0,0.007,-186.0,750.0,FALL
2014-08-11,33450.0,33250.0,33500.0,32050.0,90.0,0.0,0.0,0.0,0.007,-186.0,1050.0,RISE
2014-08-12,32550.0,33900.0,33900.0,32250.0,399.0,0.0,0.0,0.0,0.007,-186.0,900.0,FALL
2014-08-13,32750.0,32800.0,32900.0,32050.0,543.0,0.0,0.0,0.0,0.007,-186.0,200.0,RISE
