,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,59400.0,57600.0,59600.0,57500.0,229444.0,-20249,-1839,22088,0.5671,1188683,1900.0,RISE
2020-06-01,57500.0,56600.0,57900.0,56600.0,175516.0,-6281,4905,1376,0.5672,1166595,1200.0,RISE
2020-05-29,56300.0,56400.0,57500.0,56200.0,254480.0,124469,-117253,-7216,0.567,1165219,800.0,FALL
2020-05-28,57100.0,57900.0,58000.0,56200.0,141586.0,25133,-48831,23698,0.5718,1172435,300.0,FALL
2020-05-27,57400.0,57800.0,57900.0,56700.0,146075.0,39990,-50042,10052,0.5738,1148737,0.0,EVEN
2020-05-26,57400.0,56600.0,58000.0,56400.0,158168.0,29758,-27077,-2681,0.5759,1138685,1000.0,RISE
2020-05-25,56400.0,56100.0,56500.0,55700.0,75092.0,17785,-14760,-3025,0.577,1141366,400.0,RISE
2020-05-22,56000.0,56300.0,56800.0,56000.0,137584.0,7729.0,-44081.0,36352.0,0.5776,1186704.0,800.0,FALL
2020-05-21,56800.0,57400.0,57700.0,56200.0,96276.0,50932.0,-39523.0,-11409.0,0.5794,1150352.0,200.0,RISE
2020-05-20,56600.0,56600.0,57100.0,56200.0,78507.0,14444.0,-4548.0,-9896.0,0.581,1161761.0,900.0,FALL
2020-05-19,57500.0,55300.0,57900.0,55200.0,222549.0,-37935.0,22964.0,14971.0,0.5812,1171657.0,3800.0,RISE
2020-05-18,53700.0,54200.0,54300.0,53500.0,95258.0,30122.0,-31850.0,1728.0,0.5803,1156686.0,600.0,FALL
2020-05-15,54300.0,55100.0,55200.0,53700.0,89864.0,29084.0,-17411.0,-11673.0,0.5816,1154958.0,400.0,FALL
2020-05-14,54700.0,55800.0,55800.0,54400.0,101529.0,46217.0,-31654.0,-14563.0,0.5823,1166631.0,1200.0,FALL
2020-05-13,55900.0,54500.0,55900.0,54500.0,74137.0,4987.0,1799.0,-6786.0,0.5836,1181194.0,700.0,RISE
2020-05-12,55200.0,55800.0,56100.0,54500.0,104199.0,3503.0,189.0,-3692.0,0.5835,1187980.0,600.0,FALL
2020-05-11,55800.0,56200.0,56900.0,55800.0,164289.0,38813.0,-60733.0,21920.0,0.5835,1191672.0,100.0,FALL
2020-05-08,55900.0,55600.0,56100.0,55400.0,132111.0,52680.0,-58023.0,5343.0,0.586,1169752.0,600.0,RISE
2020-05-07,55300.0,55800.0,55900.0,54800.0,143669.0,81886.0,-66647.0,-15239.0,0.5884,1164409.0,500.0,FALL
2020-05-06,55800.0,56200.0,56600.0,55700.0,88726.0,41199.0,-34877.0,-6322.0,0.5911,1179648.0,200.0,RISE
2020-05-04,55600.0,56000.0,56500.0,55600.0,104613.0,38072.0,-32993.0,-5079.0,0.5926,1185970.0,1300.0,FALL
2020-04-29,56900.0,56700.0,57000.0,56300.0,99355.0,35661.0,-22536.0,-13125.0,0.5939,1191049.0,200.0,RISE
2020-04-28,56700.0,56800.0,57600.0,56400.0,90846.0,38860.0,-30314.0,-8546.0,0.5948,1204174.0,300.0,RISE
