날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,6850.0,7020.0,7250.0,6850.0,198048.0,11311,-11449,138,0.0747,628631,100.0,FALL
2020-05-21,6950.0,7100.0,7100.0,6840.0,62591.0,11234,-11234,0,0.0761,628493,60.0,RISE
2020-05-20,6890.0,6740.0,6900.0,6670.0,67424.0,-15198,15198,0,0.0774,628493,200.0,RISE
2020-05-19,6690.0,6670.0,7000.0,6550.0,84132.0,3419,-3419,0,0.0756,628493,150.0,RISE
2020-05-18,6540.0,6480.0,7060.0,6480.0,153490.0,7420,-5370,-2050,0.076,628493,130.0,RISE
2020-05-15,6410.0,6530.0,6530.0,6290.0,92307.0,-3623,3623,0,0.0766,630543,60.0,FALL
2020-05-14,6470.0,6630.0,6750.0,6450.0,81559.0,7246,-7246,0,0.0762,630543,240.0,FALL
2020-05-13,6710.0,6920.0,6920.0,6610.0,107875.0,-901,901,0,0.0771,630543,210.0,FALL
2020-05-12,6920.0,7110.0,7220.0,6840.0,107614.0,7910,-9309,1399,0.0769,630543,300.0,FALL
2020-05-11,7220.0,6770.0,7750.0,6750.0,1063936.0,51147,-50739,-408,0.078,629144,530.0,RISE
2020-05-08,6690.0,6280.0,6690.0,6280.0,103647.0,-19406,19406,0,0.0839,629552,420.0,RISE
2020-05-07,6270.0,6320.0,6320.0,6220.0,27296.0,-1770,1770,0,0.0817,629552,40.0,RISE
2020-05-06,6230.0,6210.0,6320.0,6150.0,29177.0,166,-166,0,0.0815,629552,20.0,RISE
2020-05-04,6210.0,6240.0,6260.0,6110.0,15103.0,-1636,1636,0,0.0815,629552,40.0,FALL
2020-04-29,6250.0,6220.0,6260.0,6170.0,55734.0,-7713,7713,0,0.0813,629552,80.0,RISE
2020-04-28,6170.0,6200.0,6220.0,6080.0,17012.0,641,-641,0,0.0804,629552,30.0,FALL
2020-04-27,6200.0,6130.0,6200.0,6010.0,28845.0,-3762,3762,0,0.0805,629552,160.0,RISE
2020-04-24,6040.0,6150.0,6150.0,6000.0,50405.0,-2251,2251,0,0.08,629552,130.0,FALL
2020-04-23,6170.0,6040.0,6170.0,6040.0,34777.0,820,-18,-802,0.0798,629552,130.0,RISE
2020-04-22,6040.0,5860.0,6040.0,5790.0,21298.0,3147,-3147,0,0.0798,630354,20.0,RISE
2020-04-21,6020.0,6110.0,6220.0,5790.0,49470.0,-2363,-6579,8942,0.0802,630354,210.0,FALL
2020-04-20,6230.0,6130.0,6250.0,6100.0,42336.0,-7898,6620,1278,0.0809,621412,100.0,RISE
2020-04-17,6130.0,6100.0,6170.0,6030.0,28214.0,-1819,2301,-482,0.0802,620134,60.0,RISE
2020-04-16,6070.0,6040.0,6080.0,5940.0,23086.0,-697,489,208,0.0799,620616,30.0,RISE
2020-04-14,6040.0,5920.0,6040.0,5910.0,21938.0,-7431,5431,2000,0.0798,620408,130.0,RISE
2020-04-13,5910.0,6070.0,6130.0,5910.0,54057.0,-7946,-4472,12418,0.0792,618408,240.0,FALL
2020-04-10,6150.0,6140.0,6160.0,6020.0,27753.0,-3379,-3568,6947,0.0797,605990,10.0,FALL
2020-04-09,6160.0,6080.0,6190.0,6030.0,24472.0,2975,-3975,1000,0.0801,599043,180.0,RISE
2020-04-08,5980.0,5970.0,6050.0,5810.0,31235.0,251,-382,131,0.0808,598043,10.0,FALL
2020-04-07,5990.0,6040.0,6040.0,5700.0,44404.0,631,-4631,4000,0.0809,597912,290.0,RISE
2020-04-06,5700.0,5590.0,5710.0,5570.0,26033.0,3428,-3428,0,0.0814,593912,120.0,RISE
2020-04-03,5580.0,5600.0,5780.0,5460.0,31310.0,1366,-1633,267,0.0818,593912,80.0,RISE
2020-04-02,5500.0,5370.0,5540.0,5200.0,41601.0,8618,-1820,-6798,0.082,593645,130.0,RISE
2020-04-01,5370.0,5480.0,5630.0,5230.0,83913.0,17695,-6484,-11211,0.0831,600443,40.0,RISE
2020-03-31,5330.0,5050.0,5400.0,5040.0,56139.0,6006,-10135,4129,0.0838,611654,290.0,RISE
2020-03-30,5040.0,4905.0,5050.0,4865.0,39288.0,6105,-1199,-4906,0.085,607525,50.0,FALL
2020-03-27,5090.0,4910.0,5220.0,4910.0,66305.0,-10131,-6714,16845,0.0851,612431,210.0,RISE
2020-03-26,4880.0,4720.0,4905.0,4605.0,73225.0,-15209,6284,8925,0.0837,595586,180.0,RISE
2020-03-25,4700.0,4610.0,4820.0,4500.0,135356.0,34420,-3224,-31196,0.0829,586661,130.0,RISE
2020-03-24,4570.0,4230.0,4570.0,4230.0,68061.0,-3694,15303,-11609,0.0833,617857,355.0,RISE
2020-03-23,4215.0,4265.0,4345.0,4020.0,53914.0,-15809,4080,11729,0.0815,629466,285.0,FALL
2020-03-20,4500.0,4000.0,4500.0,3840.0,285769.0,-69771,50042,19729,0.0811,617737,310.0,RISE
2020-03-19,4190.0,4760.0,4855.0,3870.0,126783.0,-15371,4371,11000,0.0753,598008,590.0,FALL
2020-03-18,4780.0,5000.0,5000.0,4725.0,33138.0,-1202,-3707,4909,0.0748,587008,170.0,FALL
2020-03-17,4950.0,4640.0,5100.0,4510.0,51730.0,-8866,-1134,10000,0.0752,582099,180.0,FALL
2020-03-16,5130.0,5170.0,5550.0,5000.0,48687.0,-3990,-1891,5881,0.0753,572099,90.0,FALL
2020-03-13,5220.0,5120.0,5490.0,4940.0,62423.0,-16024,-2156,18180,0.0755,566218,680.0,FALL
2020-03-12,5900.0,6200.0,6370.0,5900.0,58784.0,-11656,-6644,18300,0.0758,548038,500.0,FALL
2020-03-11,6400.0,6480.0,6500.0,6330.0,27187.0,-9051,-4273,13324,0.0766,529738,60.0,FALL
2020-03-10,6460.0,6520.0,6570.0,6350.0,30592.0,-6781,-1953,8734,0.0754,516414,170.0,FALL
2020-03-09,6630.0,6830.0,6870.0,6610.0,23637.0,-1284,-7231,8515,0.0756,507680,370.0,FALL
2020-03-06,7000.0,6930.0,7050.0,6840.0,30615.0,-3533,-4547,8080,0.0765,499165,70.0,FALL
2020-03-05,7070.0,7010.0,7070.0,6990.0,8225.0,-1527,-760,2287,0.077,491085,70.0,RISE
2020-03-04,7000.0,6750.0,7000.0,6750.0,15494.0,-2582,-1556,4138,0.0771,488798,140.0,RISE
2020-03-03,6860.0,6730.0,7000.0,6730.0,20680.0,1903,-481,-1422,0.0773,484660,170.0,RISE
2020-03-02,6690.0,6590.0,7700.0,6590.0,54001.0,-13614,-8682,22296,0.0773,486082,90.0,FALL
2020-02-28,6780.0,6910.0,6980.0,6670.0,42835.0,-5025,-15295,20320,0.0783,463786,220.0,FALL
