날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,80100.0,81700.0,82400.0,79700.0,565637.0,160291,-65249,-95042,0.2554,-2234591,1900.0,FALL
2020-05-21,82000.0,83500.0,83500.0,81700.0,404973.0,37172,6971,-44143,0.2571,-2139549,700.0,FALL
2020-05-20,82700.0,82800.0,82900.0,81700.0,532736.0,86705,-65183,-21522,0.2569,-2095406,1000.0,FALL
2020-05-19,83700.0,83600.0,84100.0,82800.0,1320419.0,-316709,145848,170861,0.2588,-2073884,3800.0,RISE
2020-05-18,79900.0,79200.0,80100.0,78300.0,315189.0,1488,4096,-5584,0.2543,-2244745,400.0,RISE
2020-05-15,79500.0,80700.0,80800.0,79300.0,315438.0,39031,-14540,-24491,0.2529,-2239161,1300.0,FALL
2020-05-14,80800.0,80100.0,81400.0,79100.0,453644.0,49787,-122103,72316,0.2533,-2214670,500.0,RISE
2020-05-13,80300.0,79200.0,80300.0,79200.0,396098.0,60651,-47316,-13335,0.2565,-2286986,400.0,FALL
2020-05-12,80700.0,80300.0,81400.0,79300.0,548910.0,-50401,-67738,118139,0.2577,-2273651,900.0,RISE
2020-05-11,79800.0,81600.0,81700.0,79500.0,884533.0,258726,-103043,-155683,0.2589,-2391790,2500.0,FALL
2020-05-08,82300.0,82700.0,83600.0,82100.0,615633.0,57951,1908,-59859,0.2614,-2236107,200.0,FALL
2020-05-07,82500.0,84300.0,84400.0,82200.0,738443.0,327136,-134598,-192538,0.2615,-2176248,2300.0,FALL
2020-05-06,84800.0,85200.0,85200.0,83000.0,603409.0,-30777,20715,10062,0.2649,-1983710,1300.0,RISE
2020-05-04,83500.0,82700.0,85700.0,82700.0,883340.0,-53229,45594,7635,0.2644,-1993772,1700.0,FALL
2020-04-29,85200.0,82300.0,86400.0,81300.0,2042454.0,-433853,214110,219743,0.2632,-2001407,3200.0,RISE
2020-04-28,82000.0,78700.0,82300.0,78400.0,1661552.0,-361966,241288,120678,0.2585,-2221150,3800.0,RISE
2020-04-27,78200.0,76500.0,78900.0,76100.0,660048.0,9281,28649,-37930,0.2524,-2341828,1300.0,RISE
2020-04-24,76900.0,77200.0,77900.0,76000.0,486126.0,89552,-18187,-71365,0.2541,-2303898,900.0,FALL
2020-04-23,77800.0,77700.0,78900.0,77100.0,479602.0,16812,-14071,-2741,0.2535,-2232533,200.0,RISE
2020-04-22,77600.0,76600.0,77700.0,75400.0,551808.0,138143,-114694,-23449,0.2538,-2229792,300.0,FALL
2020-04-21,77900.0,78500.0,79600.0,75800.0,812738.0,39852,-32649,-7203,0.2569,-2206343,1500.0,FALL
2020-04-20,79400.0,78300.0,81900.0,78000.0,1105161.0,33836,-42907,9071,0.2577,-2199140,1700.0,RISE
2020-04-17,77700.0,80000.0,80700.0,77100.0,1671138.0,-211715,78229,133486,0.2599,-2208211,3600.0,RISE
2020-04-16,74100.0,72700.0,74300.0,72400.0,516018.0,57617,-33384,-24233,0.2554,-2341697,600.0,RISE
2020-04-14,73500.0,73100.0,73700.0,72000.0,460165.0,65611,-35200,-30411,0.2557,-2317464,900.0,RISE
2020-04-13,72600.0,74900.0,75000.0,72500.0,474553.0,76650,-25240,-51410,0.2565,-2287053,2300.0,FALL
2020-04-10,74900.0,74400.0,75100.0,73000.0,588620.0,41468,3292,-44760,0.257,-2235643,400.0,FALL
2020-04-09,75300.0,75500.0,75800.0,74000.0,658059.0,-10568,66916,-56348,0.2568,-2190883,1500.0,RISE
2020-04-08,73800.0,73700.0,76400.0,72200.0,999500.0,19533,-55252,35719,0.256,-2134535,300.0,RISE
2020-04-07,73500.0,73000.0,74000.0,71100.0,1121802.0,-37111,30069,7042,0.2584,-2170254,3200.0,RISE
2020-04-06,70300.0,67000.0,70400.0,66800.0,805194.0,-120158,52340,67818,0.2584,-2177296,3300.0,RISE
2020-04-03,67000.0,67500.0,68400.0,66100.0,494459.0,52012,-1416,-50596,0.2595,-2245114,800.0,FALL
2020-04-02,67800.0,67900.0,68500.0,65800.0,761774.0,172737,2090,-174827,0.2594,-2194518,200.0,RISE
2020-04-01,67600.0,69500.0,70300.0,67600.0,718939.0,190796,-58542,-132254,0.2593,-2019691,2900.0,FALL
2020-03-31,70500.0,70000.0,70500.0,67700.0,1091119.0,161986,82670,-244656,0.2609,-1887437,2000.0,RISE
2020-03-30,68500.0,68300.0,68600.0,66500.0,997649.0,380127,1607,-381734,0.2607,-1642781,2400.0,FALL
2020-03-27,70900.0,74500.0,74600.0,68600.0,1064237.0,149001,-32976,-116025,0.2607,-1261047,100.0,FALL
2020-03-26,71000.0,72800.0,75200.0,70700.0,904978.0,-10519,-40306,50825,0.2621,-1145022,400.0,FALL
2020-03-25,71400.0,67000.0,72300.0,66900.0,1246474.0,-137399,76303,61096,0.2625,-1195847,6600.0,RISE
2020-03-24,64800.0,63900.0,65000.0,62200.0,885966.0,80406,-89848,9442,0.2595,-1256943,3000.0,RISE
2020-03-23,61800.0,61300.0,64300.0,61300.0,735001.0,114501,-49611,-64890,0.2605,-1266385,5900.0,FALL
2020-03-20,67700.0,65000.0,67800.0,63200.0,835080.0,11524,-87720,76196,0.2592,-1201495,4700.0,RISE
2020-03-19,63000.0,72400.0,73100.0,60700.0,1094365.0,93613,-130786,37173,0.2619,-1277691,6700.0,FALL
2020-03-18,69700.0,74100.0,77500.0,69700.0,1270816.0,69059,-191069,122010,0.2644,-1314864,4300.0,FALL
2020-03-17,74000.0,67600.0,75400.0,67500.0,923565.0,-160910,-65498,226408,0.2674,-1436874,3400.0,RISE
2020-03-16,70600.0,76400.0,77400.0,70600.0,755600.0,99053,-98712,-341,0.272,-1663282,4500.0,FALL
2020-03-13,75100.0,72000.0,76500.0,70200.0,1613653.0,182665,-178758,-3907,0.2732,-1662941,3900.0,FALL
2020-03-12,79000.0,81800.0,81800.0,76600.0,1418707.0,125835,-203781,77946,0.2763,-1659034,3000.0,FALL
2020-03-11,82000.0,84500.0,85000.0,81600.0,478135.0,6998,-56160,49162,0.2809,-1736980,2500.0,FALL
2020-03-10,84500.0,80500.0,85400.0,80500.0,813711.0,-186019,65922,120097,0.2819,-1786142,3500.0,RISE
2020-03-09,81000.0,82500.0,82500.0,79700.0,772226.0,123177,-206331,83154,0.2795,-1906239,3100.0,FALL
2020-03-06,84100.0,84700.0,86000.0,83800.0,501682.0,104341,-70983,-33358,0.2847,-1989393,2600.0,FALL
2020-03-05,86700.0,86400.0,87100.0,84200.0,623272.0,-65456,-93372,158828,0.2865,-1956035,1400.0,RISE
2020-03-04,85300.0,82300.0,85300.0,81900.0,595455.0,-75782,-6495,82277,0.2895,-2114863,3300.0,RISE
2020-03-03,82000.0,83600.0,85200.0,81600.0,599394.0,83141,-31298,-51843,0.2902,-2197140,600.0,RISE
2020-03-02,81400.0,80300.0,83100.0,78600.0,731391.0,-37666,14105,23561,0.2908,-2145297,1100.0,RISE
2020-02-28,80300.0,82100.0,83400.0,79700.0,1041668.0,175064,-161586,-13478,0.29,-2168858,3600.0,FALL
2020-02-27,83900.0,85300.0,87500.0,83600.0,593162.0,172497,-116738,-55759,0.2943,-2155380,1900.0,FALL
2020-02-26,85800.0,84500.0,87300.0,83700.0,645087.0,24227,-28241,4014,0.2972,-2099621,500.0,FALL
2020-02-25,86300.0,83500.0,86700.0,83100.0,815626.0,108922,-196778,87856,0.2963,-2103635,2400.0,RISE
2020-02-24,83900.0,84700.0,85700.0,83800.0,1047798.0,334186,-257344,-76842,0.301,-2191491,5000.0,FALL
2020-02-21,88900.0,89100.0,91900.0,88400.0,883251.0,193323,-90962,-102361,0.3074,-2114649,2000.0,FALL
2020-02-20,90900.0,94000.0,94700.0,90600.0,787822.0,216051,-133624,-82427,0.3095,-2012288,3200.0,FALL
2020-02-19,94100.0,94800.0,95800.0,92700.0,459080.0,15546,28421,-43967,0.3132,-1929861,100.0,RISE
2020-02-18,94000.0,97600.0,97700.0,94000.0,652214.0,130971,-84895,-46076,0.3129,-1885894,3400.0,FALL
2020-02-17,97400.0,97200.0,98900.0,96500.0,499871.0,-29137,-23489,52626,0.315,-1839818,600.0,RISE
2020-02-14,96800.0,96000.0,97300.0,95800.0,467931.0,-13694,73320,-59626,0.3159,-1892444,0.0,EVEN
2020-02-13,96800.0,98000.0,99200.0,95700.0,1203127.0,138176,-172938,34762,0.314,-1832818,800.0,FALL
2020-02-12,97600.0,92800.0,97900.0,92800.0,1076967.0,-303177,294586,8591,0.3189,-1867580,5200.0,RISE
2020-02-11,92400.0,91000.0,93300.0,91000.0,549352.0,-93966,41550,52416,0.3105,-1876171,2000.0,RISE
2020-02-10,90400.0,90800.0,90900.0,89300.0,647191.0,192465,-195367,2902,0.3091,-1928587,1600.0,FALL
2020-02-07,92000.0,95000.0,95000.0,91700.0,996203.0,291021,-310628,19607,0.3161,-1931489,3000.0,FALL
2020-02-06,95000.0,90200.0,95100.0,90000.0,1166680.0,-240178,194785,45393,0.3238,-1951096,6000.0,RISE
2020-02-05,89000.0,91200.0,91200.0,88300.0,673171.0,68344,33570,-101914,0.3186,-1996489,700.0,FALL
2020-02-04,89700.0,89600.0,91500.0,88000.0,870658.0,135118,-158306,23188,0.317,-1894575,600.0,FALL
2020-02-03,90300.0,84900.0,91300.0,83600.0,1729475.0,-52953,1498,51455,0.3209,-1917763,2900.0,RISE
2020-01-31,87400.0,88800.0,90300.0,87200.0,785687.0,48903,-47308,-1595,0.321,-1969218,400.0,FALL
2020-01-30,87800.0,89200.0,90600.0,87000.0,841384.0,96232,21723,-117955,0.3231,-1967623,1700.0,FALL
2020-01-29,89500.0,88200.0,91500.0,85700.0,1553767.0,12001,-128281,116280,0.3224,-1849668,2500.0,RISE
2020-01-28,87000.0,87100.0,88900.0,86200.0,2383525.0,642027,79306,-721333,0.3239,-1965948,10000.0,FALL
2020-01-23,97000.0,99400.0,99400.0,96900.0,952483.0,238914,-100063,-138851,0.321,-1244615,4000.0,FALL
2020-01-22,101000.0,97600.0,102000.0,96500.0,1412802.0,12747,-98012,85265,0.324,-1105764,1100.0,RISE
2020-01-21,99900.0,101500.0,104500.0,99800.0,1196061.0,131560,-111681,-19879,0.3255,-1191029,3100.0,FALL
2020-01-20,103000.0,109000.0,111000.0,101000.0,1168346.0,12791,51981,-64772,0.328,-1171150,5500.0,FALL
2020-01-17,108500.0,106500.0,108500.0,106000.0,242391.0,-87601,66868,20733,0.3266,-1106378,1500.0,RISE
2020-01-16,107000.0,105500.0,107500.0,104500.0,308999.0,-77824,94003,-16179,0.3249,-1127111,1500.0,RISE
2020-01-15,105500.0,107000.0,107000.0,104000.0,399136.0,11052,34454,-45506,0.3224,-1110932,1500.0,FALL
2020-01-14,107000.0,108500.0,109500.0,105000.0,765307.0,-103404,266644,-163240,0.3204,-1065426,500.0,RISE
2020-01-13,106500.0,103000.0,107000.0,102000.0,574810.0,-140849,91813,49036,0.3122,-902186,4000.0,RISE
2020-01-10,102500.0,99900.0,102500.0,99600.0,559067.0,-197239,152557,44682,0.309,-951222,3100.0,RISE
2020-01-09,99400.0,99500.0,101000.0,98500.0,604384.0,-4463,84688,-80225,0.3075,-995904,2100.0,RISE
2020-01-08,97300.0,98300.0,100500.0,97200.0,731806.0,-3373,-32864,36237,0.3065,-915679,2100.0,FALL
2020-01-07,99400.0,95500.0,99500.0,95400.0,736235.0,-191398,144357,47041,0.3085,-951916,4500.0,RISE
2020-01-06,94900.0,93200.0,95300.0,93200.0,413182.0,-77205,71086,6119,0.3043,-998957,400.0,FALL
2020-01-03,95300.0,95100.0,96200.0,93000.0,689855.0,-163839,191551,-27712,0.3034,-1005076,1300.0,RISE
2020-01-02,94000.0,92100.0,94500.0,91300.0,833223.0,-245558,114718,130840,0.2965,-977364,3200.0,RISE
2019-12-30,90800.0,88200.0,90900.0,88100.0,726313.0,-191396,58407,132989,0.2938,-1108204,3500.0,RISE
2019-12-27,87300.0,85000.0,87500.0,84200.0,553933.0,-250773,149415,101358,0.2925,-1241193,3500.0,RISE
2019-12-26,83800.0,84600.0,85800.0,83700.0,312194.0,-62798,29762,33036,0.2888,-1342551,200.0,FALL
