날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,8520.0,8230.0,8830.0,8100.0,4182549.0,-555857,291070,264787,0.1673,1776951,320.0,RISE
2020-05-21,8200.0,8400.0,8520.0,8020.0,1740161.0,633363,-54396,-578967,0.162,1512164,160.0,FALL
2020-05-20,8360.0,8250.0,8540.0,8140.0,1144935.0,69648,-6954,-62694,0.163,2091131,50.0,RISE
2020-05-19,8310.0,7980.0,8320.0,7920.0,1828895.0,-341597,275867,65730,0.1631,2153825,550.0,RISE
2020-05-18,7760.0,8160.0,8200.0,7680.0,1377817.0,190308,-28596,-161712,0.1582,2088095,340.0,FALL
2020-05-15,8100.0,8460.0,8460.0,7850.0,2742425.0,393638,125364,-519002,0.1587,2249807,390.0,FALL
2020-05-14,8490.0,8330.0,8570.0,8300.0,910797.0,155171,-42079,-113092,0.1564,2768809,50.0,RISE
2020-05-13,8440.0,8370.0,8450.0,8260.0,430281.0,-10672,27344,-16672,0.1572,2881901,60.0,FALL
2020-05-12,8500.0,8640.0,8640.0,8260.0,919818.0,-29757,23823,5934,0.1567,2898573,80.0,FALL
2020-05-11,8580.0,8660.0,8780.0,8490.0,744803.0,-56403,41078,15325,0.1559,2892639,70.0,FALL
2020-05-08,8650.0,8830.0,8910.0,8610.0,1035879.0,119202,-101461,-17741,0.1552,2877314,80.0,FALL
2020-05-07,8730.0,8730.0,8740.0,8550.0,844993.0,17865,-35643,17778,0.1571,2895055,20.0,RISE
2020-05-06,8710.0,8700.0,8880.0,8630.0,1803704.0,129984,-138239,8255,0.1577,2877277,190.0,RISE
2020-05-04,8520.0,8130.0,8650.0,8050.0,2578012.0,-231884,72452,159432,0.1609,2869022,290.0,RISE
2020-04-29,8230.0,7950.0,8270.0,7870.0,2178975.0,-176276,25981,150295,0.1596,2709590,320.0,RISE
2020-04-28,7910.0,7930.0,8170.0,7810.0,2476543.0,52895,-157562,104667,0.1592,2559295,100.0,RISE
2020-04-27,7810.0,7580.0,7810.0,7500.0,1207205.0,39597,40616,-80213,0.162,2454628,310.0,RISE
2020-04-24,7500.0,7550.0,7680.0,7460.0,724708.0,-70343,72667,-2324,0.1613,2534841,90.0,FALL
2020-04-23,7590.0,7740.0,7770.0,7500.0,954648.0,200921,-29029,-171892,0.1599,2537165,50.0,FALL
2020-04-22,7640.0,7450.0,7730.0,7380.0,634087.0,1599,34432,-36031,0.1605,2709057,30.0,RISE
2020-04-21,7610.0,7670.0,7710.0,7200.0,1572322.0,39744,51159,-90903,0.1598,2745088,160.0,FALL
2020-04-20,7770.0,7950.0,8070.0,7740.0,1241763.0,194005,-116631,-77374,0.1589,2835991,160.0,FALL
2020-04-17,7930.0,7580.0,7990.0,7560.0,2004301.0,-67417,95672,-28255,0.1611,2913365,470.0,RISE
2020-04-16,7460.0,7690.0,7700.0,7350.0,1428828.0,237348,-33204,-204144,0.1593,2941620,290.0,FALL
2020-04-14,7750.0,7620.0,7910.0,7530.0,1288810.0,-184167,33650,150517,0.1599,3145764,230.0,RISE
2020-04-13,7520.0,8130.0,8170.0,7470.0,2607047.0,191500,257981,-449481,0.1593,2995247,620.0,FALL
2020-04-10,8140.0,8070.0,8220.0,7650.0,2816288.0,276030,-356099,80069,0.1547,3444728,130.0,RISE
2020-04-09,8010.0,7700.0,8080.0,7700.0,3342490.0,416289,-395027,-21262,0.1612,3364659,460.0,RISE
2020-04-08,7550.0,7340.0,7850.0,7180.0,1971925.0,284570,-441320,156750,0.1683,3385921,160.0,RISE
2020-04-07,7390.0,7530.0,7720.0,7200.0,1991010.0,744993,-253007,-491986,0.1761,3229171,140.0,RISE
2020-04-06,7250.0,7030.0,7260.0,6980.0,1098719.0,64028,-88395,24367,0.1805,3721157,280.0,RISE
2020-04-03,6970.0,7040.0,7240.0,6900.0,907350.0,100566,-148433,47867,0.1817,3696790,0.0,EVEN
2020-04-02,6970.0,6800.0,6970.0,6550.0,750130.0,19745,891,-20636,0.1844,3648923,200.0,RISE
2020-04-01,6770.0,6760.0,7270.0,6670.0,1184827.0,84958,-23416,-61542,0.1844,3669559,80.0,FALL
2020-03-31,6850.0,7010.0,7120.0,6730.0,1017107.0,391594,-314386,-77208,0.1842,3731101,30.0,FALL
2020-03-30,6880.0,6750.0,6950.0,6690.0,697830.0,209312,-200368,-8944,0.1909,3808309,170.0,FALL
2020-03-27,7050.0,7450.0,7510.0,6740.0,1320627.0,103028,-402033,299005,0.1944,3817253,40.0,RISE
2020-03-26,7010.0,7290.0,7370.0,6990.0,1409352.0,175656,-668439,492783,0.2018,3518248,30.0,RISE
2020-03-25,6980.0,6600.0,7150.0,6480.0,1271021.0,-38995,-246543,285538,0.2139,3025465,680.0,RISE
2020-03-24,6300.0,6040.0,6390.0,5900.0,747688.0,155377,-124435,-30942,0.2184,2739927,530.0,RISE
2020-03-23,5770.0,5860.0,5970.0,5680.0,740919.0,58216,-150245,92029,0.2207,2770869,660.0,FALL
2020-03-20,6430.0,5920.0,6430.0,5840.0,928404.0,4910,-252516,247606,0.2234,2678840,660.0,RISE
2020-03-19,5770.0,7170.0,7270.0,5730.0,1305168.0,-179012,-113144,292156,0.228,2431234,1190.0,FALL
2020-03-18,6960.0,7040.0,7560.0,6850.0,839689.0,-19187,-136749,155936,0.23,2139078,10.0,RISE
2020-03-17,6950.0,6600.0,7200.0,6290.0,1341411.0,-61705,-993,62698,0.2322,1983142,320.0,FALL
2020-03-16,7270.0,8000.0,8250.0,7270.0,982078.0,8371,-72004,63633,0.2321,1920444,520.0,FALL
2020-03-13,7790.0,7890.0,8140.0,6690.0,1992646.0,-489631,169309,320322,0.2334,1856811,1040.0,FALL
2020-03-12,8830.0,9200.0,9360.0,8600.0,849027.0,-143308,114908,28400,0.2302,1536489,630.0,FALL
2020-03-11,9460.0,9860.0,9960.0,9240.0,445179.0,24977,-59200,34223,0.2282,1508089,240.0,FALL
2020-03-10,9700.0,9520.0,9720.0,9300.0,609447.0,-64966,58488,6478,0.2291,1473866,10.0,FALL
2020-03-09,9710.0,10500.0,10500.0,9710.0,559439.0,-38330,-28870,67200,0.228,1467388,990.0,FALL
2020-03-06,10700.0,10800.0,10850.0,10300.0,291183.0,-10703,932,9771,0.2285,1400188,200.0,FALL
2020-03-05,10900.0,11050.0,11150.0,10750.0,266722.0,36102,-83806,47704,0.2285,1390417,0.0,EVEN
2020-03-04,10900.0,10850.0,11000.0,10600.0,209716.0,-23664,-29023,52687,0.2301,1342713,50.0,RISE
2020-03-03,10850.0,11300.0,11450.0,10850.0,297031.0,20805,-69532,48727,0.2306,1290026,100.0,FALL
