날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-12-29,1995.0,1995.0,2000.0,1990.0,151771.0,134841.0,0.0,-134841.0,0.001,-134841.0,0.0,EVEN
2014-12-30,2000.0,2000.0,2000.0,1995.0,34390.0,14149.0,0.0,-14149.0,0.001,-148990.0,5.0,RISE
2015-01-02,2005.0,2000.0,2005.0,2000.0,3490.0,0.0,0.0,0.0,0.001,-148990.0,5.0,RISE
2015-01-05,2000.0,2005.0,2005.0,2000.0,12363.0,53.0,0.0,-53.0,0.001,-149043.0,5.0,FALL
2015-01-06,2005.0,2000.0,2005.0,2000.0,30180.0,-3000.0,0.0,3000.0,0.001,-146043.0,5.0,RISE
2015-01-07,2010.0,2005.0,2015.0,2005.0,41502.0,-1809.0,0.0,1809.0,0.001,-144234.0,5.0,RISE
2015-01-08,2020.0,2010.0,2040.0,2005.0,194586.0,46451.0,0.0,-46451.0,0.001,-190685.0,10.0,RISE
2015-01-09,2020.0,2045.0,2045.0,2020.0,31837.0,1515.0,0.0,-1515.0,0.001,-192200.0,0.0,EVEN
2015-01-12,2020.0,2015.0,2020.0,2015.0,28664.0,11000.0,0.0,-11000.0,0.001,-203200.0,0.0,EVEN
2015-01-13,2020.0,2020.0,2020.0,2015.0,34494.0,4500.0,0.0,-4500.0,0.001,-207700.0,0.0,EVEN
2015-01-14,2020.0,2020.0,2025.0,2010.0,58202.0,23158.0,0.0,-23158.0,0.001,-230858.0,0.0,EVEN
2015-01-15,2045.0,2030.0,2045.0,2030.0,42751.0,3309.0,0.0,-3309.0,0.001,-234167.0,25.0,RISE
2015-01-16,2050.0,2040.0,2050.0,2040.0,11910.0,1800.0,0.0,-1800.0,0.001,-235967.0,5.0,RISE
2015-01-19,2070.0,2060.0,2070.0,2050.0,5640.0,0.0,0.0,0.0,0.001,-235967.0,20.0,RISE
2015-01-20,2080.0,2080.0,2080.0,2080.0,10.0,0.0,0.0,0.0,0.001,-235967.0,10.0,RISE
2015-01-21,2120.0,2075.0,2120.0,2075.0,10364.0,0.0,0.0,0.0,0.001,-235967.0,40.0,RISE
2015-01-22,2100.0,2105.0,2105.0,2100.0,2218.0,0.0,0.0,0.0,0.001,-235967.0,20.0,FALL
2015-01-23,2100.0,2150.0,2150.0,2100.0,887.0,876.0,0.0,-876.0,0.001,-236843.0,0.0,EVEN
2015-01-26,2100.0,2100.0,2100.0,2075.0,21113.0,0.0,0.0,0.0,0.001,-236843.0,0.0,EVEN
2015-01-27,2095.0,2100.0,2100.0,2075.0,11423.0,,,,,,,
2015-01-28,2090.0,2090.0,2090.0,2075.0,6240.0,0.0,0.0,0.0,0.001,-236843.0,5.0,FALL
2015-01-29,2100.0,2090.0,2100.0,2085.0,65681.0,24100.0,0.0,-24100.0,0.001,-260943.0,10.0,RISE
2015-01-30,2140.0,2105.0,2150.0,2105.0,15258.0,0.0,0.0,0.0,0.001,-260943.0,40.0,RISE
2015-02-02,2150.0,2140.0,2150.0,2135.0,58504.0,45459.0,4655.0,-50114.0,0.002,-311057.0,10.0,RISE
2015-02-03,2175.0,2170.0,2180.0,2150.0,54676.0,41268.0,11400.0,-52668.0,0.004,-363725.0,25.0,RISE
2015-02-04,2180.0,2200.0,2200.0,2165.0,32893.0,22991.0,0.0,-22991.0,0.004,-386716.0,5.0,RISE
2015-02-05,2185.0,2200.0,2200.0,2165.0,16499.0,-12602.0,0.0,12602.0,0.004,-374114.0,5.0,RISE
2015-02-06,2175.0,2185.0,2200.0,2170.0,29528.0,-5117.0,0.0,5117.0,0.004,-368997.0,10.0,FALL
2015-02-09,2150.0,2175.0,2175.0,2140.0,5040.0,0.0,0.0,0.0,0.004,-368997.0,25.0,FALL
2015-02-10,2145.0,2150.0,2185.0,2130.0,14631.0,-5029.0,0.0,5029.0,0.004,-363968.0,5.0,FALL
2015-02-11,2130.0,2140.0,2145.0,2100.0,28090.0,243.0,0.0,-243.0,0.004,-364211.0,15.0,FALL
2015-02-12,2170.0,2130.0,2375.0,2095.0,24261.0,-4185.0,0.0,4185.0,0.004,-360026.0,40.0,RISE
2015-02-13,2140.0,2160.0,2185.0,2120.0,16786.0,,,,,,,
2015-02-16,2110.0,2160.0,2160.0,2110.0,3045.0,0.0,0.0,0.0,0.004,-360026.0,30.0,FALL
2015-02-17,2110.0,2130.0,2130.0,2090.0,31506.0,0.0,0.0,0.0,0.004,-360026.0,0.0,EVEN
2015-02-23,2140.0,2120.0,2150.0,2120.0,16111.0,0.0,0.0,0.0,0.004,-360026.0,30.0,RISE
2015-02-24,2170.0,2130.0,2170.0,2125.0,38568.0,-357.0,0.0,357.0,0.004,-359669.0,30.0,RISE
2015-02-25,2180.0,2200.0,2200.0,2150.0,47552.0,22655.0,0.0,-22655.0,0.004,-382324.0,10.0,RISE
2015-02-26,2195.0,2150.0,2195.0,2150.0,2176.0,0.0,0.0,0.0,0.004,-382324.0,15.0,RISE
2015-02-27,2245.0,2200.0,2245.0,2195.0,2459.0,-2357.0,0.0,2357.0,0.004,-379967.0,50.0,RISE
2015-03-02,2200.0,2200.0,2205.0,2190.0,58914.0,34881.0,0.0,-34881.0,0.004,-414848.0,45.0,FALL
2015-03-03,2200.0,2190.0,2200.0,2190.0,31803.0,21682.0,0.0,-21682.0,0.004,-436530.0,0.0,EVEN
2015-03-04,2190.0,2200.0,2220.0,2190.0,41368.0,38267.0,0.0,-38267.0,0.004,-474797.0,10.0,FALL
2015-03-05,2180.0,2195.0,2195.0,2175.0,9151.0,605.0,0.0,-605.0,0.004,-475402.0,10.0,FALL
2015-03-06,2200.0,2180.0,2200.0,2170.0,53895.0,14584.0,-8455.0,-6129.0,0.003,-481531.0,20.0,RISE
2015-03-09,2180.0,2210.0,2210.0,2150.0,60114.0,44302.0,0.0,-44302.0,0.003,-525833.0,20.0,FALL
2015-03-10,2130.0,2190.0,2190.0,2100.0,191764.0,131000.0,0.0,-131000.0,0.003,-656833.0,50.0,FALL
2015-03-11,2150.0,2140.0,2155.0,2125.0,48053.0,-6540.0,0.0,6540.0,0.003,-650293.0,20.0,RISE
2015-03-12,2150.0,2150.0,2150.0,2130.0,45548.0,39800.0,0.0,-39800.0,0.003,-690093.0,0.0,EVEN
2015-03-13,2160.0,2160.0,2160.0,2150.0,59321.0,-5274.0,0.0,5274.0,0.003,-684819.0,10.0,RISE
2015-03-16,2195.0,2195.0,2200.0,2170.0,70190.0,24185.0,0.0,-24185.0,0.003,-709004.0,35.0,RISE
2015-03-17,2200.0,2195.0,2275.0,2180.0,119107.0,62152.0,-3800.0,-58352.0,0.002,-767356.0,5.0,RISE
2015-03-18,2220.0,2340.0,2340.0,2195.0,260613.0,180266.0,0.0,-180266.0,0.002,-947622.0,20.0,RISE
2015-03-19,2380.0,2220.0,2380.0,2200.0,308288.0,47753.0,-1900.0,-45853.0,0.002,-993475.0,160.0,RISE
2015-03-20,2405.0,2465.0,2490.0,2400.0,144676.0,54698.0,864.0,-55562.0,0.002,-1049037.0,25.0,RISE
2015-03-23,2575.0,2450.0,2600.0,2390.0,332162.0,114106.0,-106.0,-114000.0,0.002,-1163037.0,170.0,RISE
2015-03-24,2470.0,2550.0,2550.0,2410.0,157857.0,-3991.0,0.0,3991.0,0.002,-1159046.0,105.0,FALL
2015-03-25,2355.0,2470.0,2470.0,2350.0,120668.0,17758.0,-758.0,-17000.0,0.002,-1176046.0,115.0,FALL
2015-03-26,2400.0,2355.0,2540.0,2305.0,125618.0,13000.0,0.0,-13000.0,0.002,-1189046.0,45.0,RISE
2015-06-11,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,-1189046.0,0.0,EVEN
2015-06-12,2825.0,2460.0,2825.0,2370.0,1850599.0,653638.0,-10000.0,-643638.0,0.0,-1832684.0,365.0,UPPER_LIMIT
2015-06-15,2640.0,2800.0,2890.0,2490.0,559802.0,17139.0,0.0,-17139.0,0.0,-1849823.0,185.0,FALL
2015-06-16,2610.0,2605.0,2690.0,2490.0,129873.0,7040.0,0.0,-7040.0,0.0,-1856863.0,30.0,FALL
2015-06-17,2750.0,2670.0,3090.0,2545.0,440921.0,74320.0,0.0,-74320.0,0.0,-1931183.0,140.0,RISE
2015-06-18,3030.0,2740.0,3190.0,2700.0,618746.0,167150.0,0.0,-167150.0,0.0,-2098333.0,280.0,RISE
2015-06-19,3155.0,3040.0,3340.0,3030.0,357954.0,33317.0,0.0,-33317.0,0.0,-2131650.0,125.0,RISE
2015-06-22,3215.0,3325.0,3325.0,3100.0,273351.0,-24934.0,0.0,24934.0,0.0,-2106716.0,60.0,RISE
2015-06-23,3090.0,3130.0,3175.0,3000.0,284121.0,72170.0,-1900.0,-70270.0,0.0,-2176986.0,125.0,FALL
2015-06-24,3050.0,3025.0,3090.0,2875.0,233134.0,25940.0,0.0,-25940.0,0.0,-2202926.0,40.0,FALL
2015-06-25,3130.0,3060.0,3150.0,2985.0,131397.0,27813.0,0.0,-27813.0,0.0,-2230739.0,80.0,RISE
2015-06-26,3080.0,3155.0,3240.0,2990.0,177866.0,14327.0,0.0,-14327.0,0.0,-2245066.0,50.0,FALL
2015-06-29,2950.0,3040.0,3080.0,2940.0,91489.0,1002.0,0.0,-1002.0,0.0,-2246068.0,130.0,FALL
2015-06-30,2930.0,2995.0,3125.0,2885.0,262518.0,3522.0,998.0,-4520.0,0.0,-2250588.0,20.0,FALL
2015-07-01,3000.0,3020.0,3135.0,2860.0,227713.0,20105.0,-998.0,-19107.0,0.0,-2269695.0,70.0,RISE
2015-07-02,3000.0,2965.0,3125.0,2900.0,198205.0,707.0,1293.0,-2000.0,0.0,-2271695.0,0.0,EVEN
2015-07-03,3000.0,3050.0,3050.0,2880.0,167124.0,464.0,1708.0,-2172.0,0.0,-2273867.0,0.0,EVEN
