날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,3735.0,3705.0,3845.0,3660.0,2060880.0,-46104,32679,13425,0.0098,-2671353,45.0,RISE
2020-05-21,3690.0,3750.0,4100.0,3670.0,10806478.0,90753,-82657,-8096,0.0083,-2684778,50.0,FALL
2020-05-20,3740.0,3625.0,3800.0,3620.0,3143177.0,-47055,61018,-13963,0.012,-2676682,130.0,RISE
2020-05-19,3610.0,3595.0,3680.0,3580.0,1346715.0,-38069,22478,15591,0.0093,-2662719,20.0,RISE
2020-05-18,3590.0,3620.0,3705.0,3590.0,1537412.0,-71280,68780,2500,0.0083,-2678310,45.0,FALL
2020-05-15,3635.0,3625.0,3715.0,3550.0,3708848.0,-31516,28391,3125,0.0051,-2680810,10.0,RISE
2020-05-14,3625.0,3690.0,4050.0,3600.0,18590930.0,226578,-227580,1002,0.0038,-2683935,10.0,RISE
2020-05-13,3615.0,3545.0,3645.0,3520.0,1875658.0,-63605,90359,-26754,0.014,-2684937,10.0,FALL
2020-05-12,3625.0,3580.0,3910.0,3560.0,12032983.0,-50815,24156,26659,0.0099,-2658183,25.0,RISE
2020-05-11,3600.0,3915.0,4015.0,3590.0,9128942.0,9830,-10171,341,0.0088,-2684842,395.0,FALL
2020-05-08,3995.0,3280.0,4245.0,3200.0,48679620.0,-79132,79503,-371,0.0088,-2685183,675.0,RISE
2020-05-07,3320.0,3120.0,3455.0,3115.0,21076496.0,35601,-35587,-14,0.0052,-2684812,190.0,RISE
2020-05-06,3130.0,3010.0,3190.0,3005.0,5740193.0,-30830,30689,141,0.0068,-2684798,110.0,RISE
2020-05-04,3020.0,2865.0,3290.0,2735.0,12126193.0,8565,-24043,15478,0.0055,-2684939,150.0,RISE
2020-04-29,2870.0,2865.0,2955.0,2855.0,1564332.0,-48642,46159,2483,0.0066,-2700417,5.0,RISE
2020-04-28,2865.0,2945.0,3110.0,2860.0,4013223.0,49023,-49041,18,0.0045,-2702900,85.0,FALL
2020-04-27,2950.0,2860.0,3065.0,2780.0,7180393.0,28001,-27983,-18,0.0068,-2702918,100.0,RISE
2020-04-24,2850.0,2850.0,3240.0,2745.0,23688229.0,192573,-192567,-6,0.008,-2702900,75.0,RISE
2020-04-23,2775.0,2735.0,2845.0,2730.0,1496196.0,-88952,89593,-641,0.0168,-2702894,45.0,RISE
2020-04-22,2730.0,2660.0,2910.0,2650.0,4887682.0,86620,-86023,-597,0.0127,-2702253,50.0,RISE
2020-04-21,2680.0,2815.0,2840.0,2535.0,2059787.0,-230990,229628,1362,0.0166,-2701656,150.0,FALL
2020-04-20,2830.0,2895.0,2960.0,2820.0,2620426.0,120220,-101474,-18746,0.0063,-2703018,110.0,FALL
2020-04-17,2940.0,2815.0,2940.0,2700.0,3658243.0,-163422,163656,-234,0.0109,-2684272,85.0,RISE
2020-04-16,2855.0,3075.0,3210.0,2830.0,6124942.0,16361,-33496,17135,0.0037,-2684038,210.0,FALL
2020-04-14,3065.0,2940.0,3350.0,2860.0,30491203.0,48874,-35398,-13476,0.0063,-2701173,65.0,RISE
2020-04-13,3000.0,2355.0,3000.0,2355.0,20437559.0,314820,-330435,15615,0.0083,-2687697,690.0,UPPER_LIMIT
2020-04-10,2310.0,2355.0,2355.0,2170.0,462065.0,12208,-12569,361,0.0233,-2703312,30.0,FALL
2020-04-09,2340.0,2355.0,2390.0,2315.0,486827.0,6945,-7082,137,0.0239,-2703673,20.0,RISE
2020-04-08,2320.0,2340.0,2375.0,2255.0,806660.0,-31478,31499,-21,0.0242,-2703810,30.0,FALL
2020-04-07,2350.0,2450.0,2455.0,2275.0,1385233.0,22466,-22485,19,0.0228,-2703789,35.0,FALL
2020-04-06,2385.0,2100.0,2530.0,2070.0,5794977.0,329922,-329919,-3,0.0238,-2703808,310.0,RISE
2020-04-03,2075.0,2105.0,2130.0,2030.0,373272.0,73149,-72938,-211,0.0343,-2703805,20.0,RISE
2020-04-02,2055.0,1960.0,2055.0,1915.0,420322.0,-97176,97380,-204,0.0376,-2703594,70.0,RISE
2020-04-01,1985.0,2060.0,2150.0,1965.0,735910.0,-16513,16491,22,0.0332,-2703390,65.0,FALL
