날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-10,83300.0,82600.0,84600.0,82600.0,17510.0,-1271,6267,-4996,0.321,6600,0.0,EVEN
2014-04-11,83400.0,83400.0,83900.0,82900.0,18051.0,-1765,3400,-1635,0.321,4965,100.0,RISE
2014-04-14,85800.0,84400.0,86400.0,83400.0,25373.0,3795,-3738,-57,0.321,4908,2400.0,RISE
2014-04-15,86700.0,84500.0,86900.0,84500.0,38703.0,-10769,-4203,14972,0.32,19880,900.0,RISE
2014-04-16,86100.0,85800.0,86700.0,85100.0,15056.0,-95,601,-506,0.32,19374,600.0,FALL
2014-04-17,87100.0,86100.0,88400.0,85600.0,26024.0,-9546,10372,-826,0.321,18548,1000.0,RISE
2014-04-18,87000.0,87200.0,87500.0,86600.0,17368.0,-10203,5047,5156,0.322,23704,100.0,FALL
2014-04-21,87000.0,87000.0,87600.0,85900.0,12498.0,-2336,2434,-98,0.322,23606,0.0,EVEN
2014-04-22,86100.0,86600.0,87200.0,85700.0,13722.0,721,2382,-3103,0.322,20503,900.0,FALL
2014-04-23,84000.0,85600.0,86200.0,84000.0,11095.0,-1348,2544,-1196,0.323,19307,2100.0,FALL
2014-04-24,84800.0,83600.0,85200.0,83200.0,10180.0,-1785,2194,-409,0.323,18898,800.0,RISE
2014-04-25,85000.0,85500.0,85500.0,83800.0,9420.0,-4541,4281,260,0.323,19158,200.0,RISE
2014-04-28,85200.0,84600.0,85300.0,84200.0,5700.0,-1730,2870,-1140,0.323,18018,200.0,RISE
2014-04-29,87900.0,85600.0,88100.0,85200.0,26069.0,-7064,4975,2089,0.324,20107,2700.0,RISE
2014-04-30,89900.0,88100.0,90500.0,88100.0,37062.0,-11398,18452,-7054,0.326,13053,2000.0,RISE
2014-05-02,89400.0,89900.0,90300.0,89200.0,9692.0,-709,-1058,1767,0.326,14820,500.0,FALL
2014-05-07,90300.0,89900.0,90300.0,88500.0,24157.0,-6300,1369,4931,0.326,19751,900.0,RISE
2014-05-08,90800.0,90400.0,90900.0,88100.0,17096.0,-1053,1445,-392,0.326,19359,500.0,RISE
2014-05-09,88700.0,90800.0,90800.0,88700.0,11977.0,3025,570,-3595,0.326,15764,2100.0,FALL
2014-05-12,88200.0,88600.0,89000.0,87900.0,11068.0,476,2190,-2666,0.326,13098,500.0,FALL
2014-05-13,88100.0,88400.0,88600.0,86900.0,13877.0,853,2583,-3436,0.326,9662,100.0,FALL
2014-05-14,88800.0,88100.0,88900.0,87500.0,8282.0,580,2192,-2772,0.327,6890,700.0,RISE
