,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,4240.0,4300.0,4320.0,4190.0,84412.0,-7446,7446,0,0.0269,256728,60.0,RISE
2020-06-01,4180.0,4135.0,4195.0,4120.0,42436.0,2133,-2133,0,0.0263,256728,45.0,RISE
2020-05-29,4135.0,4110.0,4180.0,4080.0,73776.0,-12318,12318,0,0.0265,256728,5.0,RISE
2020-05-28,4130.0,4255.0,4305.0,4050.0,134892.0,22010,-22010,0,0.0255,256728,120.0,FALL
2020-05-27,4250.0,4305.0,4340.0,4215.0,68586.0,3946,-3946,0,0.0273,256728,0.0,EVEN
2020-05-26,4250.0,4260.0,4260.0,4200.0,95147.0,9586,-9586,0,0.0276,256728,10.0,RISE
2020-05-25,4240.0,4225.0,4290.0,4200.0,127102.0,10692,-10692,0,0.0284,256728,15.0,RISE
2020-05-22,4225.0,4170.0,4300.0,4100.0,352372.0,-22550.0,24426.0,-1876.0,0.0292,219898.0,90.0,RISE
2020-05-21,4135.0,4250.0,4250.0,4125.0,139783.0,11475.0,-11946.0,471.0,0.0273,221774.0,65.0,FALL
2020-05-20,4200.0,4210.0,4290.0,4145.0,154176.0,25206.0,-25206.0,0.0,0.0282,221303.0,0.0,EVEN
2020-05-19,4200.0,4120.0,4315.0,4015.0,578652.0,-23907.0,31907.0,-8000.0,0.0303,221303.0,165.0,RISE
2020-05-18,4035.0,4005.0,4110.0,3915.0,294121.0,-4359.0,2359.0,2000.0,0.0278,229303.0,120.0,RISE
2020-05-15,3915.0,3685.0,4740.0,3645.0,1751010.0,-622.0,622.0,0.0,0.0277,227303.0,230.0,RISE
2020-05-14,3685.0,3635.0,3750.0,3620.0,80254.0,-19956.0,-10044.0,30000.0,0.0276,227303.0,10.0,RISE
2020-05-13,3675.0,3610.0,3685.0,3600.0,34138.0,1631.0,-1631.0,0.0,0.0284,197303.0,0.0,EVEN
2020-05-12,3675.0,3740.0,3790.0,3615.0,46845.0,9996.0,-9996.0,0.0,0.0285,197303.0,65.0,FALL
2020-05-11,3740.0,3765.0,3790.0,3640.0,91875.0,-32761.0,2761.0,30000.0,0.0294,197303.0,30.0,RISE
2020-05-08,3710.0,3675.0,3750.0,3675.0,93747.0,-36468.0,6468.0,30000.0,0.0291,167303.0,40.0,RISE
2020-05-07,3670.0,3675.0,3680.0,3630.0,28587.0,-1194.0,1194.0,0.0,0.0286,137303.0,0.0,EVEN
2020-05-06,3670.0,3645.0,3680.0,3600.0,65839.0,-26914.0,20645.0,6269.0,0.0285,137303.0,65.0,RISE
2020-05-04,3605.0,3550.0,3660.0,3495.0,73427.0,-34827.0,4827.0,30000.0,0.0268,131034.0,20.0,RISE
2020-04-29,3585.0,3590.0,3675.0,3565.0,88433.0,-25058.0,-4942.0,30000.0,0.0264,101034.0,5.0,FALL
2020-04-28,3590.0,3610.0,3635.0,3530.0,42863.0,9812.0,-9812.0,0.0,0.0268,71034.0,10.0,RISE
2020-04-27,3580.0,3750.0,3750.0,3530.0,36867.0,-276.0,5276.0,-5000.0,0.0276,71034.0,50.0,RISE
2020-04-24,3530.0,3635.0,3645.0,3525.0,65026.0,11813.0,-11813.0,0.0,0.0272,76034.0,95.0,FALL
2020-04-23,3625.0,3590.0,3700.0,3545.0,139534.0,-38397.0,12397.0,26000.0,0.0282,76034.0,80.0,RISE
2020-04-22,3545.0,3515.0,3585.0,3420.0,104482.0,-30909.0,4899.0,26010.0,0.0272,50034.0,5.0,FALL
2020-04-21,3550.0,3715.0,3720.0,3370.0,260979.0,59388.0,-34093.0,-25295.0,0.0268,24024.0,145.0,FALL
2020-04-20,3695.0,3440.0,3780.0,3385.0,305435.0,-25703.0,4114.0,21589.0,0.0296,49319.0,260.0,RISE
2020-04-17,3435.0,3410.0,3495.0,3380.0,79241.0,-10805.0,10805.0,0.0,0.0292,27730.0,30.0,RISE
2020-04-16,3405.0,3400.0,3425.0,3275.0,68516.0,-3735.0,3735.0,0.0,0.0284,27730.0,5.0,RISE
2020-04-14,3400.0,3370.0,3440.0,3370.0,60035.0,-13524.0,14210.0,-686.0,0.0281,27730.0,30.0,RISE
2020-04-13,3370.0,3550.0,3650.0,3335.0,178039.0,40106.0,-40106.0,0.0,0.0269,28416.0,125.0,FALL
2020-04-10,3495.0,3335.0,3525.0,3290.0,241334.0,-68763.0,14730.0,54033.0,0.0302,28416.0,165.0,RISE
2020-04-09,3330.0,3230.0,3445.0,3225.0,164696.0,-36126.0,18197.0,17929.0,0.028999999999999998,-25617.0,150.0,RISE
2020-04-08,3180.0,3095.0,3270.0,3060.0,170457.0,-36932.0,-13068.0,50000.0,0.0283,-43546.0,95.0,RISE
2020-04-07,3085.0,3145.0,3220.0,3000.0,136115.0,-39731.0,-269.0,40000.0,0.0294,-93546.0,65.0,RISE
2020-04-06,3020.0,2945.0,3070.0,2860.0,105410.0,-19220.0,19220.0,0.0,0.0294,-133546.0,145.0,RISE
2020-04-03,2875.0,2820.0,2935.0,2810.0,80663.0,-25549.0,-7022.0,32571.0,0.0278,-133546.0,60.0,RISE
2020-04-02,2815.0,2770.0,2855.0,2670.0,80279.0,-7576.0,-557.0,8133.0,0.0288,-166117.0,95.0,RISE
2020-04-01,2720.0,2815.0,2985.0,2715.0,256269.0,-70389.0,-9611.0,80000.0,0.0288,-174250.0,95.0,FALL
2020-03-31,2815.0,2780.0,2850.0,2725.0,189791.0,-34378.0,-25622.0,60000.0,0.0296,-254250.0,65.0,RISE
2020-03-30,2750.0,2720.0,2780.0,2630.0,120976.0,3793.0,-3793.0,0.0,0.0317,-314250.0,30.0,FALL
2020-03-27,2780.0,2920.0,3045.0,2630.0,183096.0,31769.0,-31769.0,0.0,0.032,-314250.0,80.0,FALL
2020-03-26,2860.0,2350.0,3000.0,2275.0,374955.0,1880.0,-5586.0,3706.0,0.0346,-314250.0,550.0,RISE
2020-03-25,2310.0,2200.0,2345.0,2185.0,130822.0,9108.0,-9108.0,0.0,0.0352,-317956.0,185.0,RISE
2020-03-24,2125.0,2075.0,2170.0,2065.0,77853.0,7192.0,-7192.0,0.0,0.0361,-317956.0,80.0,RISE
2020-03-23,2045.0,2050.0,2225.0,1990.0,99126.0,15330.0,-15330.0,0.0,0.0372,-317956.0,225.0,FALL
2020-03-20,2270.0,2010.0,2270.0,2010.0,137608.0,-24257.0,24818.0,-561.0,0.0384,-317956.0,200.0,RISE
2020-03-19,2070.0,2470.0,2485.0,1975.0,210973.0,5188.0,-5188.0,0.0,0.0364,-317395.0,380.0,FALL
2020-03-18,2450.0,2555.0,2635.0,2420.0,56296.0,16456.0,-16456.0,0.0,0.0368,-317395.0,140.0,FALL
2020-03-17,2590.0,2350.0,2655.0,2350.0,184434.0,-32552.0,32552.0,0.0,0.0382,-317395.0,65.0,FALL
2020-03-16,2655.0,2600.0,2795.0,2600.0,147383.0,-9042.0,9041.0,1.0,0.036000000000000004,-317395.0,40.0,FALL
2020-03-13,2695.0,2820.0,3000.0,2410.0,323582.0,-13770.0,13770.0,0.0,0.0352,-317396.0,535.0,FALL
2020-03-12,3230.0,3495.0,3540.0,3230.0,131415.0,32748.0,-32748.0,0.0,0.0341,-317396.0,365.0,FALL
2020-03-11,3595.0,3555.0,3605.0,3435.0,136214.0,80819.0,-80819.0,0.0,0.0368,-317396.0,0.0,EVEN
2020-03-10,3595.0,3585.0,3595.0,3475.0,37071.0,6658.0,-6658.0,0.0,0.0433,-317396.0,0.0,EVEN
2020-03-09,3595.0,3710.0,3710.0,3560.0,43630.0,10327.0,-10327.0,0.0,0.0439,-317396.0,155.0,FALL
2020-03-06,3750.0,3770.0,3770.0,3680.0,18211.0,5742.0,-5742.0,0.0,0.0447,-317396.0,40.0,FALL
2020-03-05,3790.0,3715.0,3835.0,3715.0,55530.0,-5610.0,5610.0,0.0,0.0452,-317396.0,75.0,RISE
2020-03-04,3715.0,3600.0,3765.0,3600.0,29957.0,-3906.0,3906.0,0.0,0.0447,-317396.0,115.0,RISE
2020-03-03,3600.0,3610.0,3800.0,3580.0,50040.0,-2905.0,2905.0,0.0,0.0444,-317396.0,0.0,EVEN
2020-03-02,3600.0,3600.0,3665.0,3500.0,27392.0,-2437.0,2437.0,0.0,0.0442,-317396.0,0.0,EVEN
2020-02-28,3600.0,3665.0,3665.0,3515.0,74403.0,5237.0,-5237.0,0.0,0.044000000000000004,-317396.0,70.0,FALL
2020-02-27,3670.0,3685.0,3745.0,3670.0,54224.0,-483.0,484.0,-1.0,0.0444,-317396.0,30.0,FALL
2020-02-26,3700.0,3695.0,3700.0,3630.0,27013.0,-569.0,569.0,0.0,0.0438,-317395.0,0.0,EVEN
2020-02-25,3700.0,3645.0,3740.0,3605.0,43411.0,-8693.0,8693.0,0.0,0.0438,-317395.0,45.0,RISE
2020-02-24,3655.0,3760.0,3760.0,3625.0,47696.0,217.0,-217.0,0.0,0.0431,-317395.0,150.0,FALL
2020-02-21,3805.0,3910.0,3910.0,3785.0,56715.0,5015.0,-5015.0,0.0,0.0431,-317395.0,110.0,FALL
2020-02-20,3915.0,4020.0,4020.0,3890.0,73442.0,13419.0,-13419.0,0.0,0.0435,-317395.0,105.0,FALL
2020-02-19,4020.0,4040.0,4050.0,3930.0,31410.0,6625.0,-6625.0,0.0,0.0446,-317395.0,20.0,RISE
2020-02-18,4000.0,4050.0,4070.0,3985.0,42138.0,9980.0,-9980.0,0.0,0.0451,-317395.0,50.0,FALL
2020-02-17,4050.0,4045.0,4115.0,4040.0,72965.0,-2624.0,2624.0,0.0,0.046,-317395.0,5.0,RISE
2020-02-14,4045.0,4055.0,4080.0,4025.0,25843.0,1008.0,-1008.0,0.0,0.0457,-317395.0,25.0,FALL
2020-02-13,4070.0,4060.0,4100.0,4020.0,38565.0,-1001.0,1001.0,0.0,0.0458,-317395.0,5.0,FALL
2020-02-12,4075.0,4080.0,4105.0,4015.0,40883.0,5464.0,-5464.0,0.0,0.0457,-317395.0,20.0,FALL
2020-02-11,4095.0,4115.0,4115.0,4065.0,38997.0,-4339.0,4339.0,0.0,0.0462,-317395.0,20.0,FALL
2020-02-10,4115.0,4130.0,4130.0,4095.0,14271.0,309.0,-309.0,0.0,0.0458,-317395.0,15.0,FALL
2020-02-07,4130.0,4125.0,4155.0,4070.0,17887.0,2695.0,-2695.0,0.0,0.0459,-317395.0,5.0,RISE
2020-02-06,4125.0,4135.0,4135.0,4085.0,15029.0,-739.0,739.0,0.0,0.0461,-317395.0,25.0,RISE
2020-02-05,4100.0,4080.0,4120.0,4080.0,16886.0,5274.0,-5274.0,0.0,0.046,-317395.0,20.0,RISE
2020-02-04,4080.0,3955.0,4100.0,3950.0,28054.0,2122.0,574.0,-2696.0,0.0464,-317395.0,125.0,RISE
